Material Type,Closing Cost,Closing Weight,Closing Cost/um,Closing Balance - Wip - Cost,Closing Balance - Wip - Weight,Closing Balance - Finished Goods - Cost,Closing Balance - Finished Goods - Weight,Material Code,Available To Sale,Theoretical Inventory,Inventory Variance,Commodity,Commodity Type,Opening Cost,Opening Weight,Inbound Cost,Inbound Weight,Regrades Cost,Regrades Weight,Outbound Cost,Outbound Weight,Adjustments Cost,Adjustments Weight,Opening Balance - Wip - Cost,Opening Balance - Wip - Weight,Inbound - Wip - Cost,Inbound - Wip - Weight,Outbound - Wip - Cost,Outbound - Wip - Weight,Opening Balance - Finished Goods - Cost,Opening Balance - Finished Goods - Weight,Inbound - Finished Goods - Cost,Inbound - Finished Goods - Weight,Outbound - Finished Goods - Cost,Outbound - Finished Goods - Weight,Voided - Finished Goods - Cost,Voided - Finished Goods - Weight,Yard Name,Yard Address Name,Gl Income Code,Gl Expense Code,"Opening
  Cost/um","Closing Cost/um (+
  Freight)",Adjustment Notes,Hold Total Weight (Current),Hold Total Cost (Current),Start Date,End Date
316 STAINLESS STEEL SOLIDS,1529.3226,2595,0.58933433526011560694,1529.3226,2595,0,0,NISS316,2595,2595,0E-20,STAINLESS STEEL TIER 1,NON_FERROUS,1529.3226,2595,0,0,0,0,0,0,0,0,1529.3226,2595,0,0,0,0,0,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,0.58933433526011560694,0.7072012023121387283280,,0,0,2025-12-31,2025-12-31
380 PTD NEW CAST,0.0000,0,0,0.0000,0,0,0,380PTDNC,0,0,0,ALUMINUM,NON_FERROUS,0.0000,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,0,0.00,,0,0,2025-12-31,2025-12-31
"#3 COPPER",713.0000,526,1.3555133079847909,713.0000,526,0,0,CU00003,526,526,0E-20,COPPER TIER 1,NON_FERROUS,713.0000,526,0,0,0,0,0,0,0,0,713.0000,526,0,0,0,0,0,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,1.3555133079847909,1.626615969581749080,,0,0,2025-12-31,2025-12-31
"#3 Cu MICA 98%",0.0000,0,0,0.0000,0,0,0,CU0003MICA,0,0,0,COPPER TIER 1,NON_FERROUS,0.0000,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,0,0.00,,0,0,2025-12-31,2025-12-31
5052 ALUMINUM,115.1122,285,0.40390245614035087719,115.1122,285,0,0,AL05052,285,285,0E-20,ALUMINUM,NON_FERROUS,115.1122,285,0,0,0,0,0,0,0,0,115.1122,285,0,0,0,0,0.0000,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,0.40390245614035087719,0.4846829473684210526280,,0,0,2025-12-31,2025-12-31
6061 ALUMINUM EXTRUSIONS,360.6400,800,0.45080000000000000000,360.6400,800,0,0,ALEXTRU,800,800,0E-20,ALUMINUM,NON_FERROUS,360.6400,800,0,0,0,0,0,0,0,0,360.6400,800,0,0,0,0,0.0000,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,0.45080000000000000000,0.5409600000000000000000,,0,0,2025-12-31,2025-12-31
6061 ALUMINUM - SPC,0.0000,0,0,0.0000,0,0,0,AL06061,0,0,0,ALUMINUM,NON_FERROUS,0.0000,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,0,0.00,,0,0,2025-12-31,2025-12-31
6061 PAINTED SPC,0.0000,0,0,0.0000,0,0,0,6061PTDSPCAL,0,0,0,ALUMINUM,NON_FERROUS,0.0000,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,0,0.00,,0,0,2025-12-31,2025-12-31
6061 TRUCK WHEELS,60.4000,151,0.40000000000000000000,60.4000,151,0,0,TRWLS,151,151,0E-20,ALUMINUM,NON_FERROUS,60.4000,151,0,0,0,0,0,0,0,0,60.4000,151,0,0,0,0,0,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,0.40000000000000000000,0.4800000000000000000000,,0,0,2025-12-31,2025-12-31
6061 TURNINGS,0.0000,0,0,0.0000,0,0,0,AL6061TURNS,0,0,0,ALUMINUM,NON_FERROUS,0.0000,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,0,0.00,,0,0,2025-12-31,2025-12-31
6063 AL SOLIDS,347.8322,493,0.70554198782961460446,347.8322,493,0,0,6063ALS,493,493,0E-20,ALUMINUM,NON_FERROUS,347.8322,493,0,0,0,0,0,0,0,0,347.8322,493,0,0,0,0,0.0000,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,0.70554198782961460446,0.8466503853955375253520,,0,0,2025-12-31,2025-12-31
6063 BARE ALUMINUM EXTRUSION,4226.9669,4308,0.98119008820798514392,2929.8601,2765,1297.1068,1543,AL06063,4308,4308,0E-20,ALUMINUM,NON_FERROUS,4226.9669,4308,0,0,0,0,0,0,0,0,2929.8601,2765,0,0,0,0,1297.1068,1543,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,0.98119008820798514392,1.1774281058495821727040,,0,0,2025-12-31,2025-12-31
6063 PAINTED EXTRUSION,887.1565,1545,0.57421132686084142395,0.0000,0,887.1565,1545,AL06310,1545,1545,0E-20,ALUMINUM,NON_FERROUS,887.1565,1545,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,887.1565,1545,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,0.57421132686084142395,0.6890535922330097087400,,0,0,2025-12-31,2025-12-31
6063 PIPE,146.3217,360,0.40644916666666666667,146.3217,360,0,0,6063PIAL,360,360,0E-20,ALUMINUM,NON_FERROUS,146.3217,360,0,0,0,0,0,0,0,0,146.3217,360,0,0,0,0,0.0000,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,0.40644916666666666667,0.4877390000000000000040,,0,0,2025-12-31,2025-12-31
70/30 Brass Shells,216.2000,94,2.3000000000000000,216.2000,94,0,0,7030BR,94,94,0E-20,BRASS TIER 2,NON_FERROUS,216.2000,94,0,0,0,0,0,0,0,0,216.2000,94,0,0,0,0,0.0000,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,2.3000000000000000,2.760000000000000000,,0,0,2025-12-31,2025-12-31
AC PUMPS,102.1820,212,0.48199056603773584906,102.1820,212,0,0,ACPUM,212,212,0E-20,OTHER,Other,102.1820,212,0,0,0,0,0,0,0,0,102.1820,212,0,0,0,0,0.0000,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,0.48199056603773584906,0.5783886792452830188720,,0,0,2025-12-31,2025-12-31
