Material Type,Closing Cost,Closing Weight,Closing Cost/um,Closing Balance - Wip - Cost,Closing Balance - Wip - Weight,Closing Balance - Finished Goods - Cost,Closing Balance - Finished Goods - Weight,Material Code,Available To Sale,Theoretical Inventory,Inventory Variance,Commodity,Commodity Type,Opening Cost,Opening Weight,Inbound Cost,Inbound Weight,Regrades Cost,Regrades Weight,Outbound Cost,Outbound Weight,Adjustments Cost,Adjustments Weight,Opening Balance - Wip - Cost,Opening Balance - Wip - Weight,Inbound - Wip - Cost,Inbound - Wip - Weight,Outbound - Wip - Cost,Outbound - Wip - Weight,Opening Balance - Finished Goods - Cost,Opening Balance - Finished Goods - Weight,Inbound - Finished Goods - Cost,Inbound - Finished Goods - Weight,Outbound - Finished Goods - Cost,Outbound - Finished Goods - Weight,Voided - Finished Goods - Cost,Voided - Finished Goods - Weight,Yard Name,Yard Address Name,Gl Income Code,Gl Expense Code,"Opening
  Cost/um","Closing Cost/um (+
  Freight)",Adjustment Notes,Hold Total Weight (Current),Hold Total Cost (Current),Start Date,End Date
AUTO BATTERIES,1899.0873,17642,0.10764580546423308015,1899.0873,17642,0,0,LEAUTOB,17642,17642,0E-24,LEAD,NON_FERROUS,1899.0873,17642,0,0,0,0,0,0,0,0,1899.0873,17642,0,0,0,0,0.0000,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,0.10764580546423308015,0.1291749665570796961800,,0,0,2025-12-31,2025-12-31
AUTO CAST,5245.3944,36872,0.14225955738771967889,5245.3944,36872,0,0,FEAUCST,36872,36872,0E-24,STEEL,FERROUS,5245.3944,36872,0,0,0,0,0,0,0,0,5245.3944,36872,0,0,0,0,0,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,0.14225955738771967889,0.1707114688652636146680,,0,0,2025-12-31,2025-12-31
BALLAST,115.2373,1075,0.10719748837209302326,115.2373,1075,0,0,CUBALST,1075,1075,0E-20,COPPER TIER 3,NON_FERROUS,115.2373,1075,0,0,0,0,0,0,0,0,115.2373,1075,0,0,0,0,0.0000,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,0.10719748837209302326,0.1286369860465116279120,,0,0,2025-12-31,2025-12-31
BARE BRIGHT COPPER,28077.7316,7035,3.9911487704335466,12656.3407,3170,15421.3909,3865,CUBB001,7035,7035,0E-20,COPPER TIER 1,NON_FERROUS,28077.7316,7035,0,0,0,0,0,0,0,0,12656.3407,3170,0,0,0,0,15421.3909,3865,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,3.9911487704335466,4.789378524520255920,,0,0,2025-12-31,2025-12-31
Beryllium Copper Solids,0.0000,0,0,0.0000,0,0,0,BrCuSds,0,0,0,COPPER TIER 1,NON_FERROUS,0.0000,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,0,0.00,,0,0,2025-12-31,2025-12-31
BRASS AUTO RADIATORS - CLEAN,0.0000,0,0,0.0000,0,0,0,BRAUTOR,0,0,0,BRASS TIER 2,NON_FERROUS,0.0000,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,0,0.00,,0,0,2025-12-31,2025-12-31
BRASS AUTO RADIATORS - FE,5.3200,19,0.28000000000000000000,5.3200,19,0,0,BRAUTOF,19,19,0E-20,BRASS TIER 2,NON_FERROUS,5.3200,19,0,0,0,0,0,0,0,0,5.3200,19,0,0,0,0,0,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,0.28000000000000000000,0.3360000000000000000000,,0,0,2025-12-31,2025-12-31
BRONZE TURNINGS,131.3000,101,1.3000000000000000,131.3000,101,0,0,BRNZTRN,101,101,0E-20,BRASS TIER 2,NON_FERROUS,131.3000,101,0,0,0,0,0,0,0,0,131.3000,101,0,0,0,0,0,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,1.3000000000000000,1.560000000000000000,,0,0,2025-12-31,2025-12-31
BUSHELING,15129.9062,161465,0.09370393707614653330,15129.9062,161465,0,0,Indbush,161465,161465,0E-24,STEEL,FERROUS,15129.9062,161465,0,0,0,0,0,0,0,0,15129.9062,161465,0,0,0,0,0,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,0.09370393707614653330,0.1124447244913758399600,,0,0,2025-12-31,2025-12-31
CARBIDE,357.0000,119,3.0000000000000000,357.0000,119,0,0,NICARBD,119,119,0E-20,STAINLESS STEEL TIER 2,NON_FERROUS,357.0000,119,0,0,0,0,0,0,0,0,357.0000,119,0,0,0,0,0,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,3.0000000000000000,3.600000000000000000,,0,0,2025-12-31,2025-12-31
CARDBOARD,178.0604,2783,0.06398145885734818541,0.0000,0,178.0604,2783,CB2,2783,2783,0E-20,ZWASTE,WA,178.0604,2783,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,178.0604,2783,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,0.06398145885734818541,0.0767777506288178224920,,0,0,2025-12-31,2025-12-31
CHROME/NICKEL PLATED BRASS SHELLS,855.8000,389,2.2000000000000000,855.8000,389,0,0,CRNIBR7030,389,389,0E-20,BRASS TIER 2,NON_FERROUS,855.8000,389,0,0,0,0,0,0,0,0,855.8000,389,0,0,0,0,0,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,2.2000000000000000,2.640000000000000000,,0,0,2025-12-31,2025-12-31
CHROME RIMS,240.9000,456,0.52828947368421052632,240.9000,456,0,0,ALWHLCR,456,456,0E-20,ALUMINUM,NON_FERROUS,240.9000,456,0,0,0,0,0,0,0,0,240.9000,456,0,0,0,0,0,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,0.52828947368421052632,0.6339473684210526315840,,0,0,2025-12-31,2025-12-31
CLEAN CAST ALUMINUM,235.6801,900,0.26186677777777777778,60.0000,150,175.6801,750,CCAL,900,900,0E-20,ALUMINUM,NON_FERROUS,235.6801,900,0,0,0,0,0,0,0,0,60.0000,150,0,0,0,0,175.6801,750,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,0.26186677777777777778,0.3142401333333333333360,,0,0,2025-12-31,2025-12-31
CLEAN LEAD,0.0000,0,0,0.0000,0,0,0,LESTRIP,0,0,0,LEAD,NON_FERROUS,0.0000,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,0,0.00,,0,0,2025-12-31,2025-12-31
CLEAN SHEET,2545.1503,37360,0.06812500802997858672,2545.1503,37360,0,0,CLSHST,37360,37360,0E-24,STEEL,FERROUS,2545.1503,37360,0,0,0,0,0,0,0,0,2545.1503,37360,0,0,0,0,0,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,0.06812500802997858672,0.0817500096359743040640,,0,0,2025-12-31,2025-12-31
COMMUNICATION WIRE,8619.8241,6320.0,1.3638962183544304,3206.9739,2390.0,5412.8502,3930,COMWIRECU,6320.0,6320.0,0E-20,COPPER TIER 2,NON_FERROUS,8619.8241,6320.0,0,0,0,0,0,0,0,0,3206.9739,2390.0,0,0,0,0,5412.8502,3930,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,1.3638962183544304,1.636675462025316480,,0,0,2025-12-31,2025-12-31
COPPER/ALUMINUM TRANSFORMERS,7.3200,61,0.12000000000000000000,7.3200,61,0,0,CUALTRAN,61,61,0E-20,COPPER TIER 3,NON_FERROUS,7.3200,61,0,0,0,0,0,0,0,0,7.3200,61,0,0,0,0,0,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,0.12000000000000000000,0.1440000000000000000000,,0,0,2025-12-31,2025-12-31
COPPER ARMATURES,682.0000,341,2.0000000000000000,682.0000,341,0,0,COPARM,341,341,0E-20,COPPER TIER 3,NON_FERROUS,682.0000,341,0,0,0,0,0,0,0,0,682.0000,341,0,0,0,0,0.0000,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,2.0000000000000000,2.400000000000000000,,0,0,2025-12-31,2025-12-31
Copper Breakers,0.0000,0,0,0.0000,0,0,0,CuBkrs,0,0,0,COPPER TIER 3,NON_FERROUS,0.0000,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,0,0.00,,0,0,2025-12-31,2025-12-31
COPPER FUSES,0.0000,0,0,0.0000,0,0,0,CUFUS,0,0,0,COPPER TIER 3,NON_FERROUS,0.0000,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,0,0.00,,0,0,2025-12-31,2025-12-31
COPPER TRANSFORMERS,12.4000,62,0.20000000000000000000,12.4000,62,0,0,CU TRANS,62,62,0E-20,COPPER TIER 3,NON_FERROUS,12.4000,62,0,0,0,0,0,0,0,0,12.4000,62,0,0,0,0,0.0000,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,0.20000000000000000000,0.2400000000000000000000,,0,0,2025-12-31,2025-12-31
CU BUSS BAR,0.0000,0,0,0.0000,0,0,0,CUBSBR,0,0,0,COPPER TIER 1,NON_FERROUS,0.0000,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,0,0.00,,0,0,2025-12-31,2025-12-31
DC MOTORS,-0.0178,0,0,-0.0178,0,0,0,CUMOTORDC,0,0,0,COPPER TIER 3,NON_FERROUS,-0.0178,0,0,0,0,0,0,0,0,0,-0.0178,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,0,0.00,,0,0,2025-12-31,2025-12-31
Dirty Aluminum Rims,0.0000,0,0,0.0000,0,0,0,DALRS,0,0,0,ALUMINUM,NON_FERROUS,0.0000,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,0,0.00,,0,0,2025-12-31,2025-12-31
Dirty Plumbers Brass,165.9000,285,0.58210526315789473684,165.9000,285,0,0,DPBr,285,285,0E-20,BRASS TIER 1,NON_FERROUS,165.9000,285,0,0,0,0,0,0,0,0,165.9000,285,0,0,0,0,0,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,0.58210526315789473684,0.6985263157894736842080,,0,0,2025-12-31,2025-12-31
Door Knobs,31.5509,518,0.06090907335907335907,31.5509,518,0,0,DRKBS,518,518,0E-20,BRASS TIER 2,NON_FERROUS,31.5509,518,0,0,0,0,0,0,0,0,31.5509,518,0,0,0,0,0.0000,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,0.06090907335907335907,0.0730908880308880308840,,0,0,2025-12-31,2025-12-31
"EDM WIRE ",1140.8000,496,2.3000000000000000,6.9000,3,1133.9000,493,EDMW,496,496,0E-20,BRASS TIER 1,NON_FERROUS,1140.8000,496,0,0,0,0,0,0,0,0,6.9000,3,0,0,0,0,1133.9000,493,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,2.3000000000000000,2.760000000000000000,,0,0,2025-12-31,2025-12-31
ELECTRIC MOTORS,203.0779,1452,0.13986081267217630854,203.0779,1452,0,0,CUMOTOR,1452,1452,0E-20,COPPER TIER 3,NON_FERROUS,203.0779,1452,0,0,0,0,0,0,0,0,203.0779,1452,0,0,0,0,0.0000,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,0.13986081267217630854,0.1678329752066115702480,,0,0,2025-12-31,2025-12-31
ELECTRIC MOTORS - FE,464.5401,5268,0.08818149202733485194,464.5401,5268,0,0,CUMOD,5268,5268,0E-20,COPPER TIER 3,NON_FERROUS,464.5401,5268,0,0,0,0,0,0,0,0,464.5401,5268,0,0,0,0,0.0000,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,0.08818149202733485194,0.1058177904328018223280,,0,0,2025-12-31,2025-12-31
ELECTRIC MOTORS - LARGE,273.0081,2010,0.13582492537313432836,273.0081,2010,0,0,CUELMOL,2010,2010,0E-20,COPPER TIER 3,NON_FERROUS,273.0081,2010,0,0,0,0,0,0,0,0,273.0081,2010,0,0,0,0,0.0000,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,0.13582492537313432836,0.1629899104477611940320,,0,0,2025-12-31,2025-12-31
FE PB COUNTER WEIGHTS,0.0000,0,0,0.0000,0,0,0,FEPBCNTWTS,0,0,0,LEAD,NON_FERROUS,0.0000,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,0,0.00,,0,0,2025-12-31,2025-12-31
FULL A/C UNIT,2202.9000,14686,0.15000000000000000000,2202.9000,14686,0,0,ACUT,14686,14686,0E-24,STEEL,FERROUS,2202.9000,14686,0,0,0,0,0,0,0,0,2202.9000,14686,0,0,0,0,0,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,0.15000000000000000000,0.1800000000000000000000,,0,0,2025-12-31,2025-12-31
HAST C-276 SOLIDS,0.0000,0,0,0.0000,0,0,0,HAST276,0,0,0,STAINLESS STEEL TIER 2,NON_FERROUS,0.0000,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,0,0.00,,0,0,2025-12-31,2025-12-31
HEAVY MELT,3395.2791,39226,0.08655685259776678733,3395.2791,39226,0,0,INDHVYM,39226,39226,0E-24,STEEL,FERROUS,3395.2791,39226,0,0,0,0,0,0,0,0,3395.2791,39226,0,0,0,0,0,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,0.08655685259776678733,0.1038682231173201447960,,0,0,2025-12-31,2025-12-31
ICW HARNESS WIRE,211.3081,259,0.81586138996138996139,211.3081,259,0,0,ICWHARWIR,259,259,0E-20,COPPER TIER 2,NON_FERROUS,211.3081,259,0,0,0,0,0,0,0,0,211.3081,259,0,0,0,0,0,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,0.81586138996138996139,0.9790336679536679536680,,0,0,2025-12-31,2025-12-31
INCONEL,2314.0000,1157,2.0000000000000000,2314.0000,1157,0,0,NIINCON,1157,1157,0E-20,STAINLESS STEEL TIER 2,NON_FERROUS,2314.0000,1157,0,0,0,0,0,0,0,0,2314.0000,1157,0,0,0,0,0.0000,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,2.0000000000000000,2.400000000000000000,,0,0,2025-12-31,2025-12-31
INSULATED EC WIRE,136.2276,470,0.28984595744680851064,136.2276,470,0,0,InsECW,470,470,0E-20,ALUMINUM,NON_FERROUS,136.2276,470,0,0,0,0,0,0,0,0,136.2276,470,0,0,0,0,0,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,0.28984595744680851064,0.3478151489361702127680,,0,0,2025-12-31,2025-12-31
Irony Brass Turnings,89.2598,103,0.86660000000000000000,89.2598,103,0,0,IrBrTs,103,103,0E-20,BRASS TIER 2,NON_FERROUS,89.2598,103,0,0,0,0,0,0,0,0,89.2598,103,0,0,0,0,0,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,0.86660000000000000000,1.0399200000000000000000,,0,0,2025-12-31,2025-12-31
IRONY EXTRUSIONS,392.3068,1760,0.22290159090909090909,309.4956,1315,82.8112,445,AL063FE,1760,1760,0E-20,ALUMINUM,NON_FERROUS,392.3068,1760,0,0,0,0,0,0,0,0,309.4956,1315,0,0,0,0,82.8112,445,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,0.22290159090909090909,0.2674819090909090909080,,0,0,2025-12-31,2025-12-31
Irony Red Brass,0.0000,0,0,0.0000,0,0,0,IyRdBr,0,0,0,BRASS TIER 1,NON_FERROUS,0.0000,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,0,0.00,,0,0,2025-12-31,2025-12-31
Irony Yellow Brass,106.5622,135,0.78934962962962962963,106.5622,135,0,0,IrYwBr,135,135,0E-20,BRASS TIER 1,NON_FERROUS,106.5622,135,0,0,0,0,0,0,0,0,106.5622,135,0,0,0,0,0,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,0.78934962962962962963,0.9472195555555555555560,,0,0,2025-12-31,2025-12-31
MAGNESIUM,0.0000,5,0E-20,0.0000,5,0,0,MA00001,5,5,0E-20,OTHER,Other,0.0000,5,0,0,0,0,0,0,0,0,0.0000,5,0,0,0,0,0,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,0E-20,0E-22,,0,0,2025-12-31,2025-12-31
MO2-RE2,1878.0000,884,2.1244343891402715,0.0000,0,1878.0000,884,MO2RE2,884,884,0E-20,STAINLESS STEEL TIER 2,NON_FERROUS,1878.0000,884,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,1878.0000,884,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,2.1244343891402715,2.549321266968325800,,0,0,2025-12-31,2025-12-31
OLD CAST AL,0.0000,0,0,0.0000,0,0,0,OLCAAL,0,0,0,ALUMINUM,NON_FERROUS,0.0000,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,0,0.00,,0,0,2025-12-31,2025-12-31
OLD CAST AL 5% FE,598.4554,1699,0.35223978811065332549,598.4554,1699,0,0,OCAL5,1699,1699,0E-20,ALUMINUM,NON_FERROUS,598.4554,1699,0,0,0,0,0,0,0,0,598.4554,1699,0,0,0,0,0.0000,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,0.35223978811065332549,0.4226877457327839905880,,0,0,2025-12-31,2025-12-31
Pewter,54.0600,17,3.1800000000000000,54.0600,17,0,0,Pwtr,17,17,0E-20,BRASS TIER 2,NON_FERROUS,54.0600,17,0,0,0,0,0,0,0,0,54.0600,17,0,0,0,0,0,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,3.1800000000000000,3.816000000000000000,,0,0,2025-12-31,2025-12-31
PHOS BRONZE SOLIDS,330.0400,148,2.2300000000000000,330.0400,148,0,0,BR0PHOS,148,148,0E-20,BRASS TIER 2,NON_FERROUS,330.0400,148,0,0,0,0,0,0,0,0,330.0400,148,0,0,0,0,0,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,2.2300000000000000,2.676000000000000000,,0,0,2025-12-31,2025-12-31
PLATE & STRUCTUAL,3056.4892,37810,0.08083811690029092833,3056.4892,37810,0,0,INDP&S,37810,37810,0E-24,STEEL,FERROUS,3056.4892,37810,0,0,0,0,0,0,0,0,3056.4892,37810,0,0,0,0,0,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,0.08083811690029092833,0.0970057402803491139960,,0,0,2025-12-31,2025-12-31
"PREMIUM ELECTRIC MOTORS ",0.0000,0,0,0.0000,0,0,0,PRELMTR,0,0,0,COPPER TIER 3,NON_FERROUS,0.0000,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,0,0.00,,0,0,2025-12-31,2025-12-31
"RAIL WHEELS ",0.0000,0,0,0.0000,0,0,0,RLWHLS,0,0,0,STEEL,FERROUS,0.0000,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,0,0.00,,0,0,2025-12-31,2025-12-31
RANGE LEAD,144.4242,305,0.47352196721311475410,144.4242,305,0,0,LERANGE,305,305,0E-20,LEAD,NON_FERROUS,144.4242,305,0,0,0,0,0,0,0,0,144.4242,305,0,0,0,0,0,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,0.47352196721311475410,0.5682263606557377049200,,0,0,2025-12-31,2025-12-31
REBAR,0.0000,0,0,0.0000,0,0,0,REBAR,0,0,0,STEEL,FERROUS,0.0000,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,0,0.00,,0,0,2025-12-31,2025-12-31
RED BRASS SOLIDS,1523.2000,544,2.8000000000000000,1523.2000,544,0,0,BRREDSD,544,544,0E-20,BRASS TIER 1,NON_FERROUS,1523.2000,544,0,0,0,0,0,0,0,0,1523.2000,544,0,0,0,0,0.0000,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,2.8000000000000000,3.360000000000000000,,0,0,2025-12-31,2025-12-31
SEALED UNITS,435.4948,4716,0.09234410517387616624,435.4948,4716,0,0,CUSEALD,4716,4716,0E-20,COPPER TIER 3,NON_FERROUS,435.4948,4716,0,0,0,0,0,0,0,0,435.4948,4716,0,0,0,0,0.0000,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,0.09234410517387616624,0.1108129262086513994880,,0,0,2025-12-31,2025-12-31
SEMI RED BRASS,111.3000,42,2.6500000000000000,111.3000,42,0,0,SEMREBR,42,42,0E-20,BRASS TIER 1,NON_FERROUS,111.3000,42,0,0,0,0,0,0,0,0,111.3000,42,0,0,0,0,0.0000,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,2.6500000000000000,3.180000000000000000,,0,0,2025-12-31,2025-12-31
SHEET IRON,2500.4461,38339,0.06521938756879417825,2500.4461,38339,0,0,SHIRST,38339,38339,0E-24,STEEL,FERROUS,2500.4461,38339,0,0,0,0,0,0,0,0,2500.4461,38339,0,0,0,0,0,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,0.06521938756879417825,0.0782632650825530139000,,0,0,2025-12-31,2025-12-31
Silver Plated Brass,0.0000,0,0,0.0000,0,0,0,SvrPBr,0,0,0,BRASS TIER 2,NON_FERROUS,0.0000,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,0,0.00,,0,0,2025-12-31,2025-12-31
Silver Plated Copper,0.0000,0,0,0.0000,0,0,0,SvPtCu,0,0,0,COPPER TIER 1,NON_FERROUS,0.0000,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,0,0.00,,0,0,2025-12-31,2025-12-31
SILVER PLTD BUSS BAR,401.4250,188,2.1352393617021277,401.4250,188,0,0,SVPBB,188,188,0E-20,COPPER TIER 1,NON_FERROUS,401.4250,188,0,0,0,0,0,0,0,0,401.4250,188,0,0,0,0,0.0000,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,2.1352393617021277,2.562287234042553240,,0,0,2025-12-31,2025-12-31
SOFT LEAD,319.1360,985,0.32399593908629441624,319.1360,985,0,0,SOFLEA,985,985,0E-20,LEAD,NON_FERROUS,319.1360,985,0,0,0,0,0,0,0,0,319.1360,985,0,0,0,0,0.0000,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,0.32399593908629441624,0.3887951269035532994880,,0,0,2025-12-31,2025-12-31
STAINLESS STEEL - FE,558.5536,5689,0.09818133239585164352,558.5536,5689,0,0,NIMIXD,5689,5689,0E-20,STAINLESS STEEL TIER 1,NON_FERROUS,558.5536,5689,0,0,0,0,0,0,0,0,558.5536,5689,0,0,0,0,0,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,0.09818133239585164352,0.1178175988750219722240,,0,0,2025-12-31,2025-12-31
STARTERS,163.3416,618,0.26430679611650485437,163.3416,618,0,0,CUSTART,618,618,0E-20,COPPER TIER 3,NON_FERROUS,163.3416,618,0,0,0,0,0,0,0,0,163.3416,618,0,0,0,0,0.0000,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,0.26430679611650485437,0.3171681553398058252440,,0,0,2025-12-31,2025-12-31
STEEL BX CABLE,0.0000,0,0,0.0000,0,0,0,STBXCAB,0,0,0,STEEL,FERROUS,0.0000,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,0,0.00,,0,0,2025-12-31,2025-12-31
STEEL BX WIRE (fe),23.7500,185,0.12837837837837837838,23.7500,185,0,0,STBXW,185,185,0E-20,STEEL,FERROUS,23.7500,185,0,0,0,0,0,0,0,0,23.7500,185,0,0,0,0,0,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,0.12837837837837837838,0.1540540540540540540560,,0,0,2025-12-31,2025-12-31
STEEL CABLE,0.0000,0,0,0.0000,0,0,0,STCBLE,0,0,0,STEEL,FERROUS,0.0000,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,0,0.00,,0,0,2025-12-31,2025-12-31
STEEL CASED BATTERIES,116.5000,2330,0.05000000000000000000,116.5000,2330,0,0,LEFECAS,2330,2330,0E-20,LEAD,NON_FERROUS,116.5000,2330,0,0,0,0,0,0,0,0,116.5000,2330,0,0,0,0,0,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,0.05000000000000000000,0.0600000000000000000000,,0,0,2025-12-31,2025-12-31
STEEL CASED COPPER TRANSFORMERS,554.8620,2907,0.19087100103199174407,114.5226,600,440.3394,2307,STCSCOTRA,2907,2907,0E-20,COPPER TIER 3,NON_FERROUS,554.8620,2907,0,0,0,0,0,0,0,0,114.5226,600,0,0,0,0,440.3394,2307,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,0.19087100103199174407,0.2290452012383900928840,,0,0,2025-12-31,2025-12-31
Teck Cable,28.8525,46,0.62722826086956521739,28.8525,46,0,0,TCABLE,46,46,0E-20,COPPER TIER 2,NON_FERROUS,28.8525,46,0,0,0,0,0,0,0,0,28.8525,46,0,0,0,0,0.0000,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,0.62722826086956521739,0.7526739130434782608680,,0,0,2025-12-31,2025-12-31
TIN PLATED BUSBAR,171.0000,114,1.5000000000000000,171.0000,114,0,0,TCUBSBR,114,114,0E-20,COPPER TIER 1,NON_FERROUS,171.0000,114,0,0,0,0,0,0,0,0,171.0000,114,0,0,0,0,0.0000,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,1.5000000000000000,1.800000000000000000,,0,0,2025-12-31,2025-12-31
TIN PLTD COPPER WIRE,1.0722,0.3,3.5740000000000000,1.0722,0.3,0,0,TNPDCWR,0.3,0.3,0E-16,COPPER TIER 1,NON_FERROUS,1.0722,0.3,0,0,0,0,0,0,0,0,1.0722,0.3,0,0,0,0,0.0000,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,3.5740000000000000,4.288800000000000000,,0,0,2025-12-31,2025-12-31
