code,commodity,ctype,eoy2025_wt,inbound_wt,outbound_wt,calc_wt,actual_wt,diff
BRKERTIN,OTHER,Other,0.0,0.0,0.0,0.0,0.0,0.0
BRINDUST,BRASS TIER 2,NON_FERROUS,0.0,0.0,0.0,0.0,0.0,0.0
SvrPBr,BRASS TIER 2,NON_FERROUS,0.0,0.0,0.0,0.0,0.0,0.0
PRCATAL,OTHER,Other,649.0,1.0,71.0,579.0,579.0,0.0
BR360BO,BRASS TIER 1,NON_FERROUS,0.0,40.0,0.0,40.0,40.0,0.0
PBFINES,LEAD,NON_FERROUS,0.0,51358.0,0.0,51358.0,51358.0,0.0
FENST,STEEL,FERROUS,5140.0,11300.0,0.0,16440.0,16440.0,0.0
AL02024,ALUMINUM,NON_FERROUS,329.0,0.0,0.0,329.0,329.0,0.0
MXBRAL,ALUMINUM,NON_FERROUS,0.0,0.0,0.0,0.0,0.0,0.0
MO2RE2,STAINLESS STEEL TIER 2,NON_FERROUS,884.0,0.0,0.0,884.0,884.0,0.0
ALTANKS,ALUMINUM,NON_FERROUS,0.0,0.0,0.0,0.0,0.0,0.0
AL07000,ALUMINUM,NON_FERROUS,0.0,0.0,0.0,0.0,0.0,0.0
ALSKMS,ALUMINUM,NON_FERROUS,0.0,0.0,0.0,0.0,0.0,0.0
MGNSMTRNS,OTHER,Other,13870.0,2875.0,0.0,16745.0,16745.0,0.0
MAGCST,OTHER,Other,0.0,3778.0,0.0,3778.0,3778.0,0.0
MA00001,OTHER,Other,5.0,330.0,0.0,335.0,335.0,0.0
FEPBCNTWTS,LEAD,NON_FERROUS,0.0,0.0,0.0,0.0,0.0,0.0
NI138T,STAINLESS STEEL TIER 2,NON_FERROUS,0.0,0.0,0.0,0.0,0.0,0.0
Graphdst,LEAD,NON_FERROUS,0.0,0.0,0.0,0.0,0.0,0.0
HAST276,STAINLESS STEEL TIER 2,NON_FERROUS,0.0,0.0,0.0,0.0,0.0,0.0
HELXOE,COPPER TIER 2,NON_FERROUS,0.0,5.0,0.0,5.0,5.0,0.0
INCU T,COPPER TIER 1,NON_FERROUS,0.0,265.0,0.0,265.0,265.0,0.0
INDCLIPS,STEEL,FERROUS,0.0,0.0,0.0,0.0,0.0,0.0
LDFNE,LEAD,NON_FERROUS,22121.0,13247.0,30842.0,4526.0,4526.0,0.0
IyRdBr,BRASS TIER 1,NON_FERROUS,0.0,0.0,0.0,0.0,0.0,0.0
ALLITHO,ALUMINUM,NON_FERROUS,5994.0,5569.0,11563.0,0.0,0.0,0.0
ALDCAST,ALUMINUM,NON_FERROUS,0.0,3.0,0.0,3.0,3.0,0.0
NI00001,STAINLESS STEEL TIER 2,NON_FERROUS,0.0,41.0,0.0,41.0,41.0,0.0
NI15-5,STAINLESS STEEL TIER 2,NON_FERROUS,8603.0,0.0,0.0,8603.0,8603.0,0.0
ALDUST,ALUMINUM,NON_FERROUS,0.0,0.0,0.0,0.0,0.0,0.0
465TRNS,STAINLESS STEEL TIER 2,NON_FERROUS,0.0,929.0,929.0,0.0,0.0,0.0
430SSP,STAINLESS STEEL TIER 2,NON_FERROUS,0.0,83.0,0.0,83.0,83.0,0.0
CUREFIN,COPPER TIER 1,NON_FERROUS,0.0,0.0,0.0,0.0,0.0,0.0
OLYFLA,ALUMINUM,NON_FERROUS,0.0,0.0,0.0,0.0,0.0,0.0
BR0PHOS,BRASS TIER 2,NON_FERROUS,148.0,20.0,0.0,168.0,168.0,0.0
446SS,STAINLESS STEEL TIER 2,NON_FERROUS,0.0,0.0,0.0,0.0,0.0,0.0
NWCSTAL,ALUMINUM,NON_FERROUS,0.0,0.0,0.0,0.0,0.0,0.0
NITOOLS,STAINLESS STEEL TIER 2,NON_FERROUS,100.0,634.0,620.0,114.0,114.0,0.0
CuBkrs,COPPER TIER 3,NON_FERROUS,0.0,10.0,0.0,10.0,10.0,0.0
NISS400,STAINLESS STEEL TIER 2,NON_FERROUS,0.0,0.0,0.0,0.0,0.0,0.0
NISS310,STAINLESS STEEL TIER 2,NON_FERROUS,0.0,0.0,0.0,0.0,0.0,0.0
ELPLUG,OTHER,Other,25.0,16.0,0.0,41.0,41.0,0.0
NISS309,STAINLESS STEEL TIER 2,NON_FERROUS,0.0,0.0,0.0,0.0,0.0,0.0
BR00230,BRASS TIER 2,NON_FERROUS,0.0,0.0,0.0,0.0,0.0,0.0
BERYCU,COPPER TIER 1,NON_FERROUS,0.0,0.0,0.0,0.0,0.0,0.0
NIMONEL,STAINLESS STEEL TIER 2,NON_FERROUS,0.0,0.0,0.0,0.0,0.0,0.0
6040NAVBR,BRASS TIER 2,NON_FERROUS,0.0,0.0,0.0,0.0,0.0,0.0
6105 turnings,ALUMINUM,NON_FERROUS,0.0,0.0,0.0,0.0,0.0,0.0
DRTYBRSTRN,BRASS TIER 2,NON_FERROUS,0.0,161.0,0.0,161.0,161.0,0.0
ELECBR,BRASS TIER 2,NON_FERROUS,0.0,0.0,0.0,0.0,0.0,0.0
AAAPRT,STEEL,FERROUS,0.0,0.0,0.0,0.0,0.0,0.0
BrCuSds,COPPER TIER 1,NON_FERROUS,0.0,3588.0,3458.0,130.0,130.0,0.0
TOTAL,,,1631247.3,13994952.0,12944432.0,2681767.3,2798219.0,-116451.7
