Location,code,name,commodity,metal,ctype,current_wt,inbound_wt,outbound_wt,opening_wt,avg_cost,opening_value_est,flag
Merrillville,FETURN,ZZ DO NOT USE STEEL TURNINGS,STEEL,STEEL,FERROUS,0.0,0.0,0.0,0.0,,,
Merrillville,Al01100,1100 SERIES,ALUMINUM,ALUMINUM,NON_FERROUS,0.0,0.0,0.0,0.0,,,
Merrillville,PTD3003,3003 AL PAINTED,ALUMINUM,ALUMINUM,NON_FERROUS,45.0,0.0,0.0,45.0,0.2,9.0,
Merrillville,380PTDNC,380 PTD NEW CAST,ALUMINUM,ALUMINUM,NON_FERROUS,0.0,0.0,0.0,0.0,,,
Merrillville,AL05052,5052 ALUMINUM,ALUMINUM,ALUMINUM,NON_FERROUS,429.0,0.0,1541.0,1970.0,0.4,788.0,
Merrillville,6061ALR,6061 AL RIMS,ALUMINUM,ALUMINUM,NON_FERROUS,1190.0,0.0,0.0,1190.0,0.45,536.69,
Merrillville,AL06061,6061 ALUMINUM - SPC,ALUMINUM,ALUMINUM,NON_FERROUS,2616.0,0.0,2129.0,4745.0,0.66,3132.17,
Merrillville,ALEXTRU,6061 ALUMINUM EXTRUSIONS,ALUMINUM,ALUMINUM,NON_FERROUS,752.0,0.0,4794.0,5546.0,0.86,4766.79,
Merrillville,6061PTDSPCAL,6061 PAINTED SPC,ALUMINUM,ALUMINUM,NON_FERROUS,0.0,0.0,0.0,0.0,,,
Merrillville,TRWLS,6061 TRUCK WHEELS,ALUMINUM,ALUMINUM,NON_FERROUS,0.0,0.0,599.0,599.0,,,
Merrillville,AL6061TURNS,6061 TURNINGS,ALUMINUM,ALUMINUM,NON_FERROUS,1000.0,1000.0,0.0,0.0,0.5,0.0,
Merrillville,6063ALS,6063 AL SOLIDS,ALUMINUM,ALUMINUM,NON_FERROUS,0.0,0.0,0.0,0.0,,,
Merrillville,AL06063,6063 BARE ALUMINUM EXTRUSION,ALUMINUM,ALUMINUM,NON_FERROUS,1204.0,15804.0,28689.0,14089.0,0.97,13697.33,
Merrillville,AL06310,6063 PAINTED EXTRUSION,ALUMINUM,ALUMINUM,NON_FERROUS,1679.0,0.0,9859.0,11538.0,0.71,8203.52,
Merrillville,6063PIAL,6063 PIPE,ALUMINUM,ALUMINUM,NON_FERROUS,249.0,0.0,0.0,249.0,1.0,249.0,
Merrillville,ALCURAEND,ACR AL/CU RADIATOR ENDS,ALUMINUM,ALUMINUM,NON_FERROUS,1120.0,0.0,1421.0,2541.0,0.51,1295.66,
Merrillville,AL0ACSR,ACSR WIRE,ALUMINUM,ALUMINUM,NON_FERROUS,156.0,0.0,0.0,156.0,0.52,81.37,
Merrillville,ALDUST,AL DUST,ALUMINUM,ALUMINUM,NON_FERROUS,0.0,0.0,0.0,0.0,,,
Merrillville,ALCURAD,AL/CU RADIATORS - CLEAN,ALUMINUM,ALUMINUM,NON_FERROUS,3886.0,0.0,13342.0,17228.0,1.98,34045.97,
Merrillville,ALCURFE,AL/CU RADIATORS - FE,ALUMINUM,ALUMINUM,NON_FERROUS,1508.0,240.0,0.0,1268.0,1.15,1454.4,
Merrillville,ALUARM,ALUM ARMATURE,ALUMINUM,ALUMINUM,NON_FERROUS,32.0,0.0,1977.0,2009.0,0.1,194.67,
Merrillville,ALUMBRECWR,ALUM BARE EC WIRE,ALUMINUM,ALUMINUM,NON_FERROUS,441.0,0.0,0.0,441.0,0.5,220.06,
Merrillville,ALTRANSF,ALUM TRANSFORMERS,ALUMINUM,ALUMINUM,NON_FERROUS,155.0,0.0,8926.0,9081.0,0.09,817.29,
Merrillville,ALUTURN,ALUMINIUM TURNS,ALUMINUM,ALUMINUM,NON_FERROUS,1907.0,694.0,3252.0,4465.0,0.21,953.72,
Merrillville,ALUBREAK,ALUMINUM BREAK,ALUMINUM,ALUMINUM,NON_FERROUS,24123.0,0.0,1132.0,25255.0,0.1,2558.33,
Merrillville, ALBZTS1,ALUMINUM BRONZE TURNINGS,ALUMINUM,ALUMINUM,NON_FERROUS,0.0,0.0,974.0,974.0,,,
Merrillville,AL00UBC,ALUMINUM CANS,ALUMINUM,ALUMINUM,NON_FERROUS,1994.0,107.0,3836.0,5723.0,0.4,2289.2,
Merrillville,ALDCAST,ALUMINUM DIE-CAST,ALUMINUM,ALUMINUM,NON_FERROUS,3.0,0.0,0.0,3.0,0.4,1.2,
Merrillville,ALFOIL,ALUMINUM FOIL,ALUMINUM,ALUMINUM,NON_FERROUS,2.0,0.0,0.0,2.0,0.06,0.12,
Merrillville,ALUMLC,ALUMINUM MLC,ALUMINUM,ALUMINUM,NON_FERROUS,417.0,0.0,0.0,417.0,0.4,166.8,
Merrillville,ALMOLDS,ALUMINUM MOLDS,ALUMINUM,ALUMINUM,NON_FERROUS,0.0,0.0,0.0,0.0,,,
