yard,code,name,commodity,metal,wt,cost,jan_price,factor,eoy_price,mkt
Merrillville,BRREDSD,RED BRASS SOLIDS,BRASS TIER 1,BRASS,544.0,1523.2,4.2365,0.9573,4.0557,2206.28
Merrillville,CUSEALD,SEALED UNITS,COPPER TIER 3,COPPER,4716.0,435.4948,0.417,0.9573,0.3992,1882.61
Merrillville,SEMREBR,SEMI RED BRASS,BRASS TIER 1,BRASS,42.0,111.3,4.3247,0.9573,4.1402,173.89
Merrillville,SHIRST,SHEET IRON,STEEL,STEEL,38339.0,2500.4461,0.1234,0.9901,0.1222,4685.75
Merrillville,SvrPBr,Silver Plated Brass,BRASS TIER 2,BRASS,0.0,0.0,0.0,0.9573,0.0,0.0
Merrillville,SvPtCu,Silver Plated Copper,COPPER TIER 1,COPPER,0.0,0.0,2.0,0.9573,1.9146,0.0
Merrillville,SVPBB,SILVER PLTD BUSS BAR,COPPER TIER 1,COPPER,188.0,401.425,2.7035,0.9573,2.5881,486.56
Merrillville,SOFLEA,SOFT LEAD,LEAD,LEAD,985.0,319.136,0.7808,1.0,0.7808,769.14
Merrillville,NIMIXD,STAINLESS STEEL - FE,STAINLESS STEEL TIER 1,STAINLESS STEEL,5689.0,558.5536,0.4413,1.0,0.4413,2510.53
Merrillville,CUSTART,STARTERS,COPPER TIER 3,COPPER,618.0,163.3416,0.8687,0.9573,0.8317,513.96
Merrillville,STBXCAB,STEEL BX CABLE,STEEL,STEEL,0.0,0.0,0.05,0.9901,0.0495,0.0
Merrillville,STBXW,STEEL BX WIRE (fe),STEEL,STEEL,185.0,23.75,0.15,0.9901,0.1485,27.48
Merrillville,STCBLE,STEEL CABLE,STEEL,STEEL,0.0,0.0,0.0,0.9901,0.0,0.0
Merrillville,LEFECAS,STEEL CASED BATTERIES,LEAD,LEAD,2330.0,116.5,0.27,1.0,0.27,629.1
Merrillville,STCSCOTRA,STEEL CASED COPPER TRANSFORMERS,COPPER TIER 3,COPPER,2907.0,554.862,0.35,0.9573,0.3351,974.03
Merrillville,TCABLE,Teck Cable,COPPER TIER 2,COPPER,46.0,28.8525,0.6272,0.9573,0.6005,27.62
Merrillville,TCUBSBR,TIN PLATED BUSBAR,COPPER TIER 1,COPPER,114.0,171.0,5.3619,0.9573,5.1331,585.17
Merrillville,TNPDCWR,TIN PLTD COPPER WIRE,COPPER TIER 1,COPPER,0.3,1.0722,5.14,0.9573,4.9206,1.48
Merrillville,TUNGMOTAINS,TUNGSTEN MOLY TA INSERTS,STAINLESS STEEL TIER 2,STAINLESS STEEL,125.0,594.9326,30.68,1.0,30.68,3835.0
Merrillville,UNPREP,UNPREPARED P&S ,STEEL,STEEL,25544.0,1744.5707,0.1432,0.9901,0.1418,3620.99
Merrillville,WASTE,WASTE,ZWASTE,ZWASTE,4650.0,0.0,0.0,1.0,0.0,0.0
Merrillville,LEWHEEL,WHEEL WEIGHTS,LEAD,LEAD,394.0,41.86,0.0201,1.0,0.0201,7.92
Merrillville,BRSHEL,YELLOW BRASS SHELLS,BRASS TIER 1,BRASS,0.0,0.0,1.53,0.9573,1.4647,0.0
Merrillville,BRYELLO,YELLOW BRASS SOLIDS,BRASS TIER 1,BRASS,2645.0,5590.3205,3.1104,0.9573,2.9776,7875.79
Merrillville,BRINDBT,YELLOW BRASS TURNINGS,BRASS TIER 1,BRASS,97.0,178.4072,1.823,0.9573,1.7452,169.28
Merrillville,ZNDICST,ZINC DIE CAST,ZINC,ZINC,771.0,333.5888,0.35,1.0,0.35,269.85
Merrillville,3003PTD,ZZ DO NOT USE - 3003 ALUMINUM PAINTED  ,ALUMINUM,ALUMINUM,45.0,9.0,0.2,0.9496,0.1899,8.55
Merrillville,356ALCAST,ZZ DO NOT USE - 356 ALUMINUM CASTINGS,ALUMINUM,ALUMINUM,0.0,0.0,1.12,0.9496,1.0636,0.0
Merrillville,AL0BECW,ZZ DO NOT USE - AL BARE EC WIRE,ALUMINUM,ALUMINUM,395.0,114.7776,1.936,0.9496,1.8385,726.2
Merrillville,ALBRKG,ZZ DO NOT USE ALUMINUM BREAKAGE,ALUMINUM,ALUMINUM,6221.0,611.4692,0.3243,0.9496,0.308,1915.8
Merrillville,ALMTRNG,ZZ DO NOT USE - ALUMINUM TURNINGS,ALUMINUM,ALUMINUM,3368.5,673.9667,0.7887,0.9496,0.7489,2522.82
Merrillville,AL0CAST,ZZ DO NOT USE CAST ALUMINUM,ALUMINUM,ALUMINUM,0.0,0.0,0.3,0.9496,0.2849,0.0
Merrillville,OPNEYHLXCU,ZZ DO NOT USE HELIAX,COPPER TIER 2,COPPER,248.0,272.8,2.57,0.9573,2.4603,610.16
Merrillville,ROMWIRE,ZZ DO NOT USE - ROMEX,COPPER TIER 2,COPPER,417.0,889.2796,3.2,0.9573,3.0634,1277.45
Merrillville,FETURN,ZZ DO NOT USE STEEL TURNINGS,STEEL,STEEL,0.0,0.0003,0.1183,0.9901,0.1171,0.0
Merrillville,UNHMS,ZZ DO NOT USE - UNPREPARED HMS (uhms),STEEL,STEEL,36425.0,1843.337,0.1349,0.9901,0.1336,4865.82
Milton,1018ST,1018 STEEL,STEEL,STEEL,0.0,0.0,0.0,0.9901,0.0,0.0
Milton,NI138T,13-8 STAINLESS STEEL TURNINGS,STAINLESS STEEL TIER 2,STAINLESS STEEL,0.0,0.0,0.0,1.0,0.0,0.0
Milton,155SSS,15-5 STAINLESS SOLIDS,STAINLESS STEEL TIER 2,STAINLESS STEEL,0.0,0.0,0.0,1.0,0.0,0.0
Milton,NI15-5,15-5 STAINLESS STEEL TURNINGS,STAINLESS STEEL TIER 2,STAINLESS STEEL,8603.0,172.06,0.02,1.0,0.02,172.06
Milton,174SOLIDS,17-4 SOLIDS,STAINLESS STEEL TIER 1,STAINLESS STEEL,588.0,42.4063,0.19,1.0,0.19,111.72
Milton,NI174BO,17-4 STAINLESS STEEL TURNINGS,STAINLESS STEEL TIER 1,STAINLESS STEEL,26079.0,583.6586,0.11,1.0,0.11,2868.69
Milton,CLPBNDS,#1 BUNDLES,STEEL,STEEL,0.0,0.0,0.0,0.9901,0.0,0.0
Milton,CU00001,#1 COPPER,COPPER TIER 1,COPPER,601.0,2051.814,5.2249,0.9573,5.0019,3006.14
Milton,CUIN160,#1 ICW 60%,COPPER TIER 2,COPPER,0.0,0.0,3.2712,0.9573,3.1315,0.0
Milton,CUIN172,#1 ICW 72%,COPPER TIER 2,COPPER,0.0,0.0,3.0,0.9573,2.872,0.0
Milton,ICW80,#1 ICW 80%,COPPER TIER 2,COPPER,0.0,0.0,4.1513,0.9573,3.9741,0.0
Milton,CUIN185,#1 ICW 85%,COPPER TIER 2,COPPER,0.0,0.0,3.3261,0.9573,3.1841,0.0
Milton,CUIN188,#1 ICW 88%,COPPER TIER 2,COPPER,3648.0,7148.0096,4.4676,0.9573,4.2769,15602.3
Milton,CUIN190,#1 ICW 90%,COPPER TIER 2,COPPER,0.0,0.0,3.439,0.9573,3.2922,0.0
Milton,AL02024,2000 SERIES ALUMINUM,ALUMINUM,ALUMINUM,329.0,65.8,0.2,0.9496,0.1899,62.49
Milton,201,201 STAINLESS CLIP,STAINLESS STEEL TIER 2,STAINLESS STEEL,3440.0,172.0,0.3089,1.0,0.3089,1062.6
Milton,201SSCOIL,201 STAINLESS COIL,STAINLESS STEEL TIER 2,STAINLESS STEEL,0.0,0.0,0.0,1.0,0.0,0.0
Milton,2205 Solids,2205 SOLIDS,STAINLESS STEEL TIER 2,STAINLESS STEEL,0.0,0.0,0.4,1.0,0.4,0.0
Milton,2205 STAINLESS,2205 STAINLESS STEEL TURNINGS,STAINLESS STEEL TIER 2,STAINLESS STEEL,0.0,0.0,0.7983,1.0,0.7983,0.0
Milton,BR00230,230 BRASS SOLIDS,BRASS TIER 2,BRASS,0.0,0.0,0.0,0.9573,0.0,0.0
Milton,CU00002,#2 COPPER,COPPER TIER 1,COPPER,469.0,1402.0712,5.0912,0.9573,4.8739,2285.86
Milton,CUIN220,#2 ICW 20% - CHRISTMAS LIGHTS,COPPER TIER 2,COPPER,101.0,19.78,0.7,0.9573,0.6701,67.68
Milton,CUIN235,#2 ICW 35%,COPPER TIER 2,COPPER,1203.0,389.7462,1.28,0.9573,1.2254,1474.12
Milton,CUIN245,#2 ICW 45%,COPPER TIER 2,COPPER,0.0,0.0,2.29,0.9573,2.1923,0.0
Milton,CUIN255,#2 ICW 55%,COPPER TIER 2,COPPER,0.0,0.0,0.85,0.9573,0.8137,0.0
Milton,CUIN265,#2 ICW 65%,COPPER TIER 2,COPPER,842.0,1037.3099,2.88,0.9573,2.7571,2321.46
Milton,CUIN280,#2 ICW 80%,COPPER TIER 2,COPPER,0.0,0.0,3.79,0.9573,3.6282,0.0
Milton,30ALP,3003 ALUMINUM WITH POLY,ALUMINUM,ALUMINUM,0.0,0.0,1.574,0.9496,1.4947,0.0
Milton,NISS301,301 STAINLESS STEEL SOLIDS,STAINLESS STEEL TIER 2,STAINLESS STEEL,0.0,0.0,0.1,1.0,0.1,0.0
Milton,304SSL,304 STAINLESS L,STAINLESS STEEL TIER 1,STAINLESS STEEL,0.0,0.0,0.2,1.0,0.2,0.0
Milton,304SSOS,304 STAINLESS OVERSIZED,STAINLESS STEEL TIER 1,STAINLESS STEEL,0.0,0.0,0.2063,1.0,0.2063,0.0
Milton,NISS300,304 STAINLESS SOLIDS,STAINLESS STEEL TIER 1,STAINLESS STEEL,0.0,0.0,0.6284,1.0,0.6284,0.0
Milton,NI300BO,304 STAINLESS STEEL TURNINGS,STAINLESS STEEL TIER 1,STAINLESS STEEL,3024.0,785.4637,0.15,1.0,0.15,453.6
Milton,304STNPLY,304 STAINLESS WITH POLY,STAINLESS STEEL TIER 1,STAINLESS STEEL,0.0,0.0,0.55,1.0,0.55,0.0
Milton,NISS309,309 STAINLESS STEEL SOLIDS,STAINLESS STEEL TIER 2,STAINLESS STEEL,0.0,0.0,0.0,1.0,0.0,0.0
Milton,3105ALSOL,3105 AL SOLIDS,ALUMINUM,ALUMINUM,488.0,195.2,0.4,0.9496,0.3799,185.37
Milton,NISS310,310 STAINLESS STEEL SOLIDS,STAINLESS STEEL TIER 2,STAINLESS STEEL,0.0,0.0,0.0,1.0,0.0,0.0
Milton,316SSO,316 STAINLESS STEEL OVERSIZED,STAINLESS STEEL TIER 1,STAINLESS STEEL,6000.0,4484.4526,0.25,1.0,0.25,1500.0
Milton,NISS316,316 STAINLESS STEEL SOLIDS,STAINLESS STEEL TIER 1,STAINLESS STEEL,572.0,368.3154,1.1219,1.0,1.1219,641.73
Milton,NI316BO,316 STAINLESS STEEL TURNINGS,STAINLESS STEEL TIER 1,STAINLESS STEEL,1370.0,411.0,0.951,1.0,0.951,1302.88
Milton,319CSTAL,319 CASTINGS,ALUMINUM,ALUMINUM,0.0,0.0,0.0,0.9496,0.0,0.0
Milton,360BS,360 BRASS SOLIDS,BRASS TIER 2,BRASS,117.0,235.2804,2.7,0.9573,2.5848,302.42
Milton,360 brass turnings,360 BRASS TURNINGS,BRASS TIER 2,BRASS,0.0,0.0,3.04,0.9573,2.9102,0.0
Milton,380ALTRN,380 ALUMINUM TURNINGS,ALUMINUM,ALUMINUM,1951.0,358.5319,0.7,0.9496,0.6647,1296.93
Milton,380NCAL,380 BARE NEW CAST ALUMINUM,ALUMINUM,ALUMINUM,1381.0,385.8935,0.9754,0.9496,0.9262,1279.14
Milton,380NCRUB,380 NEW CAST W/ 5% RUBBER ATTACHMENTS,ALUMINUM,ALUMINUM,4481.0,1133.4976,0.8283,0.9496,0.7866,3524.85
Milton,380PTDNC,380 PTD NEW CAST,ALUMINUM,ALUMINUM,0.0,0.0,0.997,0.9496,0.9468,0.0
Milton,CU00003,#3 COPPER,COPPER TIER 1,COPPER,0.0,0.0,5.17,0.9573,4.9493,0.0
Milton,CU0003MICA,#3 Cu MICA 98%,COPPER TIER 1,COPPER,0.0,0.0,5.17,0.9573,4.9493,0.0
Milton,NISS400,400 STAINLESS STEEL SOLIDS,STAINLESS STEEL TIER 2,STAINLESS STEEL,0.0,0.0,0.0,1.0,0.0,0.0
Milton,410SSTRN,410 SS TURNINGS,STAINLESS STEEL TIER 2,STAINLESS STEEL,435.0,20.64,0.16,1.0,0.16,69.6
Milton,410SSS,410 STAINLESS SOLIDS,STAINLESS STEEL TIER 2,STAINLESS STEEL,0.0,0.0,0.1311,1.0,0.1311,0.0
Milton,4140SOLS,4140 SOLIDS,STEEL,STEEL,0.0,0.0,0.0804,0.9901,0.0796,0.0
