code,name,commodity,metal,ctype,qty_lbs,unit_value,price_source,value_usd,weight_by_value_pct,weight_by_qty_pct
4140SOLS,4140 SOLIDS,STEEL,STEEL,FERROUS,251.0,0.08,purchase (YTD),20.18,0.0,0.0
410SSTRN,410 SS TURNINGS,STAINLESS STEEL TIER 2,STAINLESS STEEL,NON_FERROUS,466.0,0.16,sale (recent),74.56,0.0,0.01
30ALP,3003 ALUMINUM WITH POLY,ALUMINUM,ALUMINUM,NON_FERROUS,14.0,1.7,sale (recent),23.8,0.0,0.0
2507SSS,2507 SS SOLIDS,STAINLESS STEEL TIER 1,STAINLESS STEEL,NON_FERROUS,479.0,0.0,unpriced,0.0,0.0,0.01
2024ALCST,2024 AL CASTINGS,ALUMINUM,ALUMINUM,NON_FERROUS,1.0,0.2,avg cost,0.2,0.0,0.0
BRSHEL,YELLOW BRASS SHELLS,BRASS TIER 1,BRASS,NON_FERROUS,15.0,1.53,avg cost,22.95,0.0,0.0
1010ALEXT,1010 BARE EXTRUSION,ALUMINUM,ALUMINUM,NON_FERROUS,144.0,0.65,purchase (YTD),93.6,0.0,0.0
NI00001,NICKEL,STAINLESS STEEL TIER 2,STAINLESS STEEL,NON_FERROUS,41.0,1.0,avg cost,41.0,0.0,0.0
INCTR,INCONEL TURNINGS,STAINLESS STEEL TIER 2,STAINLESS STEEL,NON_FERROUS,13.0,0.75,purchase (YTD),9.75,0.0,0.0
MA00001,MAGNESIUM,OTHER,OTHER,Other,5.0,0.01,purchase (YTD),0.05,0.0,0.0
LEWHEEL,WHEEL WEIGHTS,LEAD,LEAD,NON_FERROUS,3758.0,0.02,purchase (YTD),75.16,0.0,0.06
LESTRIP,CLEAN LEAD,LEAD,LEAD,NON_FERROUS,231.0,0.25,purchase (YTD),57.75,0.0,0.0
LERANGE,RANGE LEAD,LEAD,LEAD,NON_FERROUS,113.0,0.47,avg cost,53.51,0.0,0.0
LDPPE,LEAD PIPE,LEAD,LEAD,NON_FERROUS,594.0,0.09,avg cost,54.29,0.0,0.01
INCU T,COPPER TURNINGS,COPPER TIER 1,COPPER,NON_FERROUS,19.0,3.1,purchase (YTD),58.9,0.0,0.0
FENST,FENCING,STEEL,STEEL,FERROUS,5140.0,0.02,purchase (YTD),92.01,0.0,0.08
CUFUS,COPPER FUSES,COPPER TIER 3,COPPER,NON_FERROUS,44.0,1.93,avg cost,84.81,0.0,0.0
FE0AUTO,AUTO BODY - INCOMPLETE,STEEL,STEEL,FERROUS,440.0,0.09,avg cost,38.28,0.0,0.01
ELPLUG,PLUG ENDS,OTHER,OTHER,Other,41.0,0.04,avg cost,1.64,0.0,0.0
DPBr,Dirty Plumbers Brass,BRASS TIER 1,BRASS,NON_FERROUS,17.0,0.5,avg cost,8.5,0.0,0.0
DALRS,Dirty Aluminum Rims,ALUMINUM,ALUMINUM,NON_FERROUS,9.0,1.27,sale (recent),11.39,0.0,0.0
CuSt,Cu/Steel Mix,COPPER TIER 3,COPPER,NON_FERROUS,9.0,0.5,purchase (YTD),4.5,0.0,0.0
CuBkrs,Copper Breakers,COPPER TIER 3,COPPER,NON_FERROUS,10.0,0.07,avg cost,0.7,0.0,0.0
ZNTURN,ZINC TURNINGS,ZINC,ZINC,NON_FERROUS,146.0,0.15,avg cost,21.9,0.0,0.0
