Material Name,Material Code,Commodity Name,Hold Total,Total Wip Weight,Total Wip Cost,Total FG Weight,Total FG Cost,Total Net Weight,Total Cost,Average Cost,Commodity Type
360 BRASS TURNINGS,360 brass turnings,BRASS TIER 2,0,344,842.8000,0,0,344,842.8000,2.4500,NON_FERROUS
380 ALUMINUM TURNINGS,380ALTRN,ALUMINUM,0,0,0,0,0,0,0,0,NON_FERROUS
380 BARE NEW CAST ALUMINUM,380NCAL,ALUMINUM,0,0,0,0,0,0,0,0,NON_FERROUS
380 NEW CAST W/ 5% RUBBER ATTACHMENTS,380NCRUB,ALUMINUM,0,0,0,1847,553.3485,1847,553.3485,0.2996,NON_FERROUS
380 PTD NEW CAST,380PTDNC,ALUMINUM,0,0,0,666,199.7910,666,199.7910,0.3000,NON_FERROUS
"#3 COPPER",CU00003,COPPER TIER 1,0,276,734.9597,298,789.7000,574,1524.6597,2.6562,NON_FERROUS
"#3 Cu MICA 98%",CU0003MICA,COPPER TIER 1,0,0,0,0,0,0,0,0,NON_FERROUS
400 STAINLESS STEEL SOLIDS,NISS400,STAINLESS STEEL TIER 2,0,0,0,0,0,0,0,0,NON_FERROUS
410 SS TURNINGS,410SSTRN,STAINLESS STEEL TIER 2,0,483,24.1500,0,0,483,24.1500,0.0500,NON_FERROUS
410 STAINLESS SOLIDS,410SSS,STAINLESS STEEL TIER 2,0,0,0,0,0,0,0,0,NON_FERROUS
4140 SOLIDS,4140SOLS,STEEL,0,251,20.1695,3004,241.3905,3255,261.5600,0.0804,FERROUS
416 SS SOLIDS,416SSS,STAINLESS STEEL TIER 2,0,0,0,0,0,0,0,0,NON_FERROUS
416 SS TURNINGS,416SST,STAINLESS STEEL TIER 2,0,202,6.0600,0,0,202,6.0600,0.0300,NON_FERROUS
430 STAINLESS STEEL PIPE,430SSP,STAINLESS STEEL TIER 2,0,83,20.7500,0,0,83,20.7500,0.2500,NON_FERROUS
440 STAINLESS SOLIDS,440SSS,STAINLESS STEEL TIER 2,0,0,0,0,0,0,0,0,NON_FERROUS
446 STAINLESS STEEL,446SS,STAINLESS STEEL TIER 2,0,0,0,0,0,0,0,0,NON_FERROUS
465 TURNINGS,465TRNS,STAINLESS STEEL TIER 2,0,0,0,0,0,0,0,0,NON_FERROUS
