Outbound Ticket Id,Status,Customer Name,Invoice Id,Invoice Issue Date,Invoice Status,Commodity Name,Material Name,Yard Net Weight,Yard Value,Consumer Net Weight,Consumer Value,Amount (Invoice Currency),Cost Of Goods Sold (Yard Currency),Cost Of Goods Sold (Invoice Currency),Margin,Commodity Type,Sales Order #,Carrier Name,Ship To Name,Ship To Address,Ship To City,Ship To State,Ship To Zip
1312,PAID,Omni Source,1350,"01-15-26, 08:06:09",PAID,STEEL,STEEL WIRE,"25,760","$2,599.00","25,760","$2,717.68","$2,717.68",$0.00,$0.00,"$2,717.68",FERROUS,178,BMR Transport - 3,Omni - South Bend,1305 Prairie Ave,South Bend,IN,46680
1305,SHIPPED,Omni Source,1344,"01-15-26, 07:14:29",PAID,ALUMINUM,ZZ DO NOT USE ALUMINUM BREAKAGE,"10,500","$3,360.00","10,500","$3,570.00","$3,570.00","$1,129.76","$1,129.76","$2,440.24",NON_FERROUS,351,BMR Transport,Omni - New Carlisle,54450 Smilax Road,New Carlisle,IN,46552
1301,SHIPPED,Padnos,1338,"01-14-26, 10:56:23",PAID,STEEL,ZZ DO NOT USE STEEL TURNINGS,"56,280","$6,658.13","56,300","$6,157.80","$6,157.80","$1,725.34","$1,725.34","$4,432.46",FERROUS,343,,Holland Location,140 West 7th Street,Holland,MI,49423
1298,PAID,Padnos,1335,"01-13-26, 14:06:47",PAID,STEEL,ZZ DO NOT USE STEEL TURNINGS,"43,100","$5,098.88","43,100","$5,098.89","$5,098.89",$0.00,$0.00,"$5,098.89",FERROUS,343,BMR Transport - 1,Holland Location,140 West 7th Street,Holland,MI,49423
1297,SHIPPED,Padnos,1334,"01-13-26, 12:06:29",PAID,STEEL,ZZ DO NOT USE STEEL TURNINGS,"46,520","$5,503.48","46,400","$5,075.00","$5,075.00","$1,355.29","$1,355.29","$3,719.71",FERROUS,343,,Holland Location,140 West 7th Street,Holland,MI,49423
1295,PAID,Omni Source,1332,"01-12-26, 09:16:20",PAID,STEEL,BUSHELING,"34,460","$5,507.45","34,460","$5,968.95","$5,968.95",$0.00,$0.00,"$5,968.95",FERROUS,334,BMR Transport - 3,Omni - New Carlisle,54450 Smilax Road,New Carlisle,IN,46552
1291,PAID,Omni Source,1329,"01-09-26, 14:41:14",PAID,STEEL,STEEL WIRE,"38,520","$3,886.39","38,520","$4,063.86","$4,063.86",$0.00,$0.00,"$4,063.86",FERROUS,178,BMR Transport - 3,Omni - South Bend,1305 Prairie Ave,South Bend,IN,46680
1290,PAID,Omni Source,1328,"01-09-26, 14:40:44",PAID,STEEL,STEEL WIRE,"39,680","$4,003.43","39,680","$4,186.24","$4,186.24",$0.00,$0.00,"$4,186.24",FERROUS,178,BMR Transport - 3,Omni - South Bend,1305 Prairie Ave,South Bend,IN,46680
1328,SHIPPED,Padnos,1367,"01-08-26, 14:31:50",PAID,BRASS TIER 1,EDM WIRE ,"2,030","$6,374.20","2,030","$6,374.20","$6,374.20","$4,445.70","$4,445.70","$1,928.50",NON_FERROUS,363,,Benton Harbor,1410 Paw Paw Ave,Benton Harbor,MI,49022
1328,SHIPPED,Padnos,1367,"01-08-26, 14:31:50",PAID,STAINLESS STEEL TIER 2,CARBIDE,255,"$5,737.50",255,"$5,737.50","$5,737.50","$3,545.79","$3,545.79","$2,191.71",NON_FERROUS,363,,Benton Harbor,1410 Paw Paw Ave,Benton Harbor,MI,49022
1328,SHIPPED,Padnos,1367,"01-08-26, 14:31:50",PAID,STAINLESS STEEL TIER 1,17-4 SOLIDS,"2,940",$558.60,"2,940",$558.60,$558.60,$353.84,$353.84,$204.76,NON_FERROUS,363,,Benton Harbor,1410 Paw Paw Ave,Benton Harbor,MI,49022
1328,SHIPPED,Padnos,1367,"01-08-26, 14:31:50",PAID,ALUMINUM,6063 BARE ALUMINUM EXTRUSION,"3,758","$6,238.28","3,758","$6,238.28","$6,238.28","$2,850.11","$2,850.11","$3,388.17",NON_FERROUS,363,,Benton Harbor,1410 Paw Paw Ave,Benton Harbor,MI,49022
1328,SHIPPED,Padnos,1367,"01-08-26, 14:31:50",PAID,ALUMINUM,5052 ALUMINUM,974,"$1,860.34",974,"$1,860.34","$1,860.34","$1,246.96","$1,246.96",$613.38,NON_FERROUS,363,,Benton Harbor,1410 Paw Paw Ave,Benton Harbor,MI,49022
