Material Name,Material Code,Commodity Name,Hold Total,Total Wip Weight,Total Wip Cost,Total FG Weight,Total FG Cost,Total Net Weight,Total Cost,Average Cost,Commodity Type
Dirty Plumbers Brass,DPBr,BRASS TIER 1,0,64,32.0000,0,0,64,32.0000,0.5000,NON_FERROUS
Door Knobs,DRKBS,BRASS TIER 2,0,37,2.2357,0,0,37,2.2357,0.0604,NON_FERROUS
"EDM WIRE ",EDMW,BRASS TIER 1,0,366,805.2000,0,0,366,805.2000,2.2000,NON_FERROUS
ELECTRIC MOTORS,CUMOTOR,COPPER TIER 3,0,2038,305.7000,0,0,2038,305.7000,0.1500,NON_FERROUS
ELECTRIC MOTORS - FE,CUMOD,COPPER TIER 3,0,4487,433.6571,0,0,4487,433.6571,0.0966,NON_FERROUS
ELECTRIC MOTORS - LARGE,CUELMOL,COPPER TIER 3,0,0,0,0,0,0,0,0,NON_FERROUS
FE PB COUNTER WEIGHTS,FEPBCNTWTS,LEAD,0,0,0,0,0,0,0,0,NON_FERROUS
FULL A/C UNIT,ACUT,STEEL,0,18075,2710.1930,0,0,18075,2710.1930,0.1499,FERROUS
HAST C-276 SOLIDS,HAST276,STAINLESS STEEL TIER 2,0,0,0,0,0,0,0,0,NON_FERROUS
HEATER CORES,BRHEATR,BRASS TIER 2,0,0,0,219,18.1873,219,18.1873,0.0830,NON_FERROUS
HEAVY MELT,INDHVYM,STEEL,0,69876,7934.9369,1719,142.7581,71595,8077.6950,0.1128,FERROUS
HEAVY MELT - UNPREPARED,UNPHMS,STEEL,0,134204,11350.4554,0,0,134204,11350.4554,0.0846,FERROUS
HELIAX OPEN-EYE,HELXOE,COPPER TIER 2,0,0,0,0,0,0,0,0,NON_FERROUS
ICW HARNESS WIRE,ICWHARWIR,COPPER TIER 2,0,7,8.7028,0,0,7,8.7028,1.2433,NON_FERROUS
INCONEL,NIINCON,STAINLESS STEEL TIER 2,0,0,0,0,0,0,0,0,NON_FERROUS
INSULATED EC WIRE,InsECW,ALUMINUM,0,131,39.4920,0,0,131,39.4920,0.3015,NON_FERROUS
Irony Brass Turnings,IrBrTs,BRASS TIER 2,0,0,0,0,0,0,0,0,NON_FERROUS
IRONY EXTRUSIONS,AL063FE,ALUMINUM,0,1824,1090.6797,0,0,1824,1090.6797,0.5980,NON_FERROUS
Irony Red Brass,IyRdBr,BRASS TIER 1,0,0,0,0,0,0,0,0,NON_FERROUS
Irony Yellow Brass,IrYwBr,BRASS TIER 1,0,633,852.1420,0,0,633,852.1420,1.3462,NON_FERROUS
MAGNESIUM,MA00001,OTHER,0,5,0.0000,0,0,5,0.0000,0.0000,Other
MO2-RE2,MO2RE2,STAINLESS STEEL TIER 2,0,0,0,884,1878.0000,884,1878.0000,2.1244,NON_FERROUS
OLD CAST AL,OLCAAL,ALUMINUM,0,0,0,0,0,0,0,0,NON_FERROUS
OLD CAST AL 5% FE,OCAL5,ALUMINUM,0,690,241.5000,0,0,690,241.5000,0.3500,NON_FERROUS
Pewter,Pwtr,BRASS TIER 2,0,17,54.0600,0,0,17,54.0600,3.1800,NON_FERROUS
PHOS BRONZE SOLIDS,BR0PHOS,BRASS TIER 2,0,148,330.0400,0,0,148,330.0400,2.2300,NON_FERROUS
PLATE & STRUCTUAL,INDP&S,STEEL,0,60602,5747.2815,0,0,60602,5747.2815,0.0948,FERROUS
"PREMIUM ELECTRIC MOTORS ",PRELMTR,COPPER TIER 3,0,0,0,0,0,0,0,0,NON_FERROUS
"RAIL WHEELS ",RLWHLS,STEEL,0,0,0,0,0,0,0,0,FERROUS
RANGE LEAD,LERANGE,LEAD,0,113,53.5055,0,0,113,53.5055,0.4735,NON_FERROUS
REBAR,REBAR,STEEL,0,4360,97.3200,0,0,4360,97.3200,0.0223,FERROUS
RED BRASS SOLIDS,BRREDSD,BRASS TIER 1,0,168,482.5462,0,0,168,482.5462,2.8723,NON_FERROUS
RED BRASS TURNINGS,BR360BO,BRASS TIER 1,0,40,112.0000,0,0,40,112.0000,2.8000,NON_FERROUS
ROMEX WIRE,RMXWIR,COPPER TIER 2,0,291,627.4933,0,0,291,627.4933,2.1563,NON_FERROUS
SEALED UNITS,CUSEALD,COPPER TIER 3,0,5633,557.5387,0,0,5633,557.5387,0.0990,NON_FERROUS
SEMI RED BRASS,SEMREBR,BRASS TIER 1,0,0,0,0,0,0,0,0,NON_FERROUS
SHEET IRON,SHIRST,STEEL,0,380723,31856.2378,1835,128.3610,382558,31984.5988,0.0836,FERROUS
Silver Plated Brass,SvrPBr,BRASS TIER 2,0,0,0,0,0,0,0,0,NON_FERROUS
Silver Plated Copper,SvPtCu,COPPER TIER 1,0,10,20.0000,0,0,10,20.0000,2.0000,NON_FERROUS
