date,FCX,SCCO,COPX,BHP,RIO,VALE,FXI,MCHI,ASHR,KWEB,DBB,PICK,XME,SLX,CPER,SPY,GLD,USO,VIX,DX_Y_NYB,TNX,CNY,CLP,AUD,PEN
2022-03-18,45.227378845214844,59.76121139526367,39.623634338378906,49.51201629638672,58.10697937011719,13.432271957397461,29.819808959960938,49.52043151855469,31.679594039916992,27.68254280090332,21.332616806030273,40.583492279052734,56.20264434814453,56.91625213623047,28.719999313354492,419.5567321777344,179.3000030517578,74.63999938964844,23.8700008392334,98.2300033569336,2.1480000019073486,6.3454999923706055,799.0599975585938,1.354830026626587,3.7300000190734863
2022-03-21,46.57252502441406,61.98082733154297,40.580162048339844,51.55583190917969,59.84795379638672,14.052438735961914,28.570205688476562,47.667686462402344,31.26017951965332,25.854957580566406,21.846450805664062,41.73728561401367,58.51298904418945,58.88524627685547,28.549999237060547,419.4340515136719,180.6699981689453,79.54000091552734,23.530000686645508,98.5,2.315000057220459,6.360199928283691,803.010009765625,1.3495299816131592,3.7780001163482666
2022-03-22,46.90177536010742,61.562652587890625,40.769657135009766,51.11683654785156,58.90812683105469,13.784639358520508,29.82880401611328,49.50244140625,31.4093017578125,27.942346572875977,21.829320907592773,41.929588317871094,58.147945404052734,58.54243087768555,28.6299991607666,424.34197998046875,179.36000061035156,78.55999755859375,22.940000534057617,98.48999786376953,2.372999906539917,6.354499816894531,793.260009765625,1.352120041847229,3.7829999923706055
2022-03-23,46.854732513427734,62.382938385009766,41.211822509765625,52.505767822265625,59.994319915771484,14.045390129089355,29.640010833740234,49.187660217285156,31.19493865966797,28.040891647338867,22.711400985717773,42.372711181640625,59.19504928588867,59.228065490722656,29.149999618530273,418.8771667480469,181.80999755859375,81.94999694824219,23.56999969482422,98.62000274658203,2.321000099182129,6.365300178527832,792.280029296875,1.340069055557251,3.7730000019073486
2022-03-24,48.397430419921875,62.01300048828125,41.67204284667969,53.448509216308594,60.3178596496582,14.108818054199219,29.316375732421875,48.728965759277344,31.17629623413086,27.27044105529785,22.111928939819336,43.07501983642578,60.818546295166016,60.80149841308594,28.729999542236328,425.1914367675781,183.1300048828125,79.75,21.670000076293945,98.79000091552734,2.3410000801086426,6.371300220489502,792.1099853515625,1.3334800004959106,3.765000104904175
2022-03-25,48.84895706176758,62.455322265625,41.93373489379883,54.218536376953125,61.25767135620117,14.052438735961914,28.87586212158203,47.74863815307617,30.607757568359375,26.141639709472656,22.25751495361328,43.27568054199219,60.83776092529297,61.34648895263672,28.610000610351562,427.2678527832031,182.3800048828125,80.73999786376953,20.809999465942383,98.80999755859375,2.492000102996826,6.366300106048584,788.6099853515625,1.3308000564575195,3.734999895095825
2022-03-28,47.28744125366211,61.32942199707031,41.52765655517578,54.3984489440918,60.495033264160156,14.073580741882324,29.325363159179688,48.306251525878906,30.33746910095215,26.83146095275879,22.326025009155273,42.79075241088867,59.435211181640625,60.467472076416016,28.75,430.30712890625,179.05999755859375,74.52999877929688,19.6299991607666,99.08999633789062,2.4769999980926514,6.365200042724609,777.510009765625,1.3301000595092773,3.6761040687561035
2022-03-29,47.11811828613281,61.46614456176758,41.07646560668945,54.42723083496094,60.37948989868164,14.05948543548584,29.954662322998047,49.2236328125,30.458635330200195,28.03193473815918,21.923524856567383,42.48976135253906,58.58984375,59.658782958984375,28.920000076293945,435.6303405761719,179.13999938964844,76.1500015258789,18.899999618530273,98.4000015258789,2.4000000953674316,6.370699882507324,778.0800170898438,1.3334219455718994,3.7290000915527344
2022-03-30,47.767181396484375,61.79586410522461,41.43741989135742,56.21916961669922,62.01261520385742,14.115867614746094,29.7928409576416,49.322566986083984,31.204254150390625,27.243562698364258,22.411664962768555,43.0499382019043,59.23347091674805,59.94007110595703,28.81999969482422,432.9403991699219,180.5800018310547,77.91000366210938,19.329999923706055,97.79000091552734,2.3580000400543213,6.363100051879883,779.7100219726562,1.3307299613952637,3.7230000495910645
2022-03-31,46.78889465332031,61.03989028930664,41.067440032958984,55.59307098388672,61.935585021972656,14.087676048278809,28.741016387939453,47.568756103515625,30.84076690673828,25.541399002075195,22.12905502319336,42.824195861816406,58.87803649902344,59.632408142089844,28.709999084472656,426.2768859863281,180.64999389648438,74.12000274658203,20.559999465942383,98.30999755859375,2.3269999027252197,6.346199989318848,788.6300048828125,1.332800030708313,3.7074999809265137
