date,lme_al_cw
2021-03-04,16.62
2021-03-05,16.86
2021-03-08,16.72
2021-03-09,16.81
2021-03-10,16.58
2021-03-11,12.41
2021-03-12,10.89
2021-03-15,12.93
2021-03-16,16.95
2021-03-17,18.59
2021-03-18,20.15
2021-03-19,29.31
2021-03-22,33.85
2021-03-23,33.9
2021-03-24,34.21
2021-03-25,33.92
2021-03-26,34.15
2021-03-29,33.87
2021-03-30,33.46
2021-03-31,29.87
2021-04-01,29.43
2021-04-02,29.43
2021-04-05,29.43
2021-04-06,28.61
2021-04-07,28.09
2021-04-08,27.74
2021-04-09,27.89
2021-04-12,27.63
2021-04-13,27.41
2021-04-14,29.02
2021-04-15,28.86
2021-04-16,28.7
2021-04-19,28.49
2021-04-20,31.24
2021-04-21,31.32
2021-04-22,31.27
2021-04-23,31.06
2021-04-26,32.01
2021-04-27,31.82
2021-04-28,32.05
2021-04-29,32.28
2021-04-30,32.88
2021-05-03,32.88
2021-05-04,32.62
2021-05-05,31.98
2021-05-06,31.66
2021-05-07,31.47
2021-05-10,31.63
2021-05-11,31.29
2021-05-12,30.98
2021-05-13,30.94
2021-05-14,30.84
2021-05-17,30.66
2021-05-18,30.82
2021-05-19,30.62
2021-05-20,30.64
2021-05-21,32.68
2021-05-24,33.98
2021-05-25,33.96
2021-05-26,33.8
2021-05-27,34.06
2021-05-28,34.38
2021-06-01,34.54
2021-06-02,34.44
2021-06-03,34.27
2021-06-04,33.89
2021-06-07,33.5
2021-06-08,35.65
2021-06-09,35.51
2021-06-10,35.15
2021-06-11,34.09
2021-06-14,33.49
2021-06-15,33.1
2021-06-16,34.11
2021-06-17,33.56
2021-06-18,35.91
2021-06-21,36.28
2021-06-22,41.03
2021-06-23,41.44
2021-06-24,41.45
2021-06-25,41.0
2021-06-28,40.62
2021-06-29,40.28
2021-06-30,39.68
2021-07-01,39.97
2021-07-05,39.84
2021-07-06,39.31
2021-07-07,40.49
2021-07-08,40.2
2021-07-09,40.12
2021-07-12,40.02
2021-07-13,39.38
2021-07-14,39.08
2021-07-15,38.78
2021-07-16,38.4
2021-07-19,38.1
2021-07-20,37.71
2021-07-21,37.44
2021-07-22,37.65
2021-07-23,40.09
2021-07-26,40.32
2021-07-27,40.92
2021-07-28,40.65
2021-07-29,40.38
2021-07-30,40.06
2021-08-02,39.66
2021-08-03,39.33
2021-08-04,39.07
2021-08-05,38.71
2021-08-06,38.23
2021-08-09,38.56
2021-08-10,38.25
2021-08-11,37.56
2021-08-12,37.25
2021-08-13,36.93
2021-08-16,36.75
2021-08-17,35.89
2021-08-18,34.25
2021-08-19,35.37
2021-08-20,35.24
2021-08-23,35.15
2021-08-24,34.8
