Material Name,Total Wip Weight,Total FG Weight,Total Net Weight,Commodity Type,Material Code,Commodity Name,Total Wip Cost,Total FG Cost,Total Cost,Average Cost
ALUMINUM THERMAL EXT,754,1666,2420,NON_FERROUS,ALTHERMEX,ALUMINUM,444.9456,949.0544,1394.0000,0.5760
ALUMINUM TRAILER STOCK,0,0,0,NON_FERROUS,ALTRSTK,ALUMINUM,0,0,0,
ALUM TRANSFORMERS,155,0,155,NON_FERROUS,ALTRANSF,ALUMINUM,13.9500,0,13.9500,0.0900
AUTO BATTERIES,2008,13709,15717,NON_FERROUS,LEAUTOB,LEAD,200.7427,1360.6225,1561.3652,0.0993
AUTO CAST,111909,0,111909,FERROUS,FEAUCST,STEEL,18353.3744,0,18353.3744,0.1640
BALLAST,460,0,460,NON_FERROUS,CUBALST,COPPER TIER 3,69.0000,0,69.0000,0.1500
BARE BRIGHT COPPER,3911,0,3911,NON_FERROUS,CUBB001,COPPER TIER 1,18130.4368,0,18130.4368,4.6358
Beryllium Copper Solids,0,0,0,NON_FERROUS,BrCuSds,COPPER TIER 1,0,0,0,
BRASS AUTO RADIATORS - CLEAN,160,0,160,NON_FERROUS,BRAUTOR,BRASS TIER 2,206.5000,0,206.5000,1.2906
BRASS AUTO RADIATORS - FE,221,0,221,NON_FERROUS,BRAUTOF,BRASS TIER 2,201.7473,0,201.7473,0.9129
BRONZE TURNINGS,101,0,101,NON_FERROUS,BRNZTRN,BRASS TIER 2,131.3000,0,131.3000,1.3000
BUSHELING,117298,0,117298,FERROUS,Indbush,STEEL,11329.9523,0,11329.9523,0.0966
CARBIDE,33,0,33,NON_FERROUS,NICARBD,STAINLESS STEEL TIER 2,660.0000,0,660.0000,20.0000
CARDBOARD,0,4017,4017,WA,CB2,ZWASTE,0,278.9922,278.9922,0.0695
CAST AL,14,0,14,NON_FERROUS,CASAL,ALUMINUM,4.2000,0,4.2000,0.3000
CHROME/NICKEL PLATED BRASS SHELLS,0,0,0,NON_FERROUS,CRNIBR7030,BRASS TIER 2,0,0,0,
CHROME RIMS,279,474,753,NON_FERROUS,ALWHLCR,ALUMINUM,106.2181,229.7667,335.9848,0.4462
CLEAN CAST ALUMINUM,747,1466,2213,NON_FERROUS,CCAL,ALUMINUM,309.0505,595.1075,904.1580,0.4086
CLEAN LEAD,0,0,0,NON_FERROUS,LESTRIP,LEAD,0,0,0,
CLEAN SHEET,80997,0,80997,FERROUS,CLSHST,STEEL,6774.6993,0,6774.6993,0.0836
COMMUNICATION WIRE,1020.0,2679,3699.0,NON_FERROUS,COMWIRECU,COPPER TIER 2,1598.4596,5153.6712,6752.1308,1.8254
COPPER/ALUMINUM TRANSFORMERS,61,0,61,NON_FERROUS,CUALTRAN,COPPER TIER 3,7.3200,0,7.3200,0.1200
COPPER ARMATURES,465,0,465,NON_FERROUS,COPARM,COPPER TIER 3,452.2393,0,452.2393,0.9726
Copper Breakers,0,0,0,NON_FERROUS,CuBkrs,COPPER TIER 3,0,0,0,
COPPER FUSES,33,0,33,NON_FERROUS,CUFUS,COPPER TIER 3,122.2629,0,122.2629,3.7049
COPPER TRANSFORMERS,267,0,267,NON_FERROUS,CU TRANS,COPPER TIER 3,53.4000,0,53.4000,0.2000
CU BUSS BAR,145,0,145,NON_FERROUS,CUBSBR,COPPER TIER 1,573.2248,0,573.2248,3.9533
DC MOTORS,17,0,17,NON_FERROUS,CUMOTORDC,COPPER TIER 3,0.0000,0,0.0000,0.0000
Dirty Aluminum Rims,9,0,9,NON_FERROUS,DALRS,ALUMINUM,3.6000,0,3.6000,0.4000
Dirty Plumbers Brass,17,0,17,NON_FERROUS,DPBr,BRASS TIER 1,8.5000,0,8.5000,0.5000
Door Knobs,19,0,19,NON_FERROUS,DRKBS,BRASS TIER 2,1.1557,0,1.1557,0.0608
"EDM WIRE ",366,0,366,NON_FERROUS,EDMW,BRASS TIER 1,805.2000,0,805.2000,2.2000
ELECTRIC MOTORS,1956,0,1956,NON_FERROUS,CUMOTOR,COPPER TIER 3,293.4000,0,293.4000,0.1500
ELECTRIC MOTORS - FE,3850,0,3850,NON_FERROUS,CUMOD,COPPER TIER 3,369.9571,0,369.9571,0.0961
ELECTRIC MOTORS - LARGE,0,0,0,NON_FERROUS,CUELMOL,COPPER TIER 3,0,0,0,
FE PB COUNTER WEIGHTS,0,0,0,NON_FERROUS,FEPBCNTWTS,LEAD,0,0,0,
FULL A/C UNIT,17293,0,17293,FERROUS,ACUT,STEEL,2592.8930,0,2592.8930,0.1499
HAST C-276 SOLIDS,0,0,0,NON_FERROUS,HAST276,STAINLESS STEEL TIER 2,0,0,0,
HEATER CORES,0,219,219,NON_FERROUS,BRHEATR,BRASS TIER 2,0,18.1873,18.1873,0.0830
HEAVY MELT,66956,1719,68675,FERROUS,INDHVYM,STEEL,7609.0686,142.7581,7751.8267,0.1129
HEAVY MELT - UNPREPARED,118361,0,118361,FERROUS,UNPHMS,STEEL,9934.0554,0,9934.0554,0.0839
HELIAX OPEN-EYE,0,0,0,NON_FERROUS,HELXOE,COPPER TIER 2,0,0,0,
ICW HARNESS WIRE,631,0,631,NON_FERROUS,ICWHARWIR,COPPER TIER 2,784.4932,0,784.4932,1.2433
INCONEL,0,0,0,NON_FERROUS,NIINCON,STAINLESS STEEL TIER 2,0,0,0,
INSULATED EC WIRE,131,0,131,NON_FERROUS,InsECW,ALUMINUM,39.4920,0,39.4920,0.3015
Irony Brass Turnings,0,0,0,NON_FERROUS,IrBrTs,BRASS TIER 2,0,0,0,
IRONY EXTRUSIONS,1595,0,1595,NON_FERROUS,AL063FE,ALUMINUM,953.2797,0,953.2797,0.5977
Irony Red Brass,0,0,0,NON_FERROUS,IyRdBr,BRASS TIER 1,0,0,0,
Irony Yellow Brass,1080,0,1080,NON_FERROUS,IrYwBr,BRASS TIER 1,1454.8839,0,1454.8839,1.3471
MAGNESIUM,5,0,5,Other,MA00001,OTHER,0.0000,0,0.0000,0.0000
MO2-RE2,0,884,884,NON_FERROUS,MO2RE2,STAINLESS STEEL TIER 2,0,1878.0000,1878.0000,2.1244
OLD CAST AL,0,0,0,NON_FERROUS,OLCAAL,ALUMINUM,0,0,0,
OLD CAST AL 5% FE,663,0,663,NON_FERROUS,OCAL5,ALUMINUM,232.0500,0,232.0500,0.3500
Pewter,17,0,17,NON_FERROUS,Pwtr,BRASS TIER 2,54.0600,0,54.0600,3.1800
PHOS BRONZE SOLIDS,148,0,148,NON_FERROUS,BR0PHOS,BRASS TIER 2,330.0400,0,330.0400,2.2300
PLATE & STRUCTUAL,60455,0,60455,FERROUS,INDP&S,STEEL,5730.8715,0,5730.8715,0.0948
"PREMIUM ELECTRIC MOTORS ",0,0,0,NON_FERROUS,PRELMTR,COPPER TIER 3,0,0,0,
"RAIL WHEELS ",0,0,0,FERROUS,RLWHLS,STEEL,0,0,0,
RANGE LEAD,113,0,113,NON_FERROUS,LERANGE,LEAD,53.5055,0,53.5055,0.4735
REBAR,4360,0,4360,FERROUS,REBAR,STEEL,97.3200,0,97.3200,0.0223
RED BRASS SOLIDS,1145,0,1145,NON_FERROUS,BRREDSD,BRASS TIER 1,3266.3069,0,3266.3069,2.8527
RED BRASS TURNINGS,40,0,40,NON_FERROUS,BR360BO,BRASS TIER 1,112.0000,0,112.0000,2.8000
ROMEX WIRE,238,1784,2022,NON_FERROUS,RMXWIR,COPPER TIER 2,513.5433,3959.9770,4473.5203,2.2124
SEALED UNITS,5295,0,5295,NON_FERROUS,CUSEALD,COPPER TIER 3,523.7387,0,523.7387,0.0989
SEMI RED BRASS,0,0,0,NON_FERROUS,SEMREBR,BRASS TIER 1,0,0,0,
SHEET IRON,341352,1835,343187,FERROUS,SHIRST,STEEL,28515.3678,128.3610,28643.7288,0.0835
Silver Plated Brass,0,0,0,NON_FERROUS,SvrPBr,BRASS TIER 2,0,0,0,
Silver Plated Copper,10,0,10,NON_FERROUS,SvPtCu,COPPER TIER 1,20.0000,0,20.0000,2.0000
SILVER PLTD BUSS BAR,0,0,0,NON_FERROUS,SVPBB,COPPER TIER 1,0,0,0,
SOFT LEAD,1280,0,1280,NON_FERROUS,SOFLEA,LEAD,388.5451,0,388.5451,0.3036
STAINLESS STEEL - FE,13865,0,13865,NON_FERROUS,NIMIXD,STAINLESS STEEL TIER 1,4401.7033,0,4401.7033,0.3175
STARTERS,74,0,74,NON_FERROUS,CUSTART,COPPER TIER 3,18.5000,0,18.5000,0.2500
STEEL BX CABLE,9,0,9,FERROUS,STBXCAB,STEEL,0.7238,0,0.7238,0.0804
STEEL BX WIRE (fe),228,0,228,FERROUS,STBXW,STEEL,30.2000,0,30.2000,0.1325
STEEL CABLE,0,0,0,FERROUS,STCBLE,STEEL,0,0,0,
STEEL CASED BATTERIES,0,0,0,NON_FERROUS,LEFECAS,LEAD,0,0,0,
STEEL CASED COPPER TRANSFORMERS,266,0,266,NON_FERROUS,STCSCOTRA,COPPER TIER 3,48.5571,0,48.5571,0.1825
STEEL TURNING,1852,0,1852,FERROUS,TURNSTEEL,STEEL,95.0800,0,95.0800,0.0513
Teck Cable,0,0,0,NON_FERROUS,TCABLE,COPPER TIER 2,0,0,0,
TIN PLATED BUSBAR,0,0,0,NON_FERROUS,TCUBSBR,COPPER TIER 1,0,0,0,
TIN PLTD COPPER WIRE,0.0,0,0.0,NON_FERROUS,TNPDCWR,COPPER TIER 1,0,0,0,
TITANIUM TURNINGS,33,0,33,NON_FERROUS,TTSS,STAINLESS STEEL TIER 2,4.9500,0,4.9500,0.1500
TUNGSTEN MOLY TA INSERTS,0,0,0,NON_FERROUS,TUNGMOTAINS,STAINLESS STEEL TIER 2,0,0,0,
"UNPREPARED P&S ",12098,0,12098,FERROUS,UNPREP,STEEL,1084.4314,0,1084.4314,0.0896
WASTE,12660,0,12660,WA,WASTE,ZWASTE,0.0000,0,0.0000,0.0000
WHEEL WEIGHTS,398,0,398,NON_FERROUS,LEWHEEL,LEAD,42.2676,0,42.2676,0.1062
YELLOW BRASS SHELLS,0,0,0,NON_FERROUS,BRSHEL,BRASS TIER 1,0,0,0,
YELLOW BRASS SOLIDS,1475,0,1475,NON_FERROUS,BRYELLO,BRASS TIER 1,3760.7132,0,3760.7132,2.5496
YELLOW BRASS TURNINGS,97,0,97,NON_FERROUS,BRINDBT,BRASS TIER 1,178.4072,0,178.4072,1.8392
ZINC DIE CAST,984,0,984,NON_FERROUS,ZNDICST,ZINC,497.5314,0,497.5314,0.5056
"ZZ DO NOT USE - 3003 ALUMINUM PAINTED  ",0,0,0,NON_FERROUS,3003PTD,ALUMINUM,0,0,0,
ZZ DO NOT USE - 356 ALUMINUM CASTINGS,0,0,0,NON_FERROUS,356ALCAST,ALUMINUM,0,0,0,
ZZ DO NOT USE - AL BARE EC WIRE,0,0,0,NON_FERROUS,AL0BECW,ALUMINUM,0,0,0,
ZZ DO NOT USE ALUMINUM BREAKAGE,0,0,0,NON_FERROUS,ALBRKG,ALUMINUM,0,0,0,
ZZ DO NOT USE - ALUMINUM TURNINGS,0.0,1119,1119.0,NON_FERROUS,ALMTRNG,ALUMINUM,0,223.8447,223.8447,0.2000
ZZ DO NOT USE CAST ALUMINUM,0,0,0,NON_FERROUS,AL0CAST,ALUMINUM,0,0,0,
ZZ DO NOT USE HELIAX,0,0,0,NON_FERROUS,OPNEYHLXCU,COPPER TIER 2,0,0,0,
ZZ DO NOT USE - ROMEX,0,0,0,NON_FERROUS,ROMWIRE,COPPER TIER 2,0,0,0,
ZZ DO NOT USE STEEL TURNINGS,0,0,0,FERROUS,FETURN,STEEL,0,0,0,
ZZ DO NOT USE - UNPREPARED HMS (uhms),0,0,0,FERROUS,UNHMS,STEEL,0,0,0,
