Material Type,Commodity,Commodity Type,Closing Balance - Wip - Cost,Closing Balance - Wip - Weight,Closing Balance - Finished Goods - Cost,Closing Balance - Finished Goods - Weight,Material Code,Available To Sale,Theoretical Inventory,Inventory Variance,Start Date,End Date,Outbound Cost,Outbound Weight,Adjustments Cost,Adjustments Weight,Opening Cost,Opening Weight,Inbound Cost,Inbound Weight,Regrades Cost,Regrades Weight,Closing Cost,Closing Weight,Closing Cost/um,Opening Balance - Wip - Cost,Opening Balance - Wip - Weight,Inbound - Wip - Cost,Inbound - Wip - Weight,Outbound - Wip - Cost,Outbound - Wip - Weight,Opening Balance - Finished Goods - Cost,Opening Balance - Finished Goods - Weight,Inbound - Finished Goods - Cost,Inbound - Finished Goods - Weight,Outbound - Finished Goods - Cost,Outbound - Finished Goods - Weight,Voided - Finished Goods - Cost,Voided - Finished Goods - Weight,Yard Name,Yard Address Name,Gl Income Code,Gl Expense Code,"Opening
  Cost/um","Closing Cost/um (+
  Freight)",Adjustment Notes,Hold Total Weight (Current),Hold Total Cost (Current)
380 PTD NEW CAST,ALUMINUM,NON_FERROUS,0.0000,0,0,0,380PTDNC,0,0,0,2025-12-31,2025-12-31,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0,0.00,,0,0
"#3 COPPER",COPPER TIER 1,NON_FERROUS,0.0000,0,0,0,CU00003,0,0,0,2025-12-31,2025-12-31,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0,0.00,,0,0
"#3 Cu MICA 98%",COPPER TIER 1,NON_FERROUS,0.0000,0,0,0,CU0003MICA,0,0,0,2025-12-31,2025-12-31,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0,0.00,,0,0
400 STAINLESS STEEL SOLIDS,STAINLESS STEEL TIER 2,NON_FERROUS,0.0000,0,0,0,NISS400,0,0,0,2025-12-31,2025-12-31,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0,0.00,,0,0
410 SS TURNINGS,STAINLESS STEEL TIER 2,NON_FERROUS,0.0000,0,20.6400,435,410SSTRN,435,435,0E-20,2025-12-31,2025-12-31,0,0,0,0,20.6400,435,0,0,0,0,20.6400,435,0.04744827586206896552,0.0000,0,0,0,0,0,20.6400,435,0,0,0,0,0,0,MILTON,Benton Metals,,,0.04744827586206896552,0.0569379310344827586240,,0,0
410 STAINLESS SOLIDS,STAINLESS STEEL TIER 2,NON_FERROUS,0.0000,0,0,0,410SSS,0,0,0,2025-12-31,2025-12-31,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0,0.00,,0,0
4140 SOLIDS,STEEL,FERROUS,0.0000,0,0,0,4140SOLS,0,0,0,2025-12-31,2025-12-31,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0,0.00,,0,0
416 SS SOLIDS,STAINLESS STEEL TIER 2,NON_FERROUS,0.0000,0,0,0,416SSS,0,0,0,2025-12-31,2025-12-31,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0,0.00,,0,0
430 STAINLESS STEEL PIPE,STAINLESS STEEL TIER 2,NON_FERROUS,0.0000,0,0,0,430SSP,0,0,0,2025-12-31,2025-12-31,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0,0.00,,0,0
440 STAINLESS SOLIDS,STAINLESS STEEL TIER 2,NON_FERROUS,68.1978,993,0,0,440SSS,993,993,0E-20,2025-12-31,2025-12-31,0,0,0,0,68.1978,993,0,0,0,0,68.1978,993,0.06867854984894259819,68.1978,993,0,0,0,0,0.0000,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0.06867854984894259819,0.0824142598187311178280,,0,0
446 STAINLESS STEEL,STAINLESS STEEL TIER 2,NON_FERROUS,0.0000,0,0,0,446SS,0,0,0,2025-12-31,2025-12-31,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0,0.00,,0,0
5052 ALUMINUM,ALUMINUM,NON_FERROUS,1646.9372,1230,0,0,AL05052,1230,1230,0E-20,2025-12-31,2025-12-31,0,0,0,0,1646.9372,1230,0,0,0,0,1646.9372,1230,1.3389733333333333,1646.9372,1230,0,0,0,0,0.0000,0,0,0,0,0,0,0,MILTON,Benton Metals,,,1.3389733333333333,1.606767999999999960,,0,0
5052 ALUMINUM SHEET W/POLY,ALUMINUM,NON_FERROUS,678.8100,561,748.9900,619,AL5052SHPOLY,1180,1180,0E-20,2025-12-31,2025-12-31,0,0,0,0,1427.8000,1180,0,0,0,0,1427.8000,1180,1.2100000000000000,678.8100,561,0,0,0,0,748.9900,619,0,0,0,0,0,0,MILTON,Benton Metals,,,1.2100000000000000,1.452000000000000000,,0,0
6022 ALUMINUM,ALUMINUM,NON_FERROUS,200.0739,591,0,0,6022ALUM,591,591,0E-20,2025-12-31,2025-12-31,0,0,0,0,200.0739,591,0,0,0,0,200.0739,591,0.33853451776649746193,200.0739,591,0,0,0,0,0.0000,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0.33853451776649746193,0.4062414213197969543160,,0,0
60/40 NAVAL BRASS,BRASS TIER 2,NON_FERROUS,0.0000,0,0,0,6040NAVBR,0,0,0,2025-12-31,2025-12-31,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0,0.00,,0,0
