Location,Material Code,Material Name,Commodity Name,Commodity Type,Total Wip Weight,Total FG Weight,Total Net Weight,Total Wip Cost,Total FG Cost,Total Cost,Average Cost
Merrillville,STCBLE,STEEL CABLE,STEEL,FERROUS,0,0,0,0,0,0,
Milton,INDCLIPS,STEEL CLIPS,STEEL,FERROUS,0,0,0,0,0,0,
Milton,STLCOL,STEEL COIL,STEEL,FERROUS,0,11489,11489,0,639.5635,639.5635,0.0557
Milton,STMTRBLK,STEEL MOTOR BLOCKS,STEEL,FERROUS,10649,0,10649,1465.0729,0,1465.0729,0.1376
Merrillville,TURNSTEEL,STEEL TURNING,STEEL,FERROUS,1852,0,1852,95.0800,0,95.0800,0.0513
Milton,TURNSTEEL,STEEL TURNING,STEEL,FERROUS,261102,0,261102,8480.7044,0,8480.7044,0.0325
Milton,STWR,STEEL WIRE,STEEL,FERROUS,440,0,440,21.6071,0,21.6071,0.0491
Merrillville,UNPREP,UNPREPARED P&S ,STEEL,FERROUS,12098,0,12098,1084.4314,0,1084.4314,0.0896
Milton,UNPREP,UNPREPARED P&S ,STEEL,FERROUS,38240,0,38240,2244.0746,0,2244.0746,0.0587
Merrillville,UNHMS,ZZ DO NOT USE - UNPREPARED HMS (uhms),STEEL,FERROUS,0,0,0,0,0,0,
Milton,UNHMS,ZZ DO NOT USE - UNPREPARED HMS (uhms),STEEL,FERROUS,0,0,0,0,0,0,
Merrillville,FETURN,ZZ DO NOT USE STEEL TURNINGS,STEEL,FERROUS,0,0,0,0,0,0,
Milton,FETURN,ZZ DO NOT USE STEEL TURNINGS,STEEL,FERROUS,0,0,0,0,0,0,
Milton,1010ALEXT,1010 BARE EXTRUSION,ALUMINUM,NON_FERROUS,169,0,169,109.8500,0,109.8500,0.6500
Merrillville,Al01100,1100 SERIES,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,
Milton,Al01100,1100 SERIES,ALUMINUM,NON_FERROUS,12,0,12,0.9950,0,0.9950,0.0829
Milton,AL02024,2000 SERIES ALUMINUM,ALUMINUM,NON_FERROUS,329,0,329,65.8000,0,65.8000,0.2000
Milton,2024ALCST,2024 AL CASTINGS,ALUMINUM,NON_FERROUS,1,0,1,0.2000,0,0.2000,0.2000
