Location,Material Code,Material Name,Commodity Name,Commodity Type,Total Wip Weight,Total FG Weight,Total Net Weight,Total Wip Cost,Total FG Cost,Total Cost,Average Cost,Hold Total
Milton,380NCRUB,380 NEW CAST W/ 5% RUBBER ATTACHMENTS,ALUMINUM,NON_FERROUS,0,1847,1847,0,553.3485,553.3485,0.2996,0
Merrillville,380PTDNC,380 PTD NEW CAST,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,0,0
Milton,380PTDNC,380 PTD NEW CAST,ALUMINUM,NON_FERROUS,0,666,666,0,199.7910,199.7910,0.3000,0
Merrillville,AL05052,5052 ALUMINUM,ALUMINUM,NON_FERROUS,429,0,429,171.6000,0,171.6000,0.4000,0
Milton,AL05052,5052 ALUMINUM,ALUMINUM,NON_FERROUS,2318,11895,14213,3858.0914,18125.3537,21983.4451,1.5467,0
Milton,AL5052SHPOLY,5052 ALUMINUM SHEET W/POLY,ALUMINUM,NON_FERROUS,1938,0,1938,2940.3113,0,2940.3113,1.5172,0
Milton,6022ALUM,6022 ALUMINUM,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,0,0
Merrillville,6061ALR,6061 AL RIMS,ALUMINUM,NON_FERROUS,485,705,1190,215.4043,321.3320,536.7363,0.4510,0
Milton,6061ALR,6061 AL RIMS,ALUMINUM,NON_FERROUS,357,600,957,262.0608,220.4400,482.5008,0.5042,0
Merrillville,AL06061,6061 ALUMINUM - SPC,ALUMINUM,NON_FERROUS,1293,1643,2936,850.1989,1084.4980,1934.6969,0.6590,0
Milton,AL06061,6061 ALUMINUM - SPC,ALUMINUM,NON_FERROUS,100,1997,2097,90.4103,1792.8613,1883.2716,0.8981,0
Merrillville,ALEXTRU,6061 ALUMINUM EXTRUSIONS,ALUMINUM,NON_FERROUS,821,0,821,708.4665,0,708.4665,0.8629,0
Milton,ALEXTRU,6061 ALUMINUM EXTRUSIONS,ALUMINUM,NON_FERROUS,828,0,828,579.6000,0,579.6000,0.7000,0
Merrillville,6061PTDSPCAL,6061 PAINTED SPC,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,0,0
Milton,6061PTDSPCAL,6061 PAINTED SPC,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,0,0
Merrillville,TRWLS,6061 TRUCK WHEELS,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,0,0
Merrillville,AL6061TURNS,6061 TURNINGS,ALUMINUM,NON_FERROUS,835,165,1000,417.5000,82.5000,500.0000,0.5000,0
Milton,AL6061TURNS,6061 TURNINGS,ALUMINUM,NON_FERROUS,20455,0,20455,7042.0390,0,7042.0390,0.3443,0
Merrillville,6063ALS,6063 AL SOLIDS,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,0,0
Milton,6063ALS,6063 AL SOLIDS,ALUMINUM,NON_FERROUS,0,442,442,0,354.9195,354.9195,0.8030,0
Merrillville,AL06063,6063 BARE ALUMINUM EXTRUSION,ALUMINUM,NON_FERROUS,399,0,399,417.8234,0,417.8234,1.0472,0
Milton,AL06063,6063 BARE ALUMINUM EXTRUSION,ALUMINUM,NON_FERROUS,4404,8899,13303,4233.5763,11362.3321,15595.9084,1.1724,0
Merrillville,AL06310,6063 PAINTED EXTRUSION,ALUMINUM,NON_FERROUS,76,0,76,57.0000,0,57.0000,0.7500,0
Milton,AL06310,6063 PAINTED EXTRUSION,ALUMINUM,NON_FERROUS,210,700,910,105.0000,514.3472,619.3472,0.6806,0
Merrillville,6063PIAL,6063 PIPE,ALUMINUM,NON_FERROUS,249,0,249,249.0000,0,249.0000,1.0000,0
Milton,6063PIAL,6063 PIPE,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,0,0
Milton,6105 turnings,6105 TURNINGS,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,0,0
Milton,AL07000,7000 SERIES ALUMINUM,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,0,0
Milton,AL07075,7075 ALUMINUM,ALUMINUM,NON_FERROUS,0,1346,1346,0,781.8168,781.8168,0.5808,0
Merrillville,ALCURAEND,ACR AL/CU RADIATOR ENDS,ALUMINUM,NON_FERROUS,149,0,149,126.2709,0,126.2709,0.8475,0
Milton,ALCURAEND,ACR AL/CU RADIATOR ENDS,ALUMINUM,NON_FERROUS,281,0,281,60.3041,0,60.3041,0.2146,0
Merrillville,AL0ACSR,ACSR WIRE,ALUMINUM,NON_FERROUS,156,0,156,81.3696,0,81.3696,0.5216,0
Milton,AL0ACSR,ACSR WIRE,ALUMINUM,NON_FERROUS,866,474,1340,216.5000,98.2371,314.7371,0.2349,0
Milton,5086,AL 5086,ALUMINUM,NON_FERROUS,150,0,150,127.5000,0,127.5000,0.8500,0
Milton,CASTAL356,AL CAST - 356,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,0,0
Merrillville,ALDUST,AL DUST,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,0,0
Milton,ALDUST,AL DUST,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,0,0
Milton,ALTANKS,AL TANKS,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,0,0
Merrillville,ALCURAD,AL/CU RADIATORS - CLEAN,ALUMINUM,NON_FERROUS,543,0,543,995.7491,0,995.7491,1.8338,0
Milton,ALCURAD,AL/CU RADIATORS - CLEAN,ALUMINUM,NON_FERROUS,1766,0,1766,2471.9562,0,2471.9562,1.3997,0
Merrillville,ALCURFE,AL/CU RADIATORS - FE,ALUMINUM,NON_FERROUS,430,0,430,493.3592,0,493.3592,1.1473,0
Milton,ALCURFE,AL/CU RADIATORS - FE,ALUMINUM,NON_FERROUS,486,135,621,528.8768,127.7933,656.6701,1.0574,0
Merrillville,ALUARM,ALUM ARMATURE,ALUMINUM,NON_FERROUS,32,0,32,3.1016,0,3.1016,0.0969,0
Milton,ALUARM,ALUM ARMATURE,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,0,0
Merrillville,ALUMBRECWR,ALUM BARE EC WIRE,ALUMINUM,NON_FERROUS,441,0,441,220.0590,0,220.0590,0.4990,0
Milton,ALUMBRECWR,ALUM BARE EC WIRE,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,0,0
Milton,ALUMDROSS,ALUM DROSS,ALUMINUM,NON_FERROUS,33906,0,33906,5961.8957,0,5961.8957,0.1758,0
Merrillville,ALTRANSF,ALUM TRANSFORMERS,ALUMINUM,NON_FERROUS,155,0,155,13.9500,0,13.9500,0.0900,0
Milton,ALTRANSF,ALUM TRANSFORMERS,ALUMINUM,NON_FERROUS,124,3724,3848,6.4888,336.1235,342.6123,0.0890,0
Merrillville,ALUTURN,ALUMINIUM TURNS,ALUMINUM,NON_FERROUS,1226,681,1907,265.5419,141.8081,407.3500,0.2136,0
Milton,ALUTURN,ALUMINIUM TURNS,ALUMINUM,NON_FERROUS,15156,3252,18408,3742.2184,802.5730,4544.7914,0.2469,0
Merrillville,ALUBREAK,ALUMINUM BREAK,ALUMINUM,NON_FERROUS,23088,1219,24307,2329.4669,129.5958,2459.0627,0.1012,0
Milton,ALUBREAK,ALUMINUM BREAK,ALUMINUM,NON_FERROUS,14855,0,14855,1294.9076,0,1294.9076,0.0872,0
Merrillville, ALBZTS1,ALUMINUM BRONZE TURNINGS,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,0,0
Merrillville,AL00UBC,ALUMINUM CANS,ALUMINUM,NON_FERROUS,1456,0,1456,585.7995,0,585.7995,0.4023,0
Milton,AL00UBC,ALUMINUM CANS,ALUMINUM,NON_FERROUS,606,0,606,121.2000,0,121.2000,0.2000,0
Merrillville,ALDCAST,ALUMINUM DIE-CAST,ALUMINUM,NON_FERROUS,3,0,3,1.2000,0,1.2000,0.4000,0
Milton,ALDCAST,ALUMINUM DIE-CAST,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,0,0
Merrillville,ALFOIL,ALUMINUM FOIL,ALUMINUM,NON_FERROUS,2,0,2,0.1200,0,0.1200,0.0600,0
Milton,ALFOIL,ALUMINUM FOIL,ALUMINUM,NON_FERROUS,8,0,8,0.4800,0,0.4800,0.0600,0
Milton,ALLITHO,ALUMINUM LITHO,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,0,0
Merrillville,ALUMLC,ALUMINUM MLC,ALUMINUM,NON_FERROUS,417,0,417,166.8000,0,166.8000,0.4000,0
Milton,ALUMLC,ALUMINUM MLC,ALUMINUM,NON_FERROUS,2105,1217,3322,1523.5197,830.8136,2354.3333,0.7087,0
Merrillville,ALMOLDS,ALUMINUM MOLDS,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,0,0
Milton,ALMOLDS,ALUMINUM MOLDS,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,0,0
Milton,ALMOTOR,ALUMINUM MOTOR BLOCKS WHOLE,ALUMINUM,NON_FERROUS,6715,0,6715,868.1348,0,868.1348,0.1293,0
Merrillville,ALNCST,ALUMINUM NEW CAST,ALUMINUM,NON_FERROUS,38,0,38,15.2000,0,15.2000,0.4000,0
Milton,ALNCST,ALUMINUM NEW CAST,ALUMINUM,NON_FERROUS,39,0,39,11.7000,0,11.7000,0.3000,0
Merrillville,ALSHEET,ALUMINUM OLD SHEET,ALUMINUM,NON_FERROUS,2330.0,0,2330.0,1187.1507,0,1187.1507,0.5095,0
Milton,ALSHEET,ALUMINUM OLD SHEET,ALUMINUM,NON_FERROUS,2032,0,2032,606.2226,0,606.2226,0.2983,0
Merrillville,ALPAINT,ALUMINUM PAINTED SIDING,ALUMINUM,NON_FERROUS,3377,0,3377,1907.6548,0,1907.6548,0.5649,0
Milton,ALPAINT,ALUMINUM PAINTED SIDING,ALUMINUM,NON_FERROUS,430,2142,2572,171.8040,853.3015,1025.1055,0.3986,0
Merrillville,AL0RADS,ALUMINUM RADIATORS - CLEAN,ALUMINUM,NON_FERROUS,163,0,163,57.0500,0,57.0500,0.3500,0
Milton,AL0RADS,ALUMINUM RADIATORS - CLEAN,ALUMINUM,NON_FERROUS,491,0,491,103.1550,0,103.1550,0.2101,0
Merrillville,AL0RDFE,ALUMINUM RADIATORS - FE,ALUMINUM,NON_FERROUS,1079,0,1079,312.7159,0,312.7159,0.2898,0
Milton,AL0RDFE,ALUMINUM RADIATORS - FE,ALUMINUM,NON_FERROUS,1887,0,1887,276.2847,0,276.2847,0.1464,0
Merrillville,ALWHEEL,ALUMINUM RIMS,ALUMINUM,NON_FERROUS,382,504,886,271.3127,318.2660,589.5787,0.6654,0
Milton,ALWHEEL,ALUMINUM RIMS,ALUMINUM,NON_FERROUS,218,0,218,109.0000,0,109.0000,0.5000,0
Milton,ALSKMS,ALUMINUM SPILLS,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,0,0
Merrillville,ALTHERMEX,ALUMINUM THERMAL EXT,ALUMINUM,NON_FERROUS,1027,1666,2693,608.7456,949.0544,1557.8000,0.5785,0
Milton,ALTHERMEX,ALUMINUM THERMAL EXT,ALUMINUM,NON_FERROUS,834,505,1339,266.0000,174.6861,440.6861,0.3291,0
Merrillville,ALTRSTK,ALUMINUM TRAILER STOCK,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,0,0
Merrillville,ALBRZ,ALUMINUM/BRONZE,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,0,0
Milton,ALBRZ,ALUMINUM/BRONZE,ALUMINUM,NON_FERROUS,381,0,381,880.7000,0,880.7000,2.3115,0
Merrillville,PMLC,Aluminum Painted MLC,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,0,0
Milton,PMLC,Aluminum Painted MLC,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,0,0
Merrillville,CASAL,CAST AL,ALUMINUM,NON_FERROUS,14,0,14,4.2000,0,4.2000,0.3000,0
Milton,CASAL,CAST AL,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,0,0
Merrillville,ALWHLCR,CHROME RIMS,ALUMINUM,NON_FERROUS,413,483,896,166.2054,234.1294,400.3348,0.4468,0
Milton,ALWHLCR,CHROME RIMS,ALUMINUM,NON_FERROUS,612,547,1159,183.6000,250.7518,434.3518,0.3748,0
Merrillville,CCAL,CLEAN CAST ALUMINUM,ALUMINUM,NON_FERROUS,747,757,1504,309.0505,297.5313,606.5818,0.4033,0
Milton,CCAL,CLEAN CAST ALUMINUM,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,0,0
Milton,CUALTRNMX,COPPER / AL TURNINGS MIX,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,0,0
Milton,CATR,Cast Aluminum - Transmissions,ALUMINUM,NON_FERROUS,1495,0,1495,448.5000,0,448.5000,0.3000,0
Merrillville,DALRS,Dirty Aluminum Rims,ALUMINUM,NON_FERROUS,9,0,9,3.6000,0,3.6000,0.4000,0
Milton,DALRS,Dirty Aluminum Rims,ALUMINUM,NON_FERROUS,5279,0,5279,6445.1795,0,6445.1795,1.2209,0
Milton,BOTTAL,FURNACE BOTTOMS - ALUMINUM,ALUMINUM,NON_FERROUS,3824,0,3824,542.2000,0,542.2000,0.1418,0
Merrillville,InsECW,INSULATED EC WIRE,ALUMINUM,NON_FERROUS,131,0,131,39.4920,0,39.4920,0.3015,0
Milton,InsECW,INSULATED EC WIRE,ALUMINUM,NON_FERROUS,320,1725,2045,113.5000,603.7500,717.2500,0.3507,0
Merrillville,AL063FE,IRONY EXTRUSIONS,ALUMINUM,NON_FERROUS,1824,0,1824,1090.6797,0,1090.6797,0.5980,0
Milton,AL063FE,IRONY EXTRUSIONS,ALUMINUM,NON_FERROUS,3,1691,1694,1.0500,417.9666,419.0166,0.2474,0
Milton,MXDAL,MIXED ALUMINUM,ALUMINUM,NON_FERROUS,220,0,220,77.9000,0,77.9000,0.3541,0
Milton,MXBRAL,MIXED BRASS ALUM SPILLS,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,0,0
Milton,OLYFLA,OILY FLASHINGS,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,0,0
Merrillville,OLCAAL,OLD CAST AL,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,0,0
Milton,OLCAAL,OLD CAST AL,ALUMINUM,NON_FERROUS,2,0,2,0.5000,0,0.5000,0.2500,0
Merrillville,OCAL5,OLD CAST AL 5% FE,ALUMINUM,NON_FERROUS,690,0,690,241.5000,0,241.5000,0.3500,0
Milton,OCAL5,OLD CAST AL 5% FE,ALUMINUM,NON_FERROUS,0,1895,1895,0,663.2500,663.2500,0.3500,0
Milton,PTD5052,PTD 5052 ALUMINUM,ALUMINUM,NON_FERROUS,9,0,9,13.5000,0,13.5000,1.5000,0
Milton,NWCSTAL,ZZ - DO NOT USE NEW CAST ALUMINUM,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,0,0
Milton,AL03003,ZZ DO NOT USE - 3003 ALUMINUM,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,0,0
Merrillville,3003PTD,ZZ DO NOT USE - 3003 ALUMINUM PAINTED  ,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,0,0
Milton,3003PTD,ZZ DO NOT USE - 3003 ALUMINUM PAINTED  ,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,0,0
Merrillville,356ALCAST,ZZ DO NOT USE - 356 ALUMINUM CASTINGS,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,0,0
Milton,356ALCAST,ZZ DO NOT USE - 356 ALUMINUM CASTINGS,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,0,0
Merrillville,AL0BECW,ZZ DO NOT USE - AL BARE EC WIRE,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,0,0
Milton,AL0BECW,ZZ DO NOT USE - AL BARE EC WIRE,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,0,0
Milton,ALMFURN,ZZ DO NOT USE - AL FURNACE BOTTOMS,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,0,0
Milton,ALMDROSS,ZZ DO NOT USE - ALUMINUM DROSS,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,0,0
Merrillville,ALMTRNG,ZZ DO NOT USE - ALUMINUM TURNINGS,ALUMINUM,NON_FERROUS,0.0,1119,1119.0,0,223.8447,223.8447,0.2000,0
Milton,ALMTRNG,ZZ DO NOT USE - ALUMINUM TURNINGS,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,0,0
Merrillville,ALBRKG,ZZ DO NOT USE ALUMINUM BREAKAGE,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,0,0
Milton,ALBRKG,ZZ DO NOT USE ALUMINUM BREAKAGE,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,0,0
Merrillville,AL0CAST,ZZ DO NOT USE CAST ALUMINUM,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,0,0
Milton,AL0CAST,ZZ DO NOT USE CAST ALUMINUM,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,0,0
Milton,ALMFLASH,ZZZ DO NOT USE - ALUMINUM FLASHINGS - 319,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,0,0
Milton,DRTYBRS,DIRTY BRASS,BRASS TIER 1,NON_FERROUS,547,0,547,444.0707,0,444.0707,0.8118,0
Merrillville,DPBr,Dirty Plumbers Brass,BRASS TIER 1,NON_FERROUS,64,0,64,32.0000,0,32.0000,0.5000,0
Milton,DPBr,Dirty Plumbers Brass,BRASS TIER 1,NON_FERROUS,0,0,0,0,0,0,0,0
