date,shfe_hrc_close
2019-10-21,3356.0
2019-10-22,3366.0
2019-10-23,3366.0
2019-10-24,3309.0
2019-10-25,3383.0
2019-10-28,3350.0
2019-10-29,3414.0
2019-10-30,3405.0
2019-10-31,3463.0
2019-11-01,3463.0
2019-11-04,3466.0
2019-11-05,3490.0
2019-11-06,3490.0
2019-11-07,3450.0
2019-11-08,3450.0
2019-11-11,3450.0
2019-11-12,3460.0
2019-11-13,3460.0
2019-11-14,3550.0
2019-11-15,3550.0
2019-11-18,3500.0
2019-11-19,3500.0
2019-11-20,3580.0
2019-11-21,3580.0
2019-11-22,3585.0
2019-11-25,3759.0
2019-11-26,3641.0
2019-11-27,3641.0
2019-11-28,3522.0
2019-11-29,3519.0
2019-12-02,3519.0
2019-12-03,3519.0
2019-12-04,3519.0
2019-12-05,3519.0
2019-12-06,3519.0
2019-12-09,3519.0
2019-12-10,3519.0
2019-12-11,3519.0
2019-12-12,3519.0
2019-12-13,3519.0
2019-12-16,3519.0
2019-12-17,3711.0
2019-12-18,3722.0
2019-12-19,3723.0
2019-12-20,3716.0
2019-12-23,3745.0
2019-12-24,3741.0
2019-12-25,3735.0
2019-12-26,3712.0
2019-12-27,3744.0
2019-12-30,3760.0
2019-12-31,3774.0
2020-01-02,3751.0
2020-01-03,3757.0
2020-01-06,3764.0
2020-01-07,3770.0
2020-01-08,3795.0
2020-01-09,3819.0
2020-01-10,3813.0
2020-01-13,3798.0
2020-01-14,3801.0
2020-01-15,3841.0
2020-01-16,3713.0
2020-01-17,3781.0
2020-01-20,3814.0
2020-01-21,3794.0
2020-01-22,3873.0
2020-01-23,3873.0
2020-02-03,3567.0
2020-02-04,3520.0
2020-02-05,3450.0
2020-02-06,3420.0
2020-02-07,3420.0
2020-02-10,3420.0
2020-02-11,3420.0
2020-02-12,3420.0
2020-02-13,3420.0
2020-02-14,3420.0
2020-02-17,3420.0
2020-02-18,3451.0
2020-02-19,3451.0
2020-02-20,3519.0
2020-02-21,3538.0
2020-02-24,3550.0
2020-02-25,3609.0
2020-02-26,3600.0
2020-02-27,3598.0
2020-02-28,3546.0
2020-03-02,3546.0
2020-03-03,3550.0
2020-03-04,3550.0
2020-03-05,3570.0
2020-03-06,3570.0
2020-03-09,3500.0
2020-03-10,3500.0
2020-03-11,3500.0
2020-03-12,3500.0
2020-03-13,3520.0
2020-03-16,3520.0
2020-03-17,3600.0
2020-03-18,3603.0
2020-03-19,3504.0
2020-03-20,3450.0
2020-03-23,3400.0
2020-03-24,3350.0
2020-03-25,3350.0
2020-03-26,3350.0
2020-03-27,3350.0
2020-03-30,3153.0
2020-03-31,3153.0
2020-04-01,3153.0
2020-04-02,3153.0
2020-04-03,3153.0
2020-04-07,3200.0
2020-04-08,3200.0
2020-04-09,3200.0
2020-04-10,3200.0
2020-04-13,3200.0
2020-04-14,3200.0
2020-04-15,3200.0
2020-04-16,3358.0
2020-04-17,3387.0
2020-04-20,3370.0
2020-04-21,3328.0
2020-04-22,3327.0
2020-04-23,3335.0
2020-04-24,3325.0
2020-04-27,3330.0
2020-04-28,3313.0
2020-04-29,3322.0
2020-04-30,3316.0
2020-05-06,3322.0
2020-05-07,3350.0
2020-05-08,3384.0
2020-05-11,3378.0
2020-05-12,3381.0
2020-05-13,3393.0
2020-05-14,3414.0
2020-05-15,3415.0
2020-05-18,3413.0
2020-05-19,3411.0
2020-05-20,3493.0
2020-05-21,3551.0
2020-05-22,3512.0
2020-05-25,3500.0
2020-05-26,3499.0
2020-05-27,3473.0
2020-05-28,3509.0
2020-05-29,3546.0
2020-06-01,3585.0
2020-06-02,3650.0
2020-06-03,3650.0
2020-06-04,3605.0
2020-06-05,3605.0
2020-06-08,3650.0
2020-06-09,3650.0
2020-06-10,3630.0
2020-06-11,3630.0
2020-06-12,3630.0
2020-06-15,3630.0
2020-06-16,3621.0
2020-06-17,3628.0
2020-06-18,3671.0
2020-06-19,3687.0
2020-06-22,3732.0
2020-06-23,3732.0
2020-06-24,3732.0
2020-06-29,3692.0
2020-06-30,3693.0
2020-07-01,3700.0
2020-07-02,3700.0
2020-07-03,3700.0
2020-07-06,3721.0
2020-07-07,3721.0
2020-07-08,3721.0
2020-07-09,3721.0
2020-07-10,3870.0
2020-07-13,3800.0
2020-07-14,3800.0
2020-07-15,3891.0
2020-07-16,3887.0
2020-07-17,3870.0
2020-07-20,3854.0
2020-07-21,3854.0
2020-07-22,3899.0
2020-07-23,3907.0
2020-07-24,3907.0
2020-07-27,3853.0
2020-07-28,3880.0
2020-07-29,3891.0
2020-07-30,3920.0
2020-07-31,4000.0
2020-08-03,4000.0
2020-08-04,4030.0
2020-08-05,4030.0
2020-08-06,4030.0
2020-08-07,4030.0
2020-08-10,4030.0
2020-08-11,4030.0
2020-08-12,4030.0
2020-08-13,4030.0
2020-08-14,4030.0
2020-08-17,4030.0
2020-08-18,4070.0
2020-08-19,4053.0
2020-08-20,4022.0
2020-08-21,4009.0
2020-08-24,4000.0
2020-08-25,4094.0
2020-08-26,4045.0
2020-08-27,4081.0
2020-08-28,4046.0
2020-08-31,4080.0
2020-09-01,4085.0
2020-09-02,4085.0
2020-09-03,4085.0
2020-09-04,4085.0
2020-09-07,4040.0
2020-09-08,4040.0
2020-09-09,4040.0
2020-09-10,3990.0
2020-09-11,3950.0
2020-09-14,3950.0
2020-09-15,3950.0
2020-09-16,3860.0
2020-09-17,3842.0
2020-09-18,3862.0
2020-09-21,3835.0
2020-09-22,3823.0
2020-09-23,3831.0
2020-09-24,3834.0
2020-09-25,3837.0
2020-09-28,3835.0
2020-09-29,3826.0
2020-09-30,3850.0
2020-10-09,3871.0
2020-10-12,3940.0
2020-10-13,3961.0
2020-10-14,3945.0
2020-10-15,3921.0
2020-10-16,3852.0
2020-10-19,3865.0
2020-10-20,3838.0
2020-10-21,3838.0
2020-10-22,3838.0
2020-10-23,3838.0
2020-10-26,3852.0
2020-10-27,3841.0
2020-10-28,3829.0
2020-10-29,3832.0
2020-10-30,3753.0
2020-11-02,3904.0
2020-11-03,3907.0
2020-11-04,3907.0
2020-11-05,3907.0
2020-11-06,3907.0
2020-11-09,3907.0
2020-11-10,3907.0
2020-11-11,3907.0
2020-11-12,3907.0
2020-11-13,4080.0
2020-11-16,4080.0
2020-11-17,4031.0
2020-11-18,4120.0
2020-11-19,4120.0
2020-11-20,4120.0
2020-11-23,4120.0
2020-11-24,4124.0
2020-11-25,4129.0
2020-11-26,4148.0
2020-11-27,4170.0
2020-11-30,4170.0
2020-12-01,4170.0
2020-12-02,4170.0
2020-12-03,4170.0
2020-12-04,4170.0
2020-12-07,4170.0
2020-12-08,4170.0
2020-12-09,4170.0
2020-12-10,4170.0
2020-12-11,4170.0
2020-12-14,4170.0
2020-12-15,4170.0
2020-12-16,4488.0
2020-12-17,4527.0
2020-12-18,4611.0
2020-12-21,4768.0
2020-12-22,4921.0
2020-12-23,4777.0
2020-12-24,4754.0
2020-12-25,4671.0
2020-12-28,4652.0
2020-12-29,4550.0
2020-12-30,4512.0
2020-12-31,4539.0
2021-01-04,4551.0
2021-01-05,4570.0
2021-01-06,4566.0
2021-01-07,4649.0
2021-01-08,4673.0
2021-01-11,4582.0
2021-01-12,4516.0
2021-01-13,4478.0
2021-01-14,4493.0
2021-01-15,4541.0
2021-01-18,4554.0
2021-01-19,4467.0
2021-01-20,4475.0
2021-01-21,4469.0
2021-01-22,4398.0
2021-01-25,4421.0
2021-01-26,4522.0
2021-01-27,4519.0
2021-01-28,4523.0
2021-01-29,4442.0
2021-02-01,4442.0
2021-02-02,4410.0
2021-02-03,4410.0
2021-02-04,4432.0
2021-02-05,4517.0
2021-02-08,4562.0
2021-02-09,4644.0
2021-02-10,4646.0
2021-02-18,4771.0
2021-02-19,4733.0
2021-02-22,4869.0
2021-02-23,4872.0
2021-02-24,4836.0
2021-02-25,4888.0
2021-02-26,4897.0
2021-03-01,4911.0
2021-03-02,4883.0
2021-03-03,5012.0
2021-03-04,5010.0
2021-03-05,4872.0
2021-03-08,4965.0
2021-03-09,4960.0
2021-03-10,4840.0
2021-03-11,4898.0
2021-03-12,5035.0
2021-03-15,5040.0
2021-03-16,4980.0
2021-03-17,4945.0
2021-03-18,4982.0
2021-03-19,5041.0
2021-03-22,5116.0
2021-03-23,5072.0
2021-03-24,5110.0
2021-03-25,5119.0
2021-03-26,5145.0
2021-03-29,5265.0
2021-03-30,5344.0
2021-03-31,5361.0
2021-04-01,5420.0
2021-04-02,5501.0
2021-04-06,5545.0
2021-04-07,5533.0
2021-04-08,5477.0
2021-04-09,5460.0
2021-04-12,5376.0
2021-04-13,5376.0
2021-04-14,5400.0
2021-04-15,5481.0
2021-04-16,5462.0
2021-04-19,5471.0
2021-04-20,5467.0
2021-04-21,5494.0
2021-04-22,5577.0
2021-04-23,5588.0
2021-04-26,5718.0
2021-04-27,5799.0
2021-04-28,5741.0
2021-04-29,5785.0
2021-04-30,5760.0
2021-05-06,5907.0
2021-05-07,5983.0
2021-05-10,6115.0
2021-05-11,6444.0
2021-05-12,6633.0
2021-05-13,6554.0
2021-05-14,6324.0
2021-05-17,6019.0
2021-05-18,6060.0
2021-05-19,5820.0
2021-05-20,5552.0
2021-05-21,5618.0
2021-05-24,5462.0
2021-05-25,5451.0
2021-05-26,5345.0
2021-05-27,5221.0
2021-05-28,5437.0
2021-05-31,5604.0
2021-06-01,5488.0
2021-06-02,5518.0
2021-06-03,5601.0
2021-06-04,5530.0
2021-06-07,5478.0
2021-06-08,5379.0
2021-06-09,5420.0
2021-06-10,5579.0
2021-06-11,5614.0
2021-06-15,5542.0
2021-06-16,5470.0
2021-06-17,5411.0
2021-06-18,5537.0
2021-06-21,5370.0
2021-06-22,5274.0
2021-06-23,5290.0
2021-06-24,5331.0
2021-06-25,5438.0
2021-06-28,5461.0
2021-06-29,5549.0
2021-06-30,5494.0
2021-07-01,5546.0
2021-07-02,5546.0
2021-07-05,5518.0
2021-07-06,5595.0
2021-07-07,5724.0
2021-07-08,5724.0
2021-07-09,5785.0
2021-07-12,5785.0
2021-07-13,5785.0
2021-07-14,5906.0
2021-07-15,5906.0
2021-07-16,5980.0
2021-07-19,5963.0
2021-07-20,5889.0
2021-07-21,5956.0
2021-07-22,5863.0
2021-07-23,5933.0
2021-07-26,5961.0
2021-07-27,5985.0
2021-07-28,5908.0
2021-07-29,5995.0
2021-07-30,6120.0
2021-08-02,6120.0
2021-08-03,5678.0
2021-08-04,5760.0
2021-08-05,5760.0
2021-08-06,5760.0
2021-08-09,5763.0
2021-08-10,5763.0
2021-08-11,5763.0
2021-08-12,5763.0
2021-08-13,5763.0
2021-08-16,5760.0
2021-08-17,5748.0
2021-08-18,5636.0
2021-08-19,5582.0
2021-08-20,5563.0
2021-08-23,5650.0
2021-08-24,5729.0
2021-08-25,5733.0
2021-08-26,5681.0
2021-08-27,5634.0
2021-08-30,5759.0
2021-08-31,5791.0
2021-09-01,5670.0
2021-09-02,5780.0
2021-09-03,5803.0
2021-09-06,5860.0
2021-09-07,5880.0
2021-09-08,5850.0
2021-09-09,5850.0
2021-09-10,5850.0
2021-09-13,5850.0
2021-09-14,5850.0
2021-09-15,5850.0
2021-09-16,5848.0
2021-09-17,5795.0
2021-09-22,5769.0
2021-09-23,5780.0
2021-09-24,5692.0
2021-09-27,5691.0
