date,shfe_rb_close
2020-10-22,61.71
2020-10-23,61.8
2020-10-26,60.22
2020-10-27,60.31
2020-10-28,60.11
2020-10-29,60.56
2020-10-30,60.63
2020-11-02,63.21
2020-11-03,64.72
2020-11-04,67.0
2020-11-05,68.44
2020-11-06,75.2
2020-11-09,69.68
2020-11-10,67.32
2020-11-11,66.03
2020-11-12,64.65
2020-11-13,64.02
2020-11-16,63.13
2020-11-17,62.91
2020-11-18,63.65
2020-11-19,64.9
2020-11-20,66.42
2020-11-23,65.27
2020-11-24,66.36
2020-11-25,67.32
2020-11-27,68.3
2020-11-30,71.81
2020-12-01,69.54
2020-12-02,69.58
2020-12-03,69.83
2020-12-04,69.22
2020-12-07,70.16
2020-12-08,72.01
2020-12-09,70.75
2020-12-10,72.37
2020-12-11,70.68
2020-12-14,70.07
2020-12-15,69.1
2020-12-16,67.6
2020-12-17,67.35
2020-12-18,68.14
2020-12-21,69.36
2020-12-22,70.09
2020-12-23,70.86
2020-12-24,71.24
2020-12-28,70.35
2020-12-29,69.18
2020-12-30,70.34
2020-12-31,69.55
2021-01-04,66.66
2021-01-05,68.41
2021-01-06,67.75
2021-01-07,68.63
2021-01-08,69.12
2021-01-11,65.96
2021-01-12,65.34
2021-01-13,63.31
2021-01-14,61.92
2021-01-15,60.47
2021-01-19,62.36
2021-01-20,62.62
2021-01-21,62.83
2021-01-22,63.04
2021-01-25,63.54
2021-01-26,63.14
2021-01-27,59.68
2021-01-28,60.73
2021-01-29,58.91
2021-02-01,60.7
2021-02-02,60.85
2021-02-03,59.62
2021-02-04,58.52
2021-02-05,59.01
2021-02-08,58.17
2021-02-09,56.88
2021-02-10,56.99
2021-02-11,56.92
2021-02-12,58.0
2021-02-16,57.43
2021-02-17,57.4
2021-02-18,57.09
2021-02-19,53.13
2021-02-22,51.5
2021-02-23,52.99
2021-02-24,54.35
2021-02-25,54.83
2021-02-26,54.32
2021-03-01,54.37
2021-03-02,52.51
2021-03-03,52.11
2021-03-04,51.12
2021-03-05,54.33
2021-03-08,52.53
2021-03-09,53.54
2021-03-10,54.87
2021-03-11,57.16
2021-03-12,57.46
2021-03-15,57.34
2021-03-16,56.61
2021-03-17,56.6
2021-03-18,55.75
2021-03-19,56.76
2021-03-22,56.72
2021-03-23,56.44
2021-03-24,56.6
2021-03-25,57.03
2021-03-26,59.51
2021-03-29,57.83
2021-03-30,58.17
2021-03-31,58.55
2021-04-01,60.48
2021-04-05,61.44
2021-04-06,60.91
2021-04-07,61.41
2021-04-08,61.56
2021-04-09,62.43
2021-04-12,63.26
2021-04-13,63.19
2021-04-14,61.94
2021-04-15,63.05
2021-04-16,62.87
2021-04-19,62.6
2021-04-20,62.38
2021-04-21,62.42
2021-04-22,62.15
2021-04-23,63.18
2021-04-26,63.19
2021-04-27,63.55
2021-04-28,63.84
2021-04-29,64.64
2021-04-30,63.6
2021-05-03,63.14
2021-05-04,62.41
2021-05-05,65.45
2021-05-06,66.07
2021-05-07,67.09
2021-05-10,67.5
2021-05-11,65.39
2021-05-12,60.54
2021-05-13,61.41
2021-05-14,63.23
2021-05-17,62.95
2021-05-18,61.18
2021-05-19,61.52
2021-05-20,61.98
2021-05-21,62.12
2021-05-24,62.3
2021-05-25,61.4
2021-05-26,60.91
2021-05-27,60.23
2021-05-28,59.71
2021-06-01,59.54
2021-06-02,60.59
2021-06-03,59.82
2021-06-04,59.59
2021-06-07,58.1
2021-06-08,58.49
2021-06-09,57.66
2021-06-10,57.68
2021-06-11,58.66
2021-06-14,59.54
2021-06-15,59.32
2021-06-16,59.19
2021-06-17,58.92
2021-06-18,58.93
2021-06-21,59.8
2021-06-22,60.8
2021-06-23,60.91
2021-06-24,61.16
2021-06-25,60.59
2021-06-28,59.03
2021-06-29,59.19
2021-06-30,59.28
2021-07-01,59.77
2021-07-02,59.87
2021-07-06,59.39
2021-07-07,60.27
2021-07-08,58.94
2021-07-09,59.67
2021-07-12,59.53
2021-07-13,59.5
2021-07-14,59.28
2021-07-15,58.76
2021-07-16,59.94
2021-07-19,58.17
2021-07-20,59.89
2021-07-21,60.84
2021-07-22,60.63
2021-07-23,60.54
2021-07-26,59.84
2021-07-27,59.15
2021-07-28,59.3
2021-07-29,59.6
2021-07-30,59.73
2021-08-02,59.13
2021-08-03,58.63
2021-08-04,58.39
2021-08-05,59.61
2021-08-06,58.28
2021-08-09,59.21
2021-08-10,59.41
2021-08-11,60.39
2021-08-12,61.48
2021-08-13,61.54
2021-08-16,63.05
2021-08-17,62.76
2021-08-18,60.62
2021-08-19,61.13
2021-08-20,61.67
2021-08-23,61.86
2021-08-24,62.02
2021-08-25,62.26
2021-08-26,62.22
2021-08-27,62.63
2021-08-30,63.0
2021-08-31,62.59
2021-09-01,63.35
2021-09-02,64.12
2021-09-03,62.88
2021-09-07,61.92
2021-09-08,62.96
2021-09-09,64.15
2021-09-10,64.97
2021-09-13,63.75
2021-09-14,63.31
2021-09-15,63.86
2021-09-16,62.94
2021-09-17,61.57
2021-09-20,61.41
2021-09-21,61.17
2021-09-22,62.42
2021-09-23,62.56
2021-09-24,61.98
2021-09-27,62.18
2021-09-28,60.9
2021-09-29,61.49
2021-09-30,61.66
2021-10-01,61.59
2021-10-04,62.12
2021-10-05,63.45
2021-10-06,62.86
2021-10-07,64.25
2021-10-08,63.66
2021-10-11,63.27
2021-10-12,63.57
2021-10-13,64.88
2021-10-14,66.12
2021-10-15,66.6
2021-10-18,67.38
2021-10-19,67.99
2021-10-20,67.26
2021-10-21,67.29
2021-10-22,67.54
2021-10-25,68.55
2021-10-26,67.76
2021-10-27,67.3
2021-10-28,68.0
2021-10-29,68.35
2021-11-01,68.34
2021-11-02,68.39
2021-11-03,68.02
2021-11-04,68.82
2021-11-05,74.49
2021-11-08,70.72
2021-11-09,70.69
2021-11-10,70.58
2021-11-11,70.26
2021-11-12,70.99
2021-11-15,71.55
2021-11-16,72.6
2021-11-17,72.4
2021-11-18,72.75
2021-11-19,72.72
2021-11-22,70.49
2021-11-23,70.11
2021-11-24,70.34
2021-11-26,69.11
2021-11-29,69.5
2021-11-30,67.88
2021-12-01,66.83
2021-12-02,68.93
2021-12-03,68.57
2021-12-06,69.56
2021-12-07,70.84
2021-12-08,70.3
2021-12-09,68.09
2021-12-10,67.52
2021-12-13,65.91
2021-12-14,63.66
2021-12-15,63.37
2021-12-16,63.41
2021-12-17,62.62
2021-12-20,60.08
2021-12-21,61.01
2021-12-22,60.71
2021-12-23,61.25
2021-12-27,62.08
2021-12-28,61.67
2021-12-29,61.47
2021-12-30,61.23
2021-12-31,61.21
2022-01-03,61.42
2022-01-04,61.21
2022-01-05,60.74
2022-01-06,60.78
2022-01-07,59.79
2022-01-10,60.38
2022-01-11,60.56
2022-01-12,61.69
2022-01-13,62.37
2022-01-14,61.86
2022-01-18,61.35
2022-01-19,62.39
2022-01-20,62.66
2022-01-21,60.89
2022-01-24,61.72
2022-01-25,60.14
2022-01-26,59.39
2022-01-27,57.79
2022-01-28,59.26
2022-01-31,60.96
2022-02-01,61.71
2022-02-02,61.89
2022-02-03,60.97
2022-02-04,60.51
2022-02-07,60.24
2022-02-08,61.23
2022-02-09,62.74
2022-02-10,58.82
2022-02-11,57.39
2022-02-14,57.4
2022-02-15,58.1
2022-02-16,57.98
2022-02-17,57.45
2022-02-18,51.28
2022-02-22,51.76
2022-02-23,50.49
2022-02-24,52.04
2022-02-25,52.19
2022-02-28,52.38
2022-03-01,54.13
2022-03-02,56.24
2022-03-03,56.42
2022-03-04,57.15
2022-03-07,56.78
2022-03-08,56.28
2022-03-09,57.59
2022-03-10,57.75
2022-03-11,57.29
2022-03-14,56.93
2022-03-15,57.7
2022-03-16,58.64
2022-03-17,60.3
2022-03-18,60.17
2022-03-21,59.43
2022-03-22,59.19
2022-03-23,58.86
2022-03-24,58.79
2022-03-25,58.91
2022-03-28,59.13
2022-03-29,60.03
2022-03-30,59.39
2022-03-31,59.03
2022-04-01,59.22
2022-04-04,60.18
2022-04-05,59.91
2022-04-06,59.0
2022-04-07,58.44
2022-04-08,58.16
2022-04-11,57.84
2022-04-12,57.05
2022-04-13,57.06
2022-04-14,55.61
2022-04-18,54.87
2022-04-19,55.87
2022-04-20,57.28
2022-04-21,56.67
2022-04-22,55.46
2022-04-25,56.46
2022-04-26,54.72
2022-04-27,55.48
2022-04-28,56.37
2022-04-29,55.09
2022-05-02,53.18
2022-05-03,53.31
2022-05-04,54.21
2022-05-05,52.69
2022-05-06,52.32
2022-05-09,50.99
2022-05-10,57.1
2022-05-11,58.3
2022-05-12,58.91
2022-05-13,61.86
2022-05-16,62.09
2022-05-17,61.66
2022-05-18,60.69
2022-05-19,60.54
2022-05-20,60.02
2022-05-23,59.46
2022-05-24,59.28
2022-05-25,59.24
2022-05-26,59.49
2022-05-27,59.98
2022-05-31,60.19
2022-06-01,60.14
2022-06-02,61.55
2022-06-03,60.95
2022-06-06,61.38
2022-06-07,61.67
2022-06-08,60.34
2022-06-09,60.57
2022-06-10,59.75
2022-06-13,60.1
2022-06-14,60.61
2022-06-15,61.02
2022-06-16,58.97
2022-06-17,59.5
2022-06-21,60.36
2022-06-22,59.7
2022-06-23,60.49
2022-06-24,61.76
2022-06-27,62.48
2022-06-28,62.56
2022-06-29,63.61
2022-06-30,65.06
2022-07-01,67.49
2022-07-05,64.48
2022-07-06,65.71
2022-07-07,65.31
2022-07-08,65.79
2022-07-11,65.54
2022-07-12,66.32
2022-07-13,60.34
2022-07-14,66.79
2022-07-15,67.78
2022-07-18,67.23
2022-07-19,68.76
2022-07-20,67.22
2022-07-21,68.02
2022-07-22,69.22
2022-07-25,69.18
2022-07-26,69.03
2022-07-27,69.72
2022-07-28,70.67
2022-07-29,72.07
2022-08-01,72.0
2022-08-02,71.19
2022-08-03,71.79
2022-08-04,72.66
2022-08-05,67.65
2022-08-08,68.87
2022-08-09,69.88
2022-08-10,70.39
2022-08-11,69.93
2022-08-12,71.33
2022-08-15,71.08
2022-08-16,70.77
2022-08-17,70.74
2022-08-18,71.09
2022-08-19,70.48
2022-08-22,70.86
2022-08-23,70.87
2022-08-24,70.37
2022-08-25,70.77
2022-08-26,69.5
2022-08-29,69.83
2022-08-30,69.75
2022-08-31,69.34
2022-09-01,70.17
2022-09-02,70.2
2022-09-06,69.22
2022-09-07,69.76
2022-09-08,67.89
2022-09-09,68.46
2022-09-12,68.42
2022-09-13,66.52
2022-09-14,65.83
2022-09-15,65.46
2022-09-16,65.46
2022-09-19,65.67
2022-09-20,64.66
2022-09-21,64.11
2022-09-22,63.2
2022-09-23,62.7
2022-09-26,62.68
2022-09-27,63.45
2022-09-28,65.05
2022-09-29,63.97
2022-09-30,62.48
2022-10-03,63.11
2022-10-04,65.46
2022-10-05,63.47
2022-10-06,61.62
2022-10-07,60.43
2022-10-10,59.95
2022-10-11,60.41
2022-10-12,60.17
2022-10-13,61.14
2022-10-14,61.46
2022-10-17,63.6
2022-10-18,63.96
2022-10-19,63.55
2022-10-20,62.22
2022-10-21,63.04
2022-10-24,63.7
2022-10-25,64.19
2022-10-26,64.01
2022-10-27,63.73
2022-10-28,65.94
2022-10-31,65.33
2022-11-01,65.13
2022-11-02,61.82
2022-11-03,62.16
2022-11-04,62.32
2022-11-07,51.29
2022-11-08,50.44
2022-11-09,50.88
2022-11-10,53.32
2022-11-11,54.84
2022-11-14,55.99
2022-11-15,56.68
2022-11-16,55.99
2022-11-17,55.13
2022-11-18,54.91
2022-11-21,56.1
2022-11-22,54.48
2022-11-23,53.56
2022-11-25,54.43
2022-11-28,54.19
2022-11-29,53.28
2022-11-30,54.85
2022-12-01,54.26
2022-12-02,54.45
2022-12-05,55.12
2022-12-06,54.64
2022-12-07,55.45
2022-12-08,57.12
2022-12-09,56.56
2022-12-12,56.48
2022-12-13,56.86
2022-12-14,57.07
2022-12-15,55.34
2022-12-16,55.18
2022-12-19,54.59
2022-12-20,54.33
2022-12-21,55.76
2022-12-22,55.85
2022-12-23,56.13
2022-12-27,57.4
2022-12-28,57.53
2022-12-29,58.03
2022-12-30,57.83
2023-01-03,57.77
2023-01-04,58.06
2023-01-05,57.16
2023-01-06,58.65
2023-01-09,58.44
2023-01-10,59.25
2023-01-11,59.76
2023-01-12,59.36
2023-01-13,59.45
2023-01-17,59.83
2023-01-18,59.48
2023-01-19,59.68
2023-01-20,60.17
2023-01-23,61.49
2023-01-24,58.74
2023-01-25,58.23
2023-01-26,58.66
2023-01-27,58.9
2023-01-30,59.35
2023-01-31,60.47
2023-02-01,62.05
2023-02-02,61.97
2023-02-03,62.35
2023-02-06,61.9
2023-02-07,62.0
2023-02-08,62.66
2023-02-09,63.53
2023-02-10,63.05
2023-02-13,64.18
2023-02-14,64.05
2023-02-15,63.96
2023-02-16,62.66
2023-02-17,62.59
2023-02-21,61.44
2023-02-22,61.15
2023-02-23,61.91
2023-02-24,60.52
2023-02-27,60.94
2023-02-28,61.17
2023-03-01,60.15
2023-03-02,59.33
2023-03-03,59.04
2023-03-06,60.89
2023-03-07,60.16
2023-03-08,60.09
2023-03-09,58.11
2023-03-10,56.14
2023-03-13,54.47
2023-03-14,53.51
2023-03-15,52.84
2023-03-16,53.6
2023-03-17,52.84
2023-03-20,52.79
2023-03-21,53.22
2023-03-22,54.22
2023-03-23,54.21
2023-03-24,54.43
2023-03-27,55.42
2023-03-28,55.52
2023-03-29,55.42
2023-03-30,55.37
2023-03-31,56.29
2023-04-03,56.32
2023-04-04,56.0
2023-04-05,56.07
2023-04-06,56.36
2023-04-10,57.22
2023-04-11,58.53
2023-04-12,58.66
2023-04-13,58.91
2023-04-14,58.82
2023-04-17,58.82
2023-04-18,59.09
2023-04-19,58.47
2023-04-20,58.27
2023-04-21,58.7
2023-04-24,58.01
2023-04-25,56.63
2023-04-26,55.79
2023-04-27,56.71
2023-04-28,57.19
2023-05-01,57.21
2023-05-02,56.05
2023-05-03,56.27
2023-05-04,55.76
2023-05-05,56.91
2023-05-08,57.18
2023-05-09,57.74
2023-05-10,57.99
2023-05-11,54.53
2023-05-12,53.29
2023-05-15,53.28
2023-05-16,52.12
2023-05-17,51.85
2023-05-18,54.25
2023-05-19,55.97
2023-05-22,56.35
2023-05-23,56.97
2023-05-24,56.27
2023-05-25,54.46
2023-05-26,53.38
2023-05-30,53.07
2023-05-31,52.08
2023-06-01,52.84
2023-06-02,55.04
2023-06-05,54.29
2023-06-06,55.35
2023-06-07,55.53
2023-06-08,55.45
2023-06-09,55.27
2023-06-12,56.18
2023-06-13,56.8
2023-06-14,56.9
2023-06-15,57.05
2023-06-16,57.09
2023-06-20,57.15
2023-06-21,57.89
2023-06-22,56.82
2023-06-23,55.4
2023-06-26,57.23
2023-06-27,58.26
2023-06-28,58.54
2023-06-29,59.23
2023-06-30,60.0
2023-07-03,60.22
2023-07-05,59.73
2023-07-06,58.51
2023-07-07,58.96
2023-07-10,59.8
2023-07-11,60.92
2023-07-12,60.35
2023-07-13,61.48
2023-07-14,61.17
2023-07-17,61.82
2023-07-18,62.7
2023-07-19,62.18
2023-07-20,63.49
2023-07-21,63.68
2023-07-24,63.84
2023-07-25,64.13
2023-07-26,64.28
2023-07-27,63.87
2023-07-28,64.37
2023-07-31,64.48
2023-08-01,64.96
2023-08-02,61.51
2023-08-03,62.2
2023-08-04,58.51
2023-08-07,58.54
2023-08-08,58.09
2023-08-09,58.15
2023-08-10,57.95
2023-08-11,58.0
2023-08-14,58.14
2023-08-15,56.78
2023-08-16,56.13
2023-08-17,56.25
2023-08-18,56.64
2023-08-21,57.2
2023-08-22,57.98
2023-08-23,58.47
2023-08-24,58.5
2023-08-25,59.35
2023-08-28,60.34
2023-08-29,60.88
2023-08-30,61.18
2023-08-31,61.72
2023-09-01,62.4
2023-09-05,64.44
2023-09-06,65.0
2023-09-07,65.51
2023-09-08,66.28
2023-09-11,66.56
2023-09-12,65.42
2023-09-13,64.76
2023-09-14,65.1
2023-09-15,65.18
2023-09-18,65.75
2023-09-19,64.4
2023-09-20,64.51
2023-09-21,63.02
2023-09-22,62.87
2023-09-25,63.34
2023-09-26,62.55
2023-09-27,61.97
2023-09-28,62.69
2023-09-29,62.5
2023-10-02,62.51
2023-10-03,61.61
2023-10-04,62.3
2023-10-05,63.76
2023-10-06,65.34
2023-10-09,66.51
2023-10-10,67.21
2023-10-11,67.3
2023-10-12,67.13
2023-10-13,66.52
2023-10-16,66.76
2023-10-17,67.08
2023-10-18,64.77
2023-10-19,63.97
2023-10-20,63.46
2023-10-23,62.6
2023-10-24,63.34
2023-10-25,62.85
2023-10-26,62.71
2023-10-27,62.24
2023-10-30,63.67
2023-10-31,65.4
2023-11-01,65.74
2023-11-02,67.69
2023-11-03,68.01
2023-11-06,66.72
2023-11-07,66.75
2023-11-08,66.38
2023-11-09,67.07
2023-11-10,60.14
2023-11-13,59.67
2023-11-14,60.14
2023-11-15,59.65
2023-11-16,61.46
2023-11-17,61.62
2023-11-20,61.92
2023-11-21,61.63
2023-11-22,62.15
2023-11-24,62.86
2023-11-27,63.53
2023-11-28,63.24
2023-11-29,63.17
2023-11-30,63.68
2023-12-01,66.5
2023-12-04,64.75
2023-12-05,63.35
2023-12-06,63.64
2023-12-07,63.1
2023-12-08,62.83
2023-12-11,63.18
2023-12-12,63.67
2023-12-13,64.55
2023-12-14,65.2
2023-12-15,63.79
2023-12-18,63.81
2023-12-19,64.82
2023-12-20,64.12
2023-12-21,65.98
2023-12-22,65.97
2023-12-26,66.34
2023-12-27,66.64
2023-12-28,66.68
2023-12-29,66.89
2024-01-02,66.53
2024-01-03,65.63
2024-01-04,65.42
2024-01-05,65.33
2024-01-08,65.91
2024-01-09,64.98
2024-01-10,65.57
2024-01-11,65.82
2024-01-12,64.25
2024-01-16,64.48
2024-01-17,64.54
2024-01-18,64.71
2024-01-19,63.99
2024-01-22,63.94
2024-01-23,62.9
2024-01-24,61.6
2024-01-25,62.09
2024-01-26,62.26
2024-01-29,62.79
2024-01-30,63.93
2024-01-31,63.97
2024-02-01,64.85
2024-02-02,64.29
2024-02-05,64.09
2024-02-06,66.47
2024-02-07,67.46
2024-02-08,67.97
2024-02-09,68.64
2024-02-12,68.14
2024-02-13,66.39
2024-02-14,68.68
2024-02-15,69.17
2024-02-16,68.92
2024-02-20,67.75
2024-02-21,66.68
2024-02-22,68.4
2024-02-23,76.73
2024-02-26,77.13
2024-02-27,76.78
2024-02-28,76.23
2024-02-29,75.91
2024-03-01,76.74
2024-03-04,76.19
2024-03-05,75.91
2024-03-06,74.9
2024-03-07,75.79
2024-03-08,75.51
2024-03-11,75.41
2024-03-12,75.67
2024-03-13,76.1
2024-03-14,75.87
2024-03-15,75.26
2024-03-18,75.1
2024-03-19,76.12
2024-03-20,76.76
2024-03-21,77.16
2024-03-22,76.95
2024-03-25,75.75
2024-03-26,75.77
2024-03-27,76.75
2024-03-28,76.17
2024-04-01,76.72
2024-04-02,76.12
2024-04-03,76.13
2024-04-04,75.69
2024-04-05,74.69
2024-04-08,74.6
2024-04-09,74.3
2024-04-10,73.81
2024-04-11,73.32
2024-04-12,73.06
2024-04-15,73.08
2024-04-16,73.33
2024-04-17,73.21
2024-04-18,72.49
2024-04-19,72.61
2024-04-22,72.82
2024-04-23,73.24
2024-04-24,73.37
2024-04-25,73.33
2024-04-26,73.18
2024-04-29,73.71
2024-04-30,71.58
2024-05-01,71.37
2024-05-02,71.19
2024-05-03,72.24
2024-05-06,70.8
2024-05-07,71.88
2024-05-08,72.0
2024-05-09,72.93
2024-05-10,76.48
2024-05-13,77.33
2024-05-14,76.25
2024-05-15,76.04
2024-05-16,75.06
2024-05-17,74.97
2024-05-20,75.25
2024-05-21,75.53
2024-05-22,76.01
2024-05-23,74.88
2024-05-24,76.16
2024-05-28,75.55
2024-05-29,73.74
2024-05-30,73.49
2024-05-31,72.68
2024-06-03,71.19
2024-06-04,72.4
2024-06-05,72.9
2024-06-06,73.53
2024-06-07,72.69
2024-06-10,79.12
2024-06-11,79.56
2024-06-12,80.72
2024-06-13,79.87
2024-06-14,80.0
2024-06-17,80.42
2024-06-18,80.07
2024-06-20,78.19
2024-06-21,77.6
2024-06-24,78.19
2024-06-25,77.65
2024-06-26,77.72
2024-06-27,77.01
2024-06-28,76.36
2024-07-01,75.78
2024-07-02,76.44
2024-07-03,77.28
2024-07-05,77.0
2024-07-08,76.75
2024-07-09,76.67
2024-07-10,77.38
2024-07-11,78.83
2024-07-12,79.44
2024-07-15,79.83
2024-07-16,81.37
2024-07-17,81.04
2024-07-18,80.57
2024-07-19,79.72
2024-07-22,80.29
2024-07-23,80.42
2024-07-24,79.47
2024-07-25,78.57
2024-07-26,79.17
2024-07-29,79.8
2024-07-30,79.39
2024-07-31,79.63
2024-08-01,76.09
2024-08-02,74.77
2024-08-05,71.77
2024-08-06,78.42
2024-08-07,77.3
2024-08-08,78.29
2024-08-09,78.94
2024-08-12,78.02
2024-08-13,78.72
2024-08-14,80.03
2024-08-15,81.7
2024-08-16,82.26
2024-08-19,83.12
2024-08-20,83.38
2024-08-21,84.09
2024-08-22,84.61
2024-08-23,85.67
2024-08-26,86.63
2024-08-27,87.15
2024-08-28,85.18
2024-08-29,85.23
2024-08-30,86.13
2024-09-03,84.22
2024-09-04,83.96
