date,sgx_io_close
2019-06-28,109.18
2019-07-01,119.18
2019-07-02,122.95
2019-07-03,124.31
2019-07-04,121.07
2019-07-05,115.78
2019-07-08,118.33
2019-07-09,121.29
2019-07-10,120.38
2019-07-11,119.91
2019-07-12,119.88
2019-07-15,121.43
2019-07-16,121.28
2019-07-17,121.24
2019-07-18,120.54
2019-07-19,120.87
2019-07-22,120.32
2019-07-23,119.73
2019-07-24,119.58
2019-07-25,119.68
2019-07-26,120.16
2019-07-29,119.82
2019-07-30,120.11
2019-07-31,120.02
2019-08-01,112.97
2019-08-02,107.08
2019-08-05,100.8
2019-08-06,98.2
2019-08-07,94.57
2019-08-08,95.89
2019-08-09,94.35
2019-08-12,94.52
2019-08-13,93.11
2019-08-14,94.02
2019-08-15,92.58
2019-08-16,92.84
2019-08-19,92.83
2019-08-20,92.46
2019-08-21,90.43
2019-08-22,91.26
2019-08-23,91.96
2019-08-26,91.38
2019-08-27,91.17
2019-08-28,90.81
2019-08-29,90.79
2019-08-30,90.91
2019-09-02,90.45
2019-09-03,89.28
2019-09-04,91.47
2019-09-05,90.44
2019-09-06,89.47
2019-09-09,92.01
2019-09-10,91.62
2019-09-11,92.92
2019-09-12,95.64
2019-09-13,96.54
2019-09-16,95.4
2019-09-17,94.57
2019-09-18,93.95
2019-09-19,92.86
2019-09-20,92.9
2019-09-23,93.4
2019-09-24,92.87
2019-09-25,92.31
2019-09-26,92.72
2019-09-27,92.83
2019-09-30,92.91
2019-10-01,92.24
2019-10-02,92.26
2019-10-03,92.05
2019-10-04,91.98
2019-10-07,92.25
2019-10-08,93.31
2019-10-09,90.58
2019-10-10,92.7
2019-10-11,92.52
2019-10-14,91.49
2019-10-15,92.19
2019-10-16,89.86
2019-10-17,89.84
2019-10-18,89.43
2019-10-21,89.18
2019-10-22,89.43
2019-10-23,89.6
2019-10-24,89.71
2019-10-25,89.66
2019-10-28,89.65
2019-10-29,89.64
2019-10-30,89.58
2019-10-31,89.56
2019-11-01,84.2
2019-11-04,82.7
2019-11-05,82.7
2019-11-06,82.91
2019-11-07,82.3
2019-11-08,80.08
2019-11-11,79.38
2019-11-12,81.09
2019-11-13,81.14
2019-11-14,82.94
2019-11-15,83.37
2019-11-18,83.51
2019-11-19,83.86
2019-11-20,83.99
2019-11-21,84.26
2019-11-22,84.52
2019-11-25,85.24
2019-11-26,85.03
2019-11-27,84.75
2019-11-28,84.77
2019-11-29,84.68
2019-12-02,88.03
2019-12-03,87.55
2019-12-04,88.33
2019-12-05,88.25
2019-12-06,88.55
2019-12-09,92.19
2019-12-10,92.06
2019-12-11,92.96
2019-12-12,92.74
2019-12-13,93.04
2019-12-16,92.58
2019-12-17,92.4
2019-12-18,92.12
2019-12-19,92.22
2019-12-20,91.58
2019-12-23,91.52
2019-12-24,91.58
2019-12-26,91.5
2019-12-27,91.42
2019-12-30,91.47
2019-12-31,91.53
2020-01-02,92.55
2020-01-03,93.36
2020-01-06,93.82
2020-01-07,93.7
2020-01-08,94.63
2020-01-09,93.36
2020-01-10,93.26
2020-01-13,94.04
2020-01-14,95.23
2020-01-15,94.79
