date,BSL_AX,5401_T,600019_SS,0347_HK,TKA_DE,SSAB_B_ST
2018-03-30,,310.7499694824219,5.202157974243164,,,
2018-04-02,,309.5530090332031,5.22045373916626,,,
2018-04-03,12.156050682067871,309.15399169921875,5.104579448699951,4.653180122375488,14.041308403015137,24.6065731048584
2018-04-04,12.220970153808594,311.281982421875,5.019197463989258,4.609979629516602,13.843637466430664,24.43705177307129
2018-04-05,11.90449047088623,308.6220397949219,,,14.44324016571045,25.004289627075195
2018-04-06,11.993753433227539,305.8955383300781,,4.807462215423584,14.258749008178711,24.965173721313477
2018-04-09,12.042442321777344,305.36358642578125,5.22045373916626,4.751920700073242,14.285103797912598,24.97821044921875
2018-04-10,12.245314598083496,311.4814758300781,5.415611267089844,4.998774528503418,14.60137939453125,25.669336318969727
2018-04-11,12.569907188415527,313.0774841308594,5.3546247482299805,4.869175434112549,14.456419944763184,25.756303787231445
2018-04-12,12.853926658630371,311.14898681640625,5.318032264709473,4.751920700073242,14.581613540649414,26.244672775268555
2018-04-13,12.926962852478027,318.26434326171875,5.336328029632568,4.930889129638672,14.719983100891113,26.62599754333496
2018-04-16,12.77277946472168,317.79888916015625,5.183861255645752,4.702549934387207,14.614557266235352,26.826696395874023
2018-04-17,12.618597984313965,312.5454406738281,5.1533684730529785,4.591465950012207,14.970367431640625,27.509071350097656
2018-04-18,13.137947082519531,313.0774841308594,5.330229759216309,4.918546676635742,15.1812162399292,28.325244903564453
2018-04-19,13.5193452835083,321.9882507324219,5.561978816986084,5.116029262542725,15.016490936279297,28.358694076538086
2018-04-20,13.5193452835083,322.1878356933594,5.543683052062988,4.924717903137207,14.963777542114258,27.121057510375977
2018-04-23,13.5193452835083,323.9833679199219,5.568077564239502,4.906203746795654,14.897887229919434,27.248159408569336
2018-04-24,13.722216606140137,327.1087646484375,5.641261577606201,5.146885395050049,14.950600624084473,25.83658218383789
2018-04-25,,323.318359375,5.6168670654296875,5.097515106201172,14.614557266235352,25.676025390625
2018-04-26,13.568036079406738,314.60693359375,5.604669094085693,5.041973114013672,14.423474311828613,25.702783584594727
2018-04-27,13.673528671264648,317.20037841796875,5.635162830352783,4.998774528503418,14.561844825744629,26.070730209350586
2018-04-30,13.397624015808105,317.20037841796875,,5.257969856262207,14.232391357421875,26.646068572998047
2018-05-01,13.446311950683594,319.1953430175781,,,,
2018-05-02,13.568036079406738,319.1953430175781,5.36072301864624,5.165399551391602,14.456419944763184,26.87352180480957
2018-05-03,13.819595336914062,319.1953430175781,5.452202796936035,5.072829246520996,14.265336990356445,26.431989669799805
2018-05-04,13.819595336914062,319.1953430175781,5.488794803619385,4.980259895324707,14.456419944763184,26.733034133911133
2018-05-07,14.225337982177734,325.7787780761719,5.519288539886475,5.097515106201172,14.759517669677734,26.86014747619629
2018-05-08,14.063040733337402,324.58172607421875,5.5314860343933105,5.116029262542725,14.858352661132812,27.40203094482422
2018-05-09,14.07927131652832,322.8527526855469,5.427807807922363,5.066657543182373,15.03625774383545,27.575973510742188
2018-05-10,14.17664623260498,324.914306640625,5.446104049682617,5.116029262542725,15.082381248474121,
2018-05-11,14.3714017868042,328.6382141113281,5.494894027709961,4.980259895324707,15.293234825134277,27.589353561401367
2018-05-14,14.631084442138672,332.628173828125,5.57417631149292,5.011116027832031,15.319587707519531,27.074220657348633
2018-05-15,14.428210258483887,333.4261779785156,5.476597309112549,5.060487270355225,14.33122730255127,27.161191940307617
2018-05-16,14.460668563842773,330.3006896972656,5.403413772583008,5.05431604385376,14.159913063049316,27.415409088134766
2018-05-17,14.614852905273438,334.55670166015625,5.3119330406188965,5.041973114013672,14.186266899108887,27.415409088134766
2018-05-18,14.566161155700684,334.68963623046875,5.3546247482299805,5.011116027832031,14.206035614013672,27.074220657348633
2018-05-21,14.3714017868042,330.69970703125,5.3546247482299805,4.9370598793029785,14.206035614013672,27.000635147094727
2018-05-22,13.916972160339355,328.8377380371094,5.263144493103027,,15.563385963439941,27.294992446899414
2018-05-23,13.852056503295898,327.70721435546875,5.1533684730529785,4.887689590454102,15.207574844360352,26.68620491027832
2018-05-24,13.981891632080078,319.39483642578125,5.159466743469238,4.782777309417725,15.161450386047363,26.157699584960938
2018-05-25,13.860169410705566,314.60693359375,5.159466743469238,4.832147598266602,15.207574844360352,25.99045181274414
2018-05-28,14.006237983703613,313.9419250488281,5.135071754455566,4.881519317626953,14.97695541381836,25.923553466796875
2018-05-29,13.884513854980469,311.0159912109375,5.226552963256836,4.751920700073242,15.049437522888184,25.722856521606445
2018-05-30,13.632953643798828,303.3686218261719,5.03139591217041,4.6840362548828125,15.062613487243652,25.789752960205078
2018-05-31,14.103612899780273,303.5680847167969,5.135071754455566,4.801291465759277,14.871532440185547,25.23448944091797
2018-06-01,14.452555656433105,306.3610534667969,5.202157974243164,5.029629707336426,15.233930587768555,25.742921829223633
2018-06-04,14.549932479858398,309.3534851074219,5.3485260009765625,5.183913230895996,15.135095596313477,25.56229591369629
2018-06-05,14.549932479858398,309.4200134277344,5.3546247482299805,5.10368537902832,15.293234825134277,24.819705963134766
2018-06-06,14.898869514465332,309.75250244140625,5.427807807922363,5.183913230895996,15.629276275634766,24.819705963134766
2018-06-07,15.101741790771484,311.0824279785156,5.604669094085693,5.3076958656311035,15.741287231445312,25.80313491821289
2018-06-08,14.971904754638672,304.964599609375,5.585431098937988,5.237437725067139,15.392067909240723,25.42180633544922
2018-06-11,,305.7625427246094,5.655970573425293,5.3332438468933105,15.45796012878418,25.823200225830078
2018-06-12,14.74468994140625,302.9031066894531,5.726510047912598,5.441825866699219,15.372299194335938,25.247867584228516
2018-06-13,14.801494598388672,302.9031066894531,5.720097541809082,5.39072847366333,15.668811798095703,25.107378005981445
2018-06-14,14.89076042175293,301.5730895996094,5.713684558868408,5.371567249298096,15.60950756072998,25.649267196655273
2018-06-15,15.174778938293457,299.91064453125,5.752161502838135,5.282147407531738,15.36571216583252,24.59225082397461
2018-06-18,15.004363059997559,295.5882263183594,,,15.088969230651855,24.645771026611328
2018-06-19,14.50124454498291,291.1327819824219,5.502066612243652,5.052211761474609,14.752927780151367,24.02360725402832
2018-06-20,14.906988143920898,289.0713195800781,5.553368091583252,5.033050060272217,14.542078971862793,23.903188705444336
2018-06-21,15.069281578063965,288.206787109375,5.572605609893799,5.103307723999023,14.265336990356445,23.528549194335938
2018-06-22,14.566161155700684,288.4728088378906,5.572605609893799,5.224662780761719,14.153324127197266,23.528549194335938
