date,NUE,STLD,CLF,RS,CMC,WOR,MT,PKX,TX,SID,GGB,VALE,RIO,BHP,FMG_AX,TIO=F,SLX,XME,PICK,DBB,VIX,DX_Y_NYB,TNX,CNY
2015-07-01,34.653751373291016,16.674030303955078,3.986572504043579,48.81719207763672,13.065673828125,14.980355262756348,20.01910400390625,44.184295654296875,9.887435913085938,0.9720298051834106,1.1313380002975464,2.7807161808013916,18.03216552734375,19.04790496826172,0.6656069159507751,55.119998931884766,20.3985652923584,20.682430267333984,17.140531539916992,12.117414474487305,16.09000015258789,96.30999755859375,2.4179999828338623,6.190999984741211
2015-07-02,34.4668083190918,16.34630012512207,3.655147075653076,48.80917739868164,12.86565113067627,14.896280288696289,19.93603515625,45.555538177490234,9.904641151428223,0.9659923315048218,1.1115769147872925,2.8241641521453857,18.169416427612305,19.424257278442383,0.6947045922279358,54.02000045776367,20.290740966796875,20.596147537231445,17.140531539916992,12.051153182983398,16.790000915527344,96.11000061035156,2.3929998874664307,6.191500186920166
2015-07-03,,,,,,,,,,,,,,,0.6619697213172913,,,,,,,,,6.194699764251709
2015-07-06,33.99167251586914,16.050552368164062,3.3615987300872803,48.42403030395508,12.66562271118164,14.629218101501465,19.146902084350586,44.14844512939453,9.749791145324707,0.9176926016807556,1.067114233970642,2.7083005905151367,17.770965576171875,18.62451171875,0.6237792372703552,51.209999084472656,19.71120262145996,20.251005172729492,16.553977966308594,11.835805892944336,17.010000228881836,96.30000305175781,2.2780001163482666,6.195700168609619
2015-07-07,34.35775375366211,16.130491256713867,3.342660665512085,48.60857391357422,12.85105037689209,14.584709167480469,18.7315673828125,43.34184265136719,9.577736854553223,0.9237298965454102,1.086875319480896,2.7131290435791016,17.58502197265625,18.33284568786621,0.6492395997047424,49.970001220703125,19.690982818603516,20.009408950805664,16.254180908203125,11.587328910827637,16.09000015258789,96.87000274658203,2.2309999465942383,6.19920015335083
2015-07-08,33.337379455566406,15.690852165222168,2.973358154296875,46.9155387878418,12.56081485748291,13.996173858642578,18.482364654541016,41.603145599365234,9.31965446472168,0.8452432751655579,1.06217360496521,2.568300247192383,16.898792266845703,17.589555740356445,0.6092302799224854,47.75,18.895795822143555,19.36227035522461,15.706727027893066,11.620458602905273,19.65999984741211,96.29000091552734,2.2060000896453857,6.199999809265137
2015-07-09,33.462013244628906,15.491022109985352,3.096458911895752,47.55744552612305,12.609190940856934,14.085198402404785,18.482364654541016,41.737579345703125,9.245099067687988,0.8633555769920349,1.0473531484603882,2.6165764331817627,17.05817413330078,18.064697265625,0.6492395997047424,49.869998931884766,18.96992301940918,19.44856071472168,15.95438289642334,11.868936538696289,19.969999313354492,96.61000061035156,2.3010001182556152,6.198999881744385
2015-07-10,33.76578903198242,15.682863235473633,3.1248669624328613,47.8141975402832,12.907483100891113,14.386882781982422,19.022300720214844,41.603145599365234,9.302447319030762,0.851280689239502,1.057233452796936,2.621403932571411,17.328235626220703,18.568063735961914,0.6601511836051941,50.5,19.16535186767578,19.44856071472168,16.306318283081055,11.827523231506348,16.829999923706055,96.02999877929688,2.4170000553131104,6.198800086975098
2015-07-13,34.388912200927734,16.01858139038086,3.333191394805908,48.504268646240234,13.246092796325684,14.713288307189941,19.479169845581055,43.019187927246094,9.537590980529785,0.9478800296783447,1.1214573383331299,2.8483028411865234,18.00560760498047,19.057315826416016,0.6274163126945496,50.540000915527344,19.87967300415039,20.018037796020508,16.632183074951172,11.951763153076172,13.899999618530273,96.86000061035156,2.430000066757202,6.1992998123168945
2015-07-14,34.41228103637695,15.98659896850586,3.219559907913208,49.10605239868164,13.294473648071289,14.777584075927734,19.146902084350586,43.05504608154297,9.422886848449707,0.9056177735328674,1.0374720096588135,2.7517495155334473,17.93476676940918,18.793867111206055,0.6510581374168396,50.689998626708984,19.65055274963379,19.888614654541016,16.593080520629883,11.951763153076172,13.369999885559082,96.63999938964844,2.3989999294281006,6.198400020599365
2015-07-15,33.898197174072266,15.76279067993164,3.0017659664154053,48.36785125732422,12.81074047088623,14.218729019165039,18.482364654541016,41.0474853515625,9.095982551574707,0.8814680576324463,1.0374720096588135,2.6455421447753906,17.91706085205078,18.48338508605957,0.6456024050712585,50.68000030517578,19.111440658569336,19.155189514160156,16.293283462524414,11.968327522277832,13.229999542236328,97.12999725341797,2.3499999046325684,6.19890022277832
2015-07-16,33.69568634033203,15.642901420593262,2.935481071472168,48.287620544433594,12.875237464904785,14.14948558807373,18.565433502197266,39.649356842041016,9.073042869567871,0.857318103313446,1.027591586112976,2.6938185691833496,18.067588806152344,18.737422943115234,0.6365092396736145,50.61000061035156,19.071008682250977,19.008512496948242,16.319351196289062,11.943479537963867,12.109999656677246,97.66000366210938,2.3519999980926514,6.19920015335083
2015-07-17,33.251705169677734,15.323158264160156,2.8786652088165283,47.62164306640625,12.59306526184082,13.828022003173828,18.420068740844727,38.14368438720703,8.889516830444336,0.8210933804512024,0.9732474684715271,2.6358869075775146,17.86393165588379,18.610403060913086,0.6237792372703552,50.72999954223633,18.700368881225586,18.568450927734375,16.162939071655273,11.868936538696289,11.949999809265137,97.86000061035156,2.3489999771118164,6.19950008392334
2015-07-20,32.85445785522461,15.011423110961914,2.7082176208496094,47.10008239746094,12.496317863464355,13.80329704284668,18.357765197753906,38.26019287109375,8.49952507019043,0.8029811382293701,0.9485459923744202,2.6117489337921143,17.713409423828125,18.40811538696289,0.6346907019615173,51.25,18.41733741760254,17.791894912719727,16.11079978942871,11.769546508789062,12.25,98.02999877929688,2.371999979019165,6.19950008392334
2015-07-21,33.1660270690918,15.499014854431152,2.765033721923828,46.58655548095703,12.641436576843262,13.85770034790039,18.77309799194336,38.627647399902344,8.78628158569336,0.7788313031196594,0.9683070778846741,2.679335832595825,17.704557418823242,18.666851043701172,0.6328722834587097,51.279998779296875,18.504940032958984,17.97309684753418,16.149900436401367,11.703285217285156,12.220000267028809,97.33000183105469,2.3399999141693115,6.19980001449585
2015-07-22,32.85445785522461,15.698843002319336,2.3389155864715576,46.121158599853516,12.730123519897461,13.565905570983887,18.25393295288086,38.07198715209961,8.694520950317383,0.7184569239616394,0.9189032316207886,2.60209321975708,17.279537200927734,17.735389709472656,0.6365092396736145,51.09000015258789,18.039960861206055,17.826404571533203,15.654582023620605,11.545915603637695,12.119999885559082,97.5999984741211,2.322000026702881,6.1996002197265625
2015-07-23,33.87483215332031,15.65088939666748,2.6229941844940186,48.528343200683594,12.730123519897461,13.511500358581543,18.31623077392578,37.48046875,8.677315711975098,0.7063817977905273,0.9139631986618042,2.5489895343780518,17.05817413330078,17.368452072143555,0.5983187556266785,51.16999816894531,18.073654174804688,17.602069854736328,15.393896102905273,11.355417251586914,12.640000343322754,97.12000274658203,2.2769999504089355,6.199399948120117
