Date,copper
2022-03-23,10499.502329502106
2022-03-24,10425.64818183899
2022-03-25,10330.849034061432
2022-03-28,10392.579176187515
2022-03-29,10398.089801092146
2022-03-30,10448.796590919494
2022-03-31,10456.512727279662
2022-04-01,10323.132897701264
2022-04-04,10530.367926187515
2022-04-05,10562.33417611122
2022-04-06,10435.568778409957
2022-04-07,10350.691278448105
2022-04-08,10405.805937452316
2022-04-11,10204.083636360168
2022-04-12,10370.532471590042
2022-04-13,10377.145852222442
2022-04-14,10399.192556819915
2022-04-18,10573.357528409957
2022-04-19,10392.579176187515
2022-04-20,10250.380454521179
2022-04-21,10369.429715862274
2022-04-22,10102.67110795021
2022-04-25,9808.354119291305
2022-04-26,9788.512926149368
2022-04-27,9820.48022731781
2022-04-28,9730.089999961852
2022-04-29,9689.30485795021
2022-05-02,9381.760056781768
2022-05-03,9415.93181816101
2022-05-04,9542.697215862274
2022-05-05,9446.796363601685
2022-05-06,9394.987869291304
2022-05-09,9243.971306781768
2022-05-10,9159.093806819916
2022-05-11,9286.961960248947
2022-05-12,9049.965142049788
2022-05-13,9216.413977279663
2022-05-16,9251.687443141936
2022-05-17,9346.486590919494
2022-05-18,9219.72119321823
2022-05-19,9446.796363601685
2022-05-20,9437.978522758483
2022-05-23,9584.585113601684
2022-05-24,9536.083835229872
2022-05-25,9429.159630670547
2022-05-26,9380.658352298737
2022-05-27,9488.684261341095
2022-05-31,9468.843068199158
2022-06-01,9546.004431800842
2022-06-02,10039.839261341094
2022-06-03,9871.18596590042
2022-06-06,9787.4101704216
2022-06-07,9787.4101704216
2022-06-08,9829.29806816101
2022-06-09,9676.077045440674
2022-06-10,9482.070880708694
2022-06-13,9295.779801092147
2022-06-14,9174.526079540252
2022-06-15,9187.753892049788
2022-06-16,9065.397414770126
2022-06-17,8857.060681800842
2022-06-21,8913.279147777557
2022-06-22,8711.555795440674
2022-06-23,8286.064488658905
2022-06-24,8289.371178975105
2022-06-27,8331.259076714516
2022-06-28,8342.281903390884
2022-06-29,8331.259076714516
2022-06-30,8189.060880670547
2022-07-01,7978.519687490463
2022-07-05,7550.823394875526
2022-07-06,7535.391122155189
2022-07-07,7896.94887784481
2022-07-08,7786.717982969284
2022-07-11,7578.381249999999
2022-07-12,7267.529758515358
2022-07-13,7331.463835229873
2022-07-14,7077.932514204978
2022-07-15,7130.843238620758
2022-07-18,7381.067869329452
2022-07-19,7256.506931838989
2022-07-20,7340.2822016954415
2022-07-21,7279.655340919494
2022-07-22,7382.170099434852
2022-07-25,7387.68177558422
2022-07-26,7457.127002825737
2022-07-27,7560.7445170688625
2022-07-28,7661.054289751052
2022-07-29,7901.358323888779
2022-08-01,7830.810340919495
2022-08-02,7770.1829545211785
2022-08-03,7648.9292329692835
2022-08-04,7678.691548304558
2022-08-05,7833.0148011302945
2022-08-08,7909.074460248947
2022-08-09,7920.0972869253155
2022-08-10,8058.988267030715
2022-08-11,8180.242514204979
2022-08-12,8104.183380708694
2022-08-15,8000.565866465568
2022-08-16,8017.1003692913055
2022-08-17,7932.222869329452
2022-08-18,8039.147073888778
2022-08-19,8120.717883534431
2022-08-22,8092.057798304558
2022-08-23,8167.0147016954415
2022-08-24,8070.0116193294525
2022-08-25,8180.242514204979
2022-08-26,8182.446974415779
2022-08-29,7995.0541903162
2022-08-30,7815.3780681991575
2022-08-31,7756.95566763401
2022-09-01,7527.674985795021
2022-09-02,7543.107258515358
2022-09-06,7647.8270028638835
2022-09-07,7579.483480105399
2022-09-08,7795.536349434852
2022-09-09,7894.74441763401
2022-09-12,7992.849730105399
2022-09-13,7894.74441763401
2022-09-14,7816.480298304557
2022-09-15,7767.978494310379
2022-09-16,7850.652059683799
2022-09-19,7842.935397701263
2022-09-20,7821.991974453926
2022-09-21,7742.625625019073
2022-09-22,7712.863309683799
2022-09-23,7432.876363639831
2022-09-26,7305.0082102108
2022-09-27,7325.952159080505
2022-09-28,7456.024772720337
2022-09-29,7583.892926149368
2022-09-30,7588.301846570968
2022-10-03,7623.57583805561
2022-10-04,7755.852911906242
2022-10-05,7787.820213074684
2022-10-06,7661.054289751052
2022-10-07,7523.2655397510525
2022-10-10,7613.655241484642
2022-10-11,7667.668196005821
2022-10-12,7593.813522720337
2022-10-13,7644.519786925315
2022-10-14,7607.041335229873
2022-10-17,7618.064161906242
2022-10-18,7510.038252863884
2022-10-19,7408.625724453926
2022-10-20,7608.143565335274
2022-10-21,7766.876264204979
2022-10-24,7670.975411944389
2022-10-25,7607.041335229873
2022-10-26,8001.668096570968
2022-10-27,7992.849730105399
2022-10-28,7641.213096609115
2022-10-31,7525.470525584221
2022-11-01,7737.1139488697045
2022-11-02,7728.295582404136
2022-11-03,7620.26914773941
2022-11-04,8189.060880670547
2022-11-07,8001.668096570968
2022-11-08,8169.219161906242
2022-11-09,8248.585511341094
2022-11-10,8368.737528409958
2022-11-11,8710.453565335274
2022-11-14,8498.81014204979
2022-11-15,8464.638380670547
2022-11-16,8351.10079547882
2022-11-17,8133.9456960439675
