Date,steel
2023-09-13,779.3331699999999
2023-09-14,778.2308599999999
2023-09-15,776.0262399999999
2023-09-18,778.2308599999999
2023-09-19,778.2308599999999
2023-09-20,776.0262399999999
2023-09-21,776.0262399999999
2023-09-22,777.1285499999999
2023-09-25,777.1285499999999
2023-09-26,773.8216199999999
2023-09-27,784.8447199999999
2023-09-28,788.1516499999999
2023-09-29,776.0262399999999
2023-10-02,766.1054499999999
2023-10-03,756.1846599999999
2023-10-04,761.69621
2023-10-05,777.1285499999999
2023-10-06,777.1285499999999
2023-10-09,772.71931
2023-10-10,772.71931
2023-10-11,771.617
2023-10-12,767.2077599999999
2023-10-13,766.1054499999999
2023-10-16,769.41238
2023-10-17,777.1285499999999
2023-10-18,774.9239299999999
2023-10-19,776.0262399999999
2023-10-20,774.9239299999999
2023-10-23,772.71931
2023-10-24,773.8216199999999
2023-10-25,911.6103699999999
2023-10-26,942.4750499999999
2023-10-27,954.6004599999999
2023-10-30,960.1120099999999
2023-10-31,960.1120099999999
2023-11-01,973.3397299999999
2023-11-02,972.2374199999999
2023-11-03,962.3166299999999
2023-11-06,981.0559
2023-11-07,975.5443499999999
2023-11-08,983.2605199999999
2023-11-09,979.95359
2023-11-10,984.3628299999999
2023-11-13,986.5674499999999
2023-11-14,986.5674499999999
2023-11-15,981.0559
2023-11-16,981.0559
2023-11-17,981.0559
2023-11-20,981.0559
2023-11-21,981.0559
2023-11-22,989.8743799999999
2023-11-24,993.1813099999999
2023-11-27,992.079
2023-11-28,993.1813099999999
2023-11-29,1150.81164
2023-11-30,1150.81164
2023-12-01,1145.30009
2023-12-04,1145.30009
2023-12-05,1133.1746799999999
2023-12-06,1169.55091
2023-12-07,1179.4716999999998
2023-12-08,1179.4716999999998
2023-12-11,1181.6763199999998
2023-12-12,1176.1647699999999
2023-12-13,1176.1647699999999
2023-12-14,1177.2670799999999
2023-12-15,1177.2670799999999
2023-12-18,1179.4716999999998
2023-12-19,1173.9601499999999
2023-12-20,1183.8809399999998
2023-12-21,1183.8809399999998
2023-12-22,1183.8809399999998
2023-12-26,1188.29018
2023-12-27,1263.2472599999999
2023-12-28,1266.5541899999998
2023-12-29,1251.12185
2024-01-02,1242.3033699999999
2024-01-03,1234.5872
2024-01-04,1211.43869
2024-01-05,1201.5178999999998
2024-01-08,1190.4948
2024-01-09,1193.80173
2024-01-10,1188.29018
2024-01-11,1184.98325
2024-01-12,1186.08556
2024-01-16,1182.7786299999998
2024-01-17,1179.4716999999998
2024-01-18,1179.4716999999998
2024-01-19,1179.4716999999998
2024-01-22,1179.4716999999998
2024-01-23,1179.4716999999998
2024-01-24,1193.80173
2024-01-25,1187.18787
2024-01-26,1187.18787
2024-01-29,1187.18787
2024-01-30,1189.39249
2024-01-31,1061.52453
2024-02-01,1069.2406999999998
2024-02-02,1065.9337699999999
2024-02-05,1065.9337699999999
2024-02-06,1068.1383899999998
2024-02-07,1050.5014299999998
2024-02-08,1041.68295
2024-02-09,1041.68295
2024-02-12,1028.4552299999998
2024-02-13,1028.4552299999998
2024-02-14,1020.7390599999999
2024-02-15,1024.0459899999998
2024-02-16,1024.0459899999998
2024-02-20,1019.6367499999999
2024-02-21,1016.3298199999999
2024-02-22,1016.3298199999999
2024-02-23,1016.3298199999999
2024-02-26,1016.3298199999999
2024-02-27,1016.3298199999999
2024-02-28,882.95031
2024-02-29,876.3364499999999
2024-03-01,870.8249
2024-03-04,869.72259
2024-03-05,865.3133499999999
2024-03-06,884.0526199999999
2024-03-07,896.1780299999999
2024-03-08,897.2803399999999
2024-03-11,890.6664799999999
2024-03-12,881.848
2024-03-13,867.5179699999999
2024-03-14,874.1318299999999
2024-03-15,873.0295199999999
2024-03-18,880.74569
2024-03-19,876.3364499999999
2024-03-20,875.2341399999999
2024-03-21,875.2341399999999
2024-03-22,875.2341399999999
2024-03-25,869.72259
2024-03-26,869.72259
2024-03-27,953.4981499999999
2024-03-28,947.9866
2024-04-01,951.2935299999999
2024-04-02,968.93049
2024-04-03,947.9866
2024-04-04,940.2704299999999
2024-04-05,940.2704299999999
2024-04-08,933.6565699999999
2024-04-09,931.4519499999999
2024-04-10,931.4519499999999
2024-04-11,936.9635
2024-04-12,931.4519499999999
2024-04-15,931.4519499999999
2024-04-16,931.4519499999999
2024-04-17,925.9404
