dtc_row_id,dtc_order_no,predicted_inbound_row_id,predicted_inbound_ticket,inbound_match_probability,rule_score,rule_rank,pseudo_labeled_order,pseudo_label,pseudo_margin
68,1332,228,15979,0.9895482986493327,90.8,1.0,1,1,51.3
69,1329,225,15884,0.9888913972032138,90.4,1.0,1,1,28.10000000000001
70,1328,224,15883,0.9888073608305371,90.4,1.0,1,1,38.00000000000001
71,1367,195,15873,0.07611908516187191,45.1,1.0,0,0,0.0
72,1367,204,15873,0.9563865730493911,86.5,1.0,1,1,80.9
73,1367,203,15873,0.07884185872309338,45.1,1.0,0,0,0.0
74,1367,157,15871,0.07217120322226912,45.1,2.0,0,0,0.0
75,1367,161,15871,0.9558141000528734,86.5,1.0,1,1,41.4
76,1367,199,15873,0.07708266245334738,45.1,1.0,0,0,0.0
77,1367,205,15873,0.9600377328796501,88.1,1.0,1,1,82.39999999999999
78,1323,169,15803,0.28554273822213905,54.3,1.0,0,0,3.5999999999999943
79,1363,139,16140,0.958271820797323,89.3,1.0,1,1,41.9
80,1363,138,16140,0.9556887118832919,86.5,1.0,1,1,47.0
81,1320,146,15759,0.19832801755790722,53.5,1.0,0,0,8.399999999999999
82,1318,34,15696,0.2652504361942888,55.4,1.0,0,0,2.3999999999999986
83,1317,29,15726,0.9443724203931692,86.5,1.0,1,1,52.7
84,1314,12,15683,0.9900707871459907,90.8,1.0,1,1,51.3
85,1311,11,15588,0.9889510191819488,90.4,1.0,1,1,28.400000000000006
