dtc_row_id,dtc_order_no,ticket_row_id,ticket,pseudo_label,pseudo_labeled_order,pseudo_label_reason,pseudo_margin,rule_score,rule_raw,rule_max_possible,rule_rank,score_gap_to_best,dtc_weight,ticket_weight,weight_abs_diff,weight_pct_diff,date_abs_days,date_signed_days,same_day,code_points,code_diff_points,desc_points,net_wt_points,net_wt_over_points,date_points,time_points,price_points,model_probability
67,1334,34,15696,0,0,,5.899999999999999,36.1,48.0,133.0,11.0,14.899999999999999,46520,24780,21740,0.46732588134135855,7,-7,0.0,40.0,0.0,20.0,0.0,-15.0,3.0,0.0,0.0,0.010222555612136886
67,1334,335,16170,0,0,,5.899999999999999,36.1,48.0,133.0,7.0,14.899999999999999,46520,11860,34660,0.7450558899398109,7,7,0.0,40.0,0.0,20.0,0.0,-15.0,3.0,0.0,0.0,0.00907407958263235
67,1334,167,15789,0,0,,5.899999999999999,36.1,48.0,133.0,5.0,14.899999999999999,46520,8180,38340,0.8241616509028374,5,-5,0.0,40.0,0.0,20.0,0.0,-15.0,3.0,0.0,0.0,0.008949636789796716
67,1334,397,16272,0,0,,5.899999999999999,33.8,45.0,133.0,25.0,17.200000000000003,46520,36680,9840,0.2115219260533104,10,10,0.0,40.0,0.0,20.0,0.0,-15.0,0.0,0.0,0.0,0.008312416087264513
67,1334,328,16155,0,0,,5.899999999999999,36.1,48.0,133.0,8.0,14.899999999999999,46520,1083,45437,0.9767196904557179,7,7,0.0,40.0,0.0,20.0,0.0,-15.0,3.0,0.0,0.0,0.007699109835752334
67,1334,371,16203,0,0,,5.899999999999999,33.8,45.0,133.0,28.0,17.200000000000003,46520,23160,23360,0.5021496130696474,8,8,0.0,40.0,0.0,20.0,0.0,-15.0,0.0,0.0,0.0,0.007131627357912068
67,1334,54,15723,0,0,,5.899999999999999,36.1,48.0,133.0,12.0,14.899999999999999,46520,286,46234,0.9938521066208083,7,-7,0.0,40.0,0.0,20.0,0.0,-15.0,3.0,0.0,0.0,0.007088732772388629
67,1334,53,15723,0,0,,5.899999999999999,36.1,48.0,133.0,13.0,14.899999999999999,46520,338,46182,0.9927343078245916,7,-7,0.0,40.0,0.0,20.0,0.0,-15.0,3.0,0.0,0.0,0.0070535452849141604
67,1334,52,15723,0,0,,5.899999999999999,36.1,48.0,133.0,14.0,14.899999999999999,46520,368,46152,0.9920894239036974,7,-7,0.0,40.0,0.0,20.0,0.0,-15.0,3.0,0.0,0.0,0.00701625641121292
67,1334,51,15723,0,0,,5.899999999999999,36.1,48.0,133.0,15.0,14.899999999999999,46520,403,46117,0.9913370593293207,7,-7,0.0,40.0,0.0,20.0,0.0,-15.0,3.0,0.0,0.0,0.006979677507135065
67,1334,50,15723,0,0,,5.899999999999999,36.1,48.0,133.0,16.0,14.899999999999999,46520,526,45994,0.9886930352536544,7,-7,0.0,40.0,0.0,20.0,0.0,-15.0,3.0,0.0,0.0,0.0069522976219418865
