dtc_row_id,dtc_order_no,ticket_row_id,ticket,true_outbound_ticket,label,truth_in_candidate,rule_score,rule_raw,rule_max_possible,rule_rank,score_gap_to_best,dtc_weight,ticket_weight,weight_abs_diff,weight_pct_diff,date_abs_days,date_signed_days,same_day,code_points,code_diff_points,desc_points,net_wt_points,net_wt_over_points,date_points,time_points,customer_points,customer_diff_points,price_points
2,1506,308,1455,1451,0,1,0.0,-20.02,158.0,15.0,100.0,25600,33020,7420,0.28984375,2,2,0.0,0.0,-40.0,0.0,0.0,-15.0,7.5,0.0,25.0,0.0,2.48
2,1506,295,1445,1451,0,1,0.0,-20.02,158.0,16.0,100.0,25600,34040,8440,0.3296875,2,-2,0.0,0.0,-40.0,0.0,0.0,-15.0,7.5,0.0,25.0,0.0,2.48
2,1506,296,1450,1451,0,1,0.0,-15.0,158.0,17.0,100.0,25600,24820,780,0.03046875,1,-1,0.0,0.0,-40.0,0.0,0.0,-15.0,15.0,0.0,25.0,0.0,0.0
2,1506,228,1411,1451,0,1,0.0,-30.0,158.0,18.0,100.0,25600,27840,2240,0.0875,13,-13,0.0,0.0,-40.0,0.0,0.0,-15.0,0.0,0.0,25.0,0.0,0.0
2,1506,271,1439,1451,0,1,0.0,-24.52,158.0,19.0,100.0,25600,34680,9080,0.3546875,6,-6,0.0,0.0,-40.0,0.0,0.0,-15.0,3.0,0.0,25.0,0.0,2.48
2,1506,270,1444,1451,0,1,0.0,-27.0,158.0,20.0,100.0,25600,18080,7520,0.29375,6,-6,0.0,0.0,-40.0,0.0,0.0,-15.0,3.0,0.0,25.0,0.0,0.0
2,1506,269,1437,1451,0,1,0.0,-24.52,158.0,21.0,100.0,25600,34780,9180,0.35859375,6,-6,0.0,0.0,-40.0,0.0,0.0,-15.0,3.0,0.0,25.0,0.0,2.48
2,1506,267,1435,1451,0,1,0.0,-27.0,158.0,22.0,100.0,25600,30860,5260,0.20546875,6,-6,0.0,0.0,-40.0,0.0,0.0,-15.0,3.0,0.0,25.0,0.0,0.0
2,1506,265,1432,1451,0,1,0.0,-27.0,158.0,23.0,100.0,25600,29080,3480,0.1359375,7,-7,0.0,0.0,-40.0,0.0,0.0,-15.0,3.0,0.0,25.0,0.0,0.0
2,1506,264,1431,1451,0,1,0.0,-25.06,158.0,24.0,100.0,25600,8620,16980,0.66328125,7,-7,0.0,0.0,-40.0,0.0,0.0,-15.0,3.0,0.0,25.0,0.0,1.94
2,1506,263,1430,1451,0,1,0.0,-24.52,158.0,25.0,100.0,25600,32200,6600,0.2578125,7,-7,0.0,0.0,-40.0,0.0,0.0,-15.0,3.0,0.0,25.0,0.0,2.48
2,1506,258,1424,1451,0,1,0.0,-27.52,158.0,26.0,100.0,25600,28020,2420,0.09453125,8,-8,0.0,0.0,-40.0,0.0,0.0,-15.0,0.0,0.0,25.0,0.0,2.48
2,1506,230,1413,1451,0,1,0.0,-30.0,158.0,27.0,100.0,25600,27180,1580,0.06171875,13,-13,0.0,0.0,-40.0,0.0,0.0,-15.0,0.0,0.0,25.0,0.0,0.0
2,1506,359,1480,1451,0,1,0.0,-30.0,158.0,28.0,100.0,25600,27160,1560,0.0609375,13,13,0.0,0.0,-40.0,0.0,0.0,-15.0,0.0,0.0,25.0,0.0,0.0
3,1501,300,1449,1449,1,1,100.0,169.99,170.0,1.0,0.0,34120,34120,0,0.0,0,0,1.0,40.0,0.0,20.0,40.0,0.0,25.0,11.99,25.0,0.0,8.0
3,1501,296,1450,1449,0,1,63.0,107.14,170.0,2.0,37.0,34120,24820,9300,0.27256740914419697,0,0,1.0,40.0,0.0,20.0,0.0,-15.0,25.0,4.14,25.0,0.0,8.0
3,1501,265,1432,1449,0,1,51.3,81.0,158.0,3.0,48.7,34120,29080,5040,0.1477139507620164,6,-6,0.0,40.0,0.0,20.0,0.0,-15.0,3.0,0.0,25.0,0.0,8.0
3,1501,312,1463,1449,0,1,51.3,81.0,158.0,4.0,48.7,34120,44640,10520,0.3083235638921454,6,6,0.0,40.0,0.0,20.0,0.0,-15.0,3.0,0.0,25.0,0.0,8.0
3,1501,230,1413,1449,0,1,49.4,78.0,158.0,5.0,50.6,34120,27180,6940,0.2033997655334115,12,-12,0.0,40.0,0.0,20.0,0.0,-15.0,0.0,0.0,25.0,0.0,8.0
3,1501,228,1411,1449,0,1,49.4,78.0,158.0,6.0,50.6,34120,27840,6280,0.18405627198124266,12,-12,0.0,40.0,0.0,20.0,0.0,-15.0,0.0,0.0,25.0,0.0,8.0
3,1501,346,1474,1449,0,1,49.4,78.0,158.0,7.0,50.6,34120,27420,6700,0.19636576787807739,12,12,0.0,40.0,0.0,20.0,0.0,-15.0,0.0,0.0,25.0,0.0,8.0
3,1501,295,1445,1449,0,1,25.3,40.0,158.0,8.0,74.7,34120,34040,80,0.0023446658851113715,1,-1,0.0,0.0,-40.0,0.0,40.0,0.0,15.0,0.0,25.0,0.0,0.0
3,1501,336,1466,1449,0,1,21.0,33.22,158.0,9.0,79.0,34120,31900,2220,0.06506447831184056,7,7,0.0,40.0,0.0,20.0,0.0,-15.0,3.0,0.0,0.0,-15.0,0.22
3,1501,218,1398,1449,0,1,19.1,30.22,158.0,10.0,80.9,34120,42100,7980,0.23388042203985931,14,-14,0.0,40.0,0.0,20.0,0.0,-15.0,0.0,0.0,0.0,-15.0,0.22
3,1501,271,1439,1449,0,1,3.3,5.17,158.0,11.0,96.7,34120,34680,560,0.016412661195779603,5,-5,0.0,0.0,-40.0,0.0,17.17,0.0,3.0,0.0,25.0,0.0,0.0
3,1501,345,1473,1449,0,1,0.0,-30.0,158.0,12.0,100.0,34120,36740,2620,0.07678780773739742,12,12,0.0,0.0,-40.0,0.0,0.0,-15.0,0.0,0.0,25.0,0.0,0.0
3,1501,341,1468,1449,0,1,0.0,-30.0,158.0,13.0,100.0,34120,15240,18880,0.5533411488862837,8,8,0.0,0.0,-40.0,0.0,0.0,-15.0,0.0,0.0,25.0,0.0,0.0
3,1501,335,1467,1449,0,1,0.0,-27.0,158.0,14.0,100.0,34120,53840,19720,0.5779601406799532,7,7,0.0,0.0,-40.0,0.0,0.0,-15.0,3.0,0.0,25.0,0.0,0.0
3,1501,311,1457,1449,0,1,0.0,-27.0,158.0,15.0,100.0,34120,31460,2660,0.0779601406799531,5,5,0.0,0.0,-40.0,0.0,0.0,-15.0,3.0,0.0,25.0,0.0,0.0
3,1501,309,1459,1449,0,1,0.0,-32.46,158.0,16.0,100.0,34120,33560,560,0.016412661195779603,5,5,0.0,0.0,-40.0,0.0,17.17,0.0,3.0,0.0,0.0,-15.0,2.37
3,1501,308,1455,1449,0,1,0.0,-22.5,158.0,17.0,100.0,34120,33020,1100,0.03223915592028136,3,3,0.0,0.0,-40.0,0.0,0.0,-15.0,7.5,0.0,25.0,0.0,0.0
3,1501,301,1451,1449,0,1,0.0,-15.0,158.0,18.0,100.0,34120,25600,8520,0.24970691676436108,1,1,0.0,0.0,-40.0,0.0,0.0,-15.0,15.0,0.0,25.0,0.0,0.0
3,1501,292,1442,1449,0,1,0.0,-22.5,158.0,19.0,100.0,34120,20060,14060,0.41207502930832357,2,-2,0.0,0.0,-40.0,0.0,0.0,-15.0,7.5,0.0,25.0,0.0,0.0
3,1501,219,1399,1449,0,1,0.0,-30.0,158.0,20.0,100.0,34120,29180,4940,0.1447831184056272,14,-14,0.0,0.0,-40.0,0.0,0.0,-15.0,0.0,0.0,25.0,0.0,0.0
3,1501,270,1444,1449,0,1,0.0,-22.84,158.0,21.0,100.0,34120,18080,16040,0.47010550996483,5,-5,0.0,0.0,-40.0,0.0,0.0,-15.0,3.0,0.0,25.0,0.0,4.16
3,1501,269,1437,1449,0,1,0.0,-0.69,158.0,22.0,100.0,34120,34780,660,0.019343493552168817,5,-5,0.0,0.0,-40.0,0.0,11.31,0.0,3.0,0.0,25.0,0.0,0.0
3,1501,267,1435,1449,0,1,0.0,-25.08,158.0,23.0,100.0,34120,30860,3260,0.0955451348182884,5,-5,0.0,0.0,-40.0,0.0,0.0,-15.0,3.0,0.0,25.0,0.0,1.92
3,1501,264,1431,1449,0,1,0.0,-26.97,158.0,24.0,100.0,34120,8620,25500,0.7473622508792497,6,-6,0.0,0.0,-40.0,0.0,0.0,-15.0,3.0,0.0,25.0,0.0,0.03
3,1501,263,1430,1449,0,1,0.0,-27.0,158.0,25.0,100.0,34120,32200,1920,0.05627198124267292,6,-6,0.0,0.0,-40.0,0.0,0.0,-15.0,3.0,0.0,25.0,0.0,0.0
3,1501,259,1427,1449,0,1,0.0,-27.0,158.0,26.0,100.0,34120,46900,12780,0.3745603751465416,7,-7,0.0,0.0,-40.0,0.0,0.0,-15.0,3.0,0.0,25.0,0.0,0.0
3,1501,258,1424,1449,0,1,0.0,-27.0,158.0,27.0,100.0,34120,28020,6100,0.17878077373974208,7,-7,0.0,0.0,-40.0,0.0,0.0,-15.0,3.0,0.0,25.0,0.0,0.0
3,1501,229,1412,1449,0,1,0.0,-30.0,158.0,28.0,100.0,34120,44380,10260,0.3007033997655334,12,-12,0.0,0.0,-40.0,0.0,0.0,-15.0,0.0,0.0,25.0,0.0,0.0
3,1501,227,1410,1449,0,1,0.0,-30.0,158.0,29.0,100.0,34120,32820,1300,0.038100820633059786,12,-12,0.0,0.0,-40.0,0.0,0.0,-15.0,0.0,0.0,25.0,0.0,0.0
3,1501,347,1475,1449,0,1,0.0,-30.0,158.0,30.0,100.0,34120,36360,2240,0.06565064478311841,13,13,0.0,0.0,-40.0,0.0,0.0,-15.0,0.0,0.0,25.0,0.0,0.0
4,1502,296,1450,1450,1,1,100.0,169.99,170.0,1.0,0.0,24820,24820,0,0.0,0,0,1.0,40.0,0.0,20.0,40.0,0.0,25.0,11.99,25.0,0.0,8.0
4,1502,300,1449,1450,0,1,63.0,107.16,170.0,2.0,37.0,24820,34120,9300,0.37469782433521354,0,0,1.0,40.0,0.0,20.0,0.0,-15.0,25.0,4.16,25.0,0.0,8.0
4,1502,312,1463,1450,0,1,51.3,81.0,158.0,3.0,48.7,24820,44640,19820,0.798549556809025,6,6,0.0,40.0,0.0,20.0,0.0,-15.0,3.0,0.0,25.0,0.0,8.0
4,1502,265,1432,1450,0,1,51.3,81.0,158.0,4.0,48.7,24820,29080,4260,0.1716357775987107,6,-6,0.0,40.0,0.0,20.0,0.0,-15.0,3.0,0.0,25.0,0.0,8.0
4,1502,346,1474,1450,0,1,49.4,78.0,158.0,5.0,50.6,24820,27420,2600,0.10475423045930701,12,12,0.0,40.0,0.0,20.0,0.0,-15.0,0.0,0.0,25.0,0.0,8.0
4,1502,228,1411,1450,0,1,49.4,78.0,158.0,6.0,50.6,24820,27840,3020,0.12167606768734891,12,-12,0.0,40.0,0.0,20.0,0.0,-15.0,0.0,0.0,25.0,0.0,8.0
4,1502,230,1413,1450,0,1,49.4,78.0,158.0,7.0,50.6,24820,27180,2360,0.09508460918614021,12,-12,0.0,40.0,0.0,20.0,0.0,-15.0,0.0,0.0,25.0,0.0,8.0
4,1502,336,1466,1450,0,1,21.0,33.22,158.0,8.0,79.0,24820,31900,7080,0.2852538275584206,7,7,0.0,40.0,0.0,20.0,0.0,-15.0,3.0,0.0,0.0,-15.0,0.22
4,1502,218,1398,1450,0,1,19.1,30.22,158.0,9.0,80.9,24820,42100,17280,0.6962127316680097,14,-14,0.0,40.0,0.0,20.0,0.0,-15.0,0.0,0.0,0.0,-15.0,0.22
4,1502,295,1445,1450,0,1,0.0,-15.0,158.0,10.0,100.0,24820,34040,9220,0.3714746172441579,1,-1,0.0,0.0,-40.0,0.0,0.0,-15.0,15.0,0.0,25.0,0.0,0.0
4,1502,345,1473,1450,0,1,0.0,-30.0,158.0,11.0,100.0,24820,36740,11920,0.4802578565672844,12,12,0.0,0.0,-40.0,0.0,0.0,-15.0,0.0,0.0,25.0,0.0,0.0
4,1502,341,1468,1450,0,1,0.0,-30.0,158.0,12.0,100.0,24820,15240,9580,0.3859790491539081,8,8,0.0,0.0,-40.0,0.0,0.0,-15.0,0.0,0.0,25.0,0.0,0.0
4,1502,335,1467,1450,0,1,0.0,-27.0,158.0,13.0,100.0,24820,53840,29020,1.169218372280419,7,7,0.0,0.0,-40.0,0.0,0.0,-15.0,3.0,0.0,25.0,0.0,0.0
4,1502,311,1457,1450,0,1,0.0,-27.0,158.0,14.0,100.0,24820,31460,6640,0.26752618855761484,5,5,0.0,0.0,-40.0,0.0,0.0,-15.0,3.0,0.0,25.0,0.0,0.0
4,1502,308,1455,1450,0,1,0.0,-22.5,158.0,15.0,100.0,24820,33020,8200,0.330378726833199,3,3,0.0,0.0,-40.0,0.0,0.0,-15.0,7.5,0.0,25.0,0.0,0.0
4,1502,301,1451,1450,0,1,0.0,-15.0,158.0,16.0,100.0,24820,25600,780,0.031426269137792104,1,1,0.0,0.0,-40.0,0.0,0.0,-15.0,15.0,0.0,25.0,0.0,0.0
4,1502,271,1439,1450,0,1,0.0,-27.0,158.0,17.0,100.0,24820,34680,9860,0.3972602739726027,5,-5,0.0,0.0,-40.0,0.0,0.0,-15.0,3.0,0.0,25.0,0.0,0.0
4,1502,292,1442,1450,0,1,0.0,-22.5,158.0,18.0,100.0,24820,20060,4760,0.1917808219178082,2,-2,0.0,0.0,-40.0,0.0,0.0,-15.0,7.5,0.0,25.0,0.0,0.0
4,1502,219,1399,1450,0,1,0.0,-30.0,158.0,19.0,100.0,24820,29180,4360,0.17566478646253023,14,-14,0.0,0.0,-40.0,0.0,0.0,-15.0,0.0,0.0,25.0,0.0,0.0
4,1502,270,1444,1450,0,1,0.0,-22.84,158.0,20.0,100.0,24820,18080,6740,0.2715551974214343,5,-5,0.0,0.0,-40.0,0.0,0.0,-15.0,3.0,0.0,25.0,0.0,4.16
4,1502,269,1437,1450,0,1,0.0,-27.0,158.0,21.0,100.0,24820,34780,9960,0.40128928283642223,5,-5,0.0,0.0,-40.0,0.0,0.0,-15.0,3.0,0.0,25.0,0.0,0.0
4,1502,267,1435,1450,0,1,0.0,-25.08,158.0,22.0,100.0,24820,30860,6040,0.24335213537469783,5,-5,0.0,0.0,-40.0,0.0,0.0,-15.0,3.0,0.0,25.0,0.0,1.92
4,1502,264,1431,1450,0,1,0.0,-26.97,158.0,23.0,100.0,24820,8620,16200,0.6526994359387591,6,-6,0.0,0.0,-40.0,0.0,0.0,-15.0,3.0,0.0,25.0,0.0,0.03
4,1502,263,1430,1450,0,1,0.0,-27.0,158.0,24.0,100.0,24820,32200,7380,0.29734085414987915,6,-6,0.0,0.0,-40.0,0.0,0.0,-15.0,3.0,0.0,25.0,0.0,0.0
4,1502,259,1427,1450,0,1,0.0,-27.0,158.0,25.0,100.0,24820,46900,22080,0.8896051571313457,7,-7,0.0,0.0,-40.0,0.0,0.0,-15.0,3.0,0.0,25.0,0.0,0.0
4,1502,258,1424,1450,0,1,0.0,-27.0,158.0,26.0,100.0,24820,28020,3200,0.128928283642224,7,-7,0.0,0.0,-40.0,0.0,0.0,-15.0,3.0,0.0,25.0,0.0,0.0
4,1502,229,1412,1450,0,1,0.0,-30.0,158.0,27.0,100.0,24820,44380,19560,0.7880741337630943,12,-12,0.0,0.0,-40.0,0.0,0.0,-15.0,0.0,0.0,25.0,0.0,0.0
4,1502,227,1410,1450,0,1,0.0,-30.0,158.0,28.0,100.0,24820,32820,8000,0.32232070910556004,12,-12,0.0,0.0,-40.0,0.0,0.0,-15.0,0.0,0.0,25.0,0.0,0.0
4,1502,347,1475,1450,0,1,0.0,-30.0,158.0,29.0,100.0,24820,36360,11540,0.4649476228847704,13,13,0.0,0.0,-40.0,0.0,0.0,-15.0,0.0,0.0,25.0,0.0,0.0
5,1494,293,1443,1443,1,1,100.0,169.99,170.0,1.0,0.0,14240,14240,0,0.0,0,0,1.0,40.0,0.0,20.0,40.0,0.0,25.0,11.99,25.0,0.0,8.0
5,1494,302,1452,1443,0,1,54.1,85.5,158.0,2.0,45.9,14240,11960,2280,0.1601123595505618,3,3,0.0,40.0,0.0,20.0,0.0,-15.0,7.5,0.0,25.0,0.0,8.0
5,1494,266,1434,1443,0,1,53.1,83.87,158.0,3.0,46.9,14240,44420,30180,2.11938202247191,3,-3,0.0,40.0,0.0,20.0,0.0,-15.0,7.5,0.0,25.0,0.0,6.37
5,1494,273,1438,1443,0,1,53.1,83.87,158.0,4.0,46.9,14240,47660,33420,2.3469101123595504,2,-2,0.0,40.0,0.0,20.0,0.0,-15.0,7.5,0.0,25.0,0.0,6.37
5,1494,231,1418,1443,0,1,51.3,81.0,158.0,5.0,48.7,14240,19820,5580,0.39185393258426965,7,-7,0.0,40.0,0.0,20.0,0.0,-15.0,3.0,0.0,25.0,0.0,8.0
5,1494,309,1459,1443,0,1,51.3,81.0,158.0,6.0,48.7,14240,33560,19320,1.3567415730337078,7,7,0.0,40.0,0.0,20.0,0.0,-15.0,3.0,0.0,25.0,0.0,8.0
5,1494,254,1419,1443,0,1,51.3,81.0,158.0,7.0,48.7,14240,15180,940,0.06601123595505617,6,-6,0.0,40.0,0.0,20.0,0.0,-15.0,3.0,0.0,25.0,0.0,8.0
5,1494,255,1421,1443,0,1,51.3,81.0,158.0,8.0,48.7,14240,28440,14200,0.9971910112359551,6,-6,0.0,40.0,0.0,20.0,0.0,-15.0,3.0,0.0,25.0,0.0,8.0
5,1494,222,1406,1443,0,1,49.4,78.0,158.0,9.0,50.6,14240,15220,980,0.06882022471910113,11,-11,0.0,40.0,0.0,20.0,0.0,-15.0,0.0,0.0,25.0,0.0,8.0
5,1494,223,1407,1443,0,1,49.4,78.0,158.0,10.0,50.6,14240,56480,42240,2.966292134831461,11,-11,0.0,40.0,0.0,20.0,0.0,-15.0,0.0,0.0,25.0,0.0,8.0
5,1494,224,1408,1443,0,1,49.4,78.0,158.0,11.0,50.6,14240,12280,1960,0.13764044943820225,11,-11,0.0,40.0,0.0,20.0,0.0,-15.0,0.0,0.0,25.0,0.0,8.0
5,1494,221,1404,1443,0,1,20.3,32.03,158.0,12.0,79.7,14240,46440,32200,2.2612359550561796,11,-11,0.0,40.0,0.0,20.0,0.0,-15.0,0.0,0.0,0.0,-15.0,2.03
5,1494,272,1440,1443,0,1,0.0,-15.04,158.0,13.0,100.0,14240,38700,24460,1.7176966292134832,3,-3,0.0,0.0,-40.0,0.0,0.0,-15.0,7.5,0.0,25.0,0.0,7.46
5,1494,303,1460,1443,0,1,0.0,-22.5,158.0,14.0,100.0,14240,618,13622,0.9566011235955056,3,3,0.0,0.0,-40.0,0.0,0.0,-15.0,7.5,0.0,25.0,0.0,0.0
5,1494,304,1460,1443,0,1,0.0,-22.5,158.0,15.0,100.0,14240,1132,13108,0.9205056179775281,3,3,0.0,0.0,-40.0,0.0,0.0,-15.0,7.5,0.0,25.0,0.0,0.0
5,1494,305,1460,1443,0,1,0.0,-18.84,158.0,16.0,100.0,14240,1140,13100,0.9199438202247191,3,3,0.0,0.0,-40.0,0.0,0.0,-15.0,7.5,0.0,25.0,0.0,3.66
5,1494,306,1460,1443,0,1,0.0,-22.5,158.0,17.0,100.0,14240,668,13572,0.9530898876404494,3,3,0.0,0.0,-40.0,0.0,0.0,-15.0,7.5,0.0,25.0,0.0,0.0
