code,name,commodity,metal,qty_lbs,jan_price,price_source,factor,adjusted,eoy_price,jan_value,eoy_value
6022ALUM,6022 ALUMINUM,ALUMINUM,ALUMINUM,625.0,1.4,YTD sale,0.9496,True,1.3295,875.0,830.94
AL07075,7075 ALUMINUM,ALUMINUM,ALUMINUM,1346.0,0.58,avg cost,0.9496,True,0.5508,780.68,741.38
ALMOTOR,ALUMINUM MOTOR BLOCKS WHOLE,ALUMINUM,ALUMINUM,5977.0,0.13,YTD purchase,0.9496,True,0.1235,777.01,738.16
201,201 STAINLESS CLIP,STAINLESS STEEL TIER 2,STAINLESS STEEL,2327.0,0.3089,YTD sale,1.0,False,0.3089,718.8,718.81
COPARM,COPPER ARMATURES,COPPER TIER 3,COPPER,1029.0,0.7,YTD sale,0.9573,True,0.6701,720.3,689.53
MIXSS,MIXED STAINLESS STEEL,STAINLESS STEEL TIER 2,STAINLESS STEEL,1935.0,0.3544,YTD sale,1.0,False,0.3544,685.71,685.76
TRWLS,6061 TRUCK WHEELS,ALUMINUM,ALUMINUM,599.0,1.2,YTD sale,0.9496,True,1.1396,718.8,682.62
STLCOL,STEEL COIL,STEEL,STEEL,11489.0,0.06,avg cost,0.9901,True,0.0594,689.34,682.45
BRAUTOR,BRASS AUTO RADIATORS - CLEAN,BRASS TIER 2,BRASS,436.0,1.59,YTD purchase,0.9573,True,1.5221,693.24,663.64
AL5052SHPOLY,5052 ALUMINUM SHEET W/POLY,ALUMINUM,ALUMINUM,595.0,1.0818,YTD sale,0.9496,True,1.0273,643.66,611.24
CUIN220,#2 ICW 20% - CHRISTMAS LIGHTS,COPPER TIER 2,COPPER,894.0,0.7,YTD sale,0.9573,True,0.6701,625.8,599.07
ALBXCBL,AL BX CABLE,COPPER TIER 2,COPPER,463.0,1.25,YTD purchase,0.9573,True,1.1967,578.75,554.07
DRKBS,Door Knobs,BRASS TIER 2,BRASS,705.0,0.8,YTD sale,0.9573,True,0.7659,564.0,539.96
TARBSWR,TAR BASED WIRE,COPPER TIER 2,COPPER,334.0,1.57,avg cost,0.9573,True,1.503,524.38,502.0
ZNDICST,ZINC DIE CAST,ZINC,ZINC,984.0,0.51,avg cost,1.0,False,0.51,501.84,501.84
CUIN185,#1 ICW 85%,COPPER TIER 2,COPPER,156.0,3.35,avg cost,0.9573,True,3.207,522.6,500.29
BARRELS,BARRELS,OTHER,OTHER,10000.0,0.05,avg cost,1.0,False,0.05,500.0,500.0
CUMOTORDC,DC MOTORS,COPPER TIER 3,COPPER,807.0,0.6,YTD sale,0.9573,True,0.5744,484.2,463.54
ALUMLC,ALUMINUM MLC,ALUMINUM,ALUMINUM,417.0,1.1437,YTD sale,0.9496,True,1.0862,476.94,452.95
AL0RDFE,ALUMINUM RADIATORS - FE,ALUMINUM,ALUMINUM,2841.0,0.15,YTD purchase,0.9496,True,0.1424,426.15,404.56
BrCuSds,Beryllium Copper Solids,COPPER TIER 1,COPPER,81.0,5.2,YTD sale,0.9573,True,4.9781,421.2,403.23
REBAR,REBAR,STEEL,STEEL,9662.0,0.04,avg cost,0.9901,True,0.0396,386.48,382.62
174SOLIDS,17-4 SOLIDS,STAINLESS STEEL TIER 1,STAINLESS STEEL,1888.0,0.19,Jan sale,1.0,False,0.19,358.72,358.72
BR0PHOS,PHOS BRONZE SOLIDS,BRASS TIER 2,BRASS,168.0,2.115,avg cost,0.9573,True,2.0247,355.32,340.15
NI300BO,304 STAINLESS STEEL TURNINGS,STAINLESS STEEL TIER 1,STAINLESS STEEL,2099.0,0.15,Jan sale,1.0,False,0.15,314.85,314.85
CATR,Cast Aluminum - Transmissions,ALUMINUM,ALUMINUM,1080.0,0.3,YTD purchase,0.9496,True,0.2849,324.0,307.69
304SSOS,304 STAINLESS OVERSIZED,STAINLESS STEEL TIER 1,STAINLESS STEEL,1358.0,0.2,YTD purchase,1.0,False,0.2,271.6,271.6
CB2,CARDBOARD,ZWASTE,ZWASTE,10538.0,0.0246,Jan sale,1.0,False,0.0246,258.75,259.23
NIINCON,INCONEL,STAINLESS STEEL TIER 2,STAINLESS STEEL,151.0,1.7,avg cost,1.0,False,1.7,256.7,256.7
BRHVBRK,BRASS BREAKAGE,BRASS TIER 2,BRASS,146.0,1.78,Jan sale,0.9573,True,1.704,259.88,248.78
MIXBR,MIXED BRASS,BRASS TIER 2,BRASS,172.0,1.45,YTD sale,0.9573,True,1.3881,249.4,238.75
BRAUTOF,BRASS AUTO RADIATORS - FE,BRASS TIER 2,BRASS,259.0,0.955,avg cost,0.9573,True,0.9142,247.35,236.78
6063PIAL,6063 PIPE,ALUMINUM,ALUMINUM,249.0,1.0,avg cost,0.9496,True,0.9496,249.0,236.45
360 brass turnings,360 BRASS TURNINGS,BRASS TIER 2,BRASS,81.0,3.04,YTD sale,0.9573,True,2.9102,246.24,235.73
DRTYBRSTRN,DIRTY BRASS TURNINGS,BRASS TIER 2,BRASS,161.0,1.5,avg cost,0.9573,True,1.436,241.5,231.2
BOTTAL,FURNACE BOTTOMS - ALUMINUM,ALUMINUM,ALUMINUM,1520.0,0.1364,YTD purchase,0.9496,True,0.1295,207.28,196.84
DRTYBRS,DIRTY BRASS,BRASS TIER 1,BRASS,401.0,0.4822,YTD purchase,0.9573,True,0.4616,193.37,185.1
BRCU,BRASS/COPPER MIX,COPPER TIER 1,COPPER,462.0,0.4113,YTD sale,0.9573,True,0.3937,190.01,181.89
STBXW,STEEL BX WIRE (fe),STEEL,STEEL,657.0,0.27,avg cost,0.9901,True,0.2673,177.39,175.62
NI15-5,15-5 STAINLESS STEEL TURNINGS,STAINLESS STEEL TIER 2,STAINLESS STEEL,8603.0,0.02,avg cost,1.0,False,0.02,172.06,172.06
BRINDBT,YELLOW BRASS TURNINGS,BRASS TIER 1,BRASS,97.0,1.8226,YTD purchase,0.9573,True,1.7448,176.79,169.25
ALUARM,ALUM ARMATURE,ALUMINUM,ALUMINUM,2009.0,0.08,Jan sale,0.9496,True,0.076,160.72,152.68
AL0ACSR,ACSR WIRE,ALUMINUM,ALUMINUM,630.0,0.25,YTD purchase,0.9496,True,0.2374,157.5,149.56
BRNZTRN,BRONZE TURNINGS,BRASS TIER 2,BRASS,101.0,1.5,YTD purchase,0.9573,True,1.436,151.5,145.04
MGNSMTRNS,MAGNESIUM TURNINGS,OTHER,OTHER,13870.0,0.01,YTD purchase,1.0,False,0.01,138.7,138.7
TTSS,TITANIUM TURNINGS,STAINLESS STEEL TIER 2,STAINLESS STEEL,658.0,0.2,avg cost,1.0,False,0.2,131.6,131.6
BR360BO,RED BRASS TURNINGS,BRASS TIER 1,BRASS,40.0,2.8,avg cost,0.9573,True,2.6805,112.0,107.22
ZI00001,ZINC SOLIDS,ZINC,ZINC,409.0,0.25,YTD purchase,1.0,False,0.25,102.25,102.25
OVSZMAC,OVERSIZED MACHINERY,STEEL,STEEL,3240.0,0.0292,YTD purchase,0.9901,True,0.0289,94.5,93.64
FENST,FENCING,STEEL,STEEL,5140.0,0.0179,YTD purchase,0.9901,True,0.0177,91.79,90.98
1010ALEXT,1010 BARE EXTRUSION,ALUMINUM,ALUMINUM,144.0,0.65,YTD purchase,0.9496,True,0.6173,93.6,88.89
BRFAUC,LOW GRADE FAUCET BRASS,BRASS TIER 1,BRASS,164.0,0.5563,YTD purchase,0.9573,True,0.5325,91.23,87.33
CUFUS,COPPER FUSES,COPPER TIER 3,COPPER,44.0,1.925,avg cost,0.9573,True,1.8428,84.7,81.08
LEWHEEL,WHEEL WEIGHTS,LEAD,LEAD,3758.0,0.02,YTD purchase,1.0,False,0.02,75.16,75.16
410SSTRN,410 SS TURNINGS,STAINLESS STEEL TIER 2,STAINLESS STEEL,466.0,0.16,YTD sale,1.0,False,0.16,74.56,74.56
PTD5052,PTD 5052 ALUMINUM,ALUMINUM,ALUMINUM,46.0,1.65,YTD sale,0.9496,True,1.5669,75.9,72.08
AL02024,2000 SERIES ALUMINUM,ALUMINUM,ALUMINUM,329.0,0.2,avg cost,0.9496,True,0.1899,65.8,62.48
LESTRIP,CLEAN LEAD,LEAD,LEAD,231.0,0.25,YTD purchase,1.0,False,0.25,57.75,57.75
INCU T,COPPER TURNINGS,COPPER TIER 1,COPPER,19.0,3.1,YTD purchase,0.9573,True,2.9677,58.9,56.39
LDPPE,LEAD PIPE,LEAD,LEAD,594.0,0.09,avg cost,1.0,False,0.09,53.46,53.46
LERANGE,RANGE LEAD,LEAD,LEAD,113.0,0.47,avg cost,1.0,False,0.47,53.11,53.11
Pwtr,Pewter,BRASS TIER 2,BRASS,17.0,3.18,avg cost,0.9573,True,3.0443,54.06,51.75
STWR,STEEL WIRE,STEEL,STEEL,440.0,0.1009,Jan sale,0.9901,True,0.0999,44.39,43.96
NI00001,NICKEL,STAINLESS STEEL TIER 2,STAINLESS STEEL,41.0,1.0,avg cost,1.0,False,1.0,41.0,41.0
FE0AUTO,AUTO BODY - INCOMPLETE,STEEL,STEEL,440.0,0.09,avg cost,0.9901,True,0.0891,39.6,39.2
ALNCST,ALUMINUM NEW CAST,ALUMINUM,ALUMINUM,87.0,0.3,YTD purchase,0.9496,True,0.2849,26.1,24.79
CUALTRAN,COPPER/ALUMINUM TRANSFORMERS,COPPER TIER 3,COPPER,417.0,0.06,YTD purchase,0.9573,True,0.0574,25.02,23.94
BRSHEL,YELLOW BRASS SHELLS,BRASS TIER 1,BRASS,15.0,1.53,avg cost,0.9573,True,1.4647,22.95,21.97
ZNTURN,ZINC TURNINGS,ZINC,ZINC,146.0,0.15,avg cost,1.0,False,0.15,21.9,21.9
30ALP,3003 ALUMINUM WITH POLY,ALUMINUM,ALUMINUM,14.0,1.574,YTD sale,0.9496,True,1.4947,22.04,20.93
430SSP,430 STAINLESS STEEL PIPE,STAINLESS STEEL TIER 2,STAINLESS STEEL,83.0,0.25,avg cost,1.0,False,0.25,20.75,20.75
4140SOLS,4140 SOLIDS,STEEL,STEEL,251.0,0.0804,YTD purchase,0.9901,True,0.0796,20.17,19.98
SvPtCu,Silver Plated Copper,COPPER TIER 1,COPPER,10.0,2.0,avg cost,0.9573,True,1.9146,20.0,19.15
BRHEATR,HEATER CORES,BRASS TIER 2,BRASS,219.0,0.08,avg cost,0.9573,True,0.0766,17.52,16.78
DALRS,Dirty Aluminum Rims,ALUMINUM,ALUMINUM,9.0,1.2661,YTD sale,0.9496,True,1.2024,11.4,10.82
INCTR,INCONEL TURNINGS,STAINLESS STEEL TIER 2,STAINLESS STEEL,13.0,0.75,YTD purchase,1.0,False,0.75,9.75,9.75
PTD3003,3003 AL PAINTED,ALUMINUM,ALUMINUM,45.0,0.2,avg cost,0.9496,True,0.1899,9.0,8.55
PRELMTR,PREMIUM ELECTRIC MOTORS ,COPPER TIER 3,COPPER,143.0,0.06,avg cost,0.9573,True,0.0574,8.58,8.21
