date,NG=F,GLD,USO
2015-03-06,2.8389999866485596,111.86000061035156,145.9199981689453
2015-03-09,2.677999973297119,111.97000122070312,146.8000030517578
2015-03-10,2.7320001125335693,111.41999816894531,143.27999877929688
2015-03-11,2.8239998817443848,110.75,142.16000366210938
2015-03-12,2.7339999675750732,110.72000122070312,139.52000427246094
2015-03-13,2.7269999980926514,110.87999725341797,134.39999389648438
2015-03-16,2.7160000801086426,110.80999755859375,130.8000030517578
2015-03-17,2.8550000190734863,110.20999908447266,127.68000030517578
2015-03-18,2.9200000762939453,112.37000274658203,134.0800018310547
2015-03-19,2.812999963760376,112.29000091552734,128.63999938964844
2015-03-20,2.7860000133514404,113.56999969482422,131.44000244140625
2015-03-23,2.7330000400543213,114.29000091552734,134.24000549316406
2015-03-24,2.7860000133514404,114.56999969482422,134.32000732421875
2015-03-25,2.7230000495910645,114.7300033569336,138.8800048828125
2015-03-26,2.671999931335449,115.4800033569336,145.67999267578125
2015-03-27,2.5899999141693115,115.05999755859375,137.1199951171875
2015-03-30,2.6440000534057617,113.75,137.83999633789062
2015-03-31,2.640000104904175,113.66000366210938,134.72000122070312
2015-04-01,2.6050000190734863,115.5999984741211,140.63999938964844
2015-04-02,2.7130000591278076,115.27999877929688,140.47999572753906
2015-04-06,2.6500000953674316,116.69000244140625,147.44000244140625
2015-04-07,2.680000066757202,116.11000061035156,152.47999572753906
2015-04-08,2.61899995803833,115.47000122070312,144.55999755859375
2015-04-09,2.5280001163482666,114.66999816894531,144.24000549316406
2015-04-10,2.510999917984009,115.97000122070312,147.27999877929688
2015-04-13,2.510999917984009,115.13999938964844,148.0
2015-04-14,2.5299999713897705,114.44000244140625,150.55999755859375
2015-04-15,2.609999895095825,115.43000030517578,157.67999267578125
2015-04-16,2.684000015258789,115.02999877929688,159.52000427246094
2015-04-17,2.634000062942505,115.5999984741211,158.72000122070312
2015-04-20,2.5360000133514404,114.72000122070312,159.1199951171875
2015-04-21,2.575000047683716,115.37999725341797,155.60000610351562
2015-04-22,2.6059999465942383,113.83000183105469,154.8800048828125
2015-04-23,2.5309998989105225,114.66000366210938,158.0800018310547
2015-04-24,2.5309998989105225,113.05000305175781,157.36000061035156
2015-04-27,2.490000009536743,115.33000183105469,156.16000366210938
2015-04-28,2.5169999599456787,116.33000183105469,156.8000030517578
2015-04-29,2.6059999465942383,115.51000213623047,160.9600067138672
2015-04-30,2.750999927520752,113.47000122070312,164.0800018310547
2015-05-01,2.7760000228881836,113.08000183105469,163.1999969482422
2015-05-04,2.821000099182129,114.0999984741211,162.24000549316406
2015-05-05,2.7799999713897705,114.41999816894531,166.0800018310547
2015-05-06,2.7760000228881836,114.36000061035156,166.55999755859375
2015-05-07,2.7339999675750732,113.41999816894531,161.60000610351562
2015-05-08,2.880000114440918,113.97000122070312,163.36000061035156
2015-05-11,2.802000045776367,113.52999877929688,163.0399932861328
2015-05-12,2.8970000743865967,114.5,165.9199981689453
2015-05-13,2.934999942779541,116.55000305175781,164.8800048828125
2015-05-14,3.007999897003174,117.18000030517578,164.24000549316406
2015-05-15,3.0160000324249268,117.52999877929688,164.16000366210938
2015-05-18,3.009999990463257,117.5199966430664,163.52000427246094
2015-05-19,2.947999954223633,115.88999938964844,157.0399932861328
2015-05-20,2.9149999618530273,116.08000183105469,158.72000122070312
2015-05-21,2.9489998817443848,115.69000244140625,164.0
2015-05-22,2.88700008392334,115.5999984741211,162.0
2015-05-26,2.822000026702881,113.91000366210938,157.52000427246094
2015-05-27,2.815000057220459,113.88999938964844,155.83999633789062
2015-05-28,2.7060000896453857,114.0199966430664,156.47999572753906
2015-05-29,2.6419999599456787,114.0999984741211,162.47999572753906
2015-06-01,2.6489999294281006,114.0,162.8800048828125
2015-06-02,2.697999954223633,114.45999908447266,165.44000244140625
2015-06-03,2.634000062942505,113.63999938964844,161.36000061035156
2015-06-04,2.625999927520752,112.83999633789062,157.27999877929688
2015-06-05,2.5899999141693115,112.23999786376953,159.1999969482422
2015-06-08,2.7049999237060547,112.56999969482422,157.67999267578125
2015-06-09,2.8459999561309814,112.81999969482422,161.67999267578125
2015-06-10,2.8910000324249268,113.77999877929688,165.1199951171875
2015-06-11,2.825000047683716,113.26000213623047,163.9199981689453
2015-06-12,2.75,113.2300033569336,162.16000366210938
2015-06-15,2.8889999389648438,113.7300033569336,161.1999969482422
2015-06-16,2.8940000534057617,113.31999969482422,162.0800018310547
2015-06-17,2.8550000190734863,113.8499984741211,161.67999267578125
2015-06-18,2.7769999504089355,115.31999969482422,162.8800048828125
2015-06-19,2.815999984741211,115.12000274658203,160.16000366210938
2015-06-22,2.7330000400543213,113.63999938964844,161.27999877929688
2015-06-23,2.7260000705718994,112.88999938964844,163.75999450683594
2015-06-24,2.759000062942505,112.58999633789062,161.67999267578125
2015-06-25,2.8499999046325684,112.44000244140625,159.83999633789062
2015-06-26,2.7730000019073486,112.55999755859375,159.83999633789062
2015-06-29,2.805000066757202,113.06999969482422,156.0800018310547
2015-06-30,2.8320000171661377,112.37000274658203,159.0399932861328
2015-07-01,2.7829999923706055,111.9800033569336,152.8000030517578
2015-07-02,2.822000026702881,111.76000213623047,151.44000244140625
2015-07-06,2.75600004196167,112.05999755859375,141.83999633789062
2015-07-07,2.7160000801086426,110.76000213623047,142.0800018310547
2015-07-08,2.684999942779541,111.08999633789062,139.0399932861328
2015-07-09,2.7260000705718994,111.36000061035156,141.67999267578125
2015-07-10,2.7699999809265137,111.48999786376953,141.36000061035156
2015-07-13,2.864000082015991,110.98999786376953,140.0800018310547
2015-07-14,2.8399999141693115,110.73999786376953,141.75999450683594
2015-07-15,2.9179999828338623,110.16000366210938,137.83999633789062
2015-07-16,2.8540000915527344,109.76000213623047,136.39999389648438
2015-07-17,2.869999885559082,108.6500015258789,135.9199981689453
2015-07-20,2.822999954223633,105.69999694824219,133.52000427246094
2015-07-21,2.881999969482422,105.37000274658203,135.27999877929688
2015-07-22,2.8970000743865967,104.80000305175781,130.72000122070312
2015-07-23,2.815999984741211,104.33000183105469,129.1199951171875
2015-07-24,2.7760000228881836,105.3499984741211,128.24000549316406
2015-07-27,2.7890000343322754,104.86000061035156,125.19999694824219
2015-07-28,2.821000099182129,105.0199966430664,126.80000305175781
2015-07-29,2.885999917984009,105.16999816894531,129.9199981689453
2015-07-30,2.7679998874664307,104.2699966430664,128.8000030517578
2015-07-31,2.7160000801086426,104.93000030517578,124.72000122070312
2015-08-03,2.747999906539917,104.0999984741211,120.80000305175781
2015-08-04,2.812000036239624,104.30999755859375,121.76000213623047
2015-08-05,2.7980000972747803,103.93000030517578,120.23999786376953
2015-08-06,2.812999963760376,104.38999938964844,118.95999908447266
2015-08-07,2.7980000972747803,104.6500015258789,116.4800033569336
2015-08-10,2.8420000076293945,105.72000122070312,119.12000274658203
2015-08-11,2.8440001010894775,106.26000213623047,115.91999816894531
2015-08-12,2.930999994277954,107.75,115.5199966430664
2015-08-13,2.7869999408721924,106.86000061035156,112.72000122070312
2015-08-14,2.8010001182556152,106.8499984741211,111.91999816894531
2015-08-17,2.7279999256134033,107.12999725341797,111.12000274658203
2015-08-18,2.7039999961853027,107.11000061035156,112.4000015258789
2015-08-19,2.7160000801086426,108.55000305175781,107.44000244140625
2015-08-20,2.755000114440918,110.44000244140625,106.95999908447266
2015-08-21,2.6760001182556152,111.12999725341797,105.83999633789062
2015-08-24,2.6500000953674316,110.52999877929688,99.91999816894531
2015-08-25,2.684999942779541,109.16000366210938,101.83999633789062
2015-08-26,2.693000078201294,107.66999816894531,102.16000366210938
2015-08-27,2.638000011444092,107.7300033569336,111.5999984741211
2015-08-28,2.7149999141693115,108.69999694824219,119.04000091552734
2015-08-31,2.688999891281128,108.81999969482422,127.12000274658203
2015-09-01,2.7019999027252197,109.19999694824219,118.4800033569336
2015-09-02,2.6480000019073486,108.62000274658203,120.72000122070312
2015-09-03,2.7249999046325684,107.83999633789062,122.72000122070312
2015-09-04,2.6549999713897705,107.48999786376953,120.63999938964844
2015-09-08,2.7100000381469727,107.5199966430664,120.16000366210938
2015-09-09,2.6510000228881836,106.12999725341797,116.08000183105469
2015-09-10,2.683000087738037,106.37999725341797,119.44000244140625
2015-09-11,2.693000078201294,106.16000366210938,117.19999694824219
2015-09-14,2.757999897003174,106.22000122070312,115.12000274658203
2015-09-15,2.7279999256134033,105.9000015258789,116.55999755859375
2015-09-16,2.6600000858306885,107.30999755859375,122.87999725341797
2015-09-17,2.6519999504089355,108.41000366210938,121.83999633789062
2015-09-18,2.6050000190734863,109.20999908447266,116.95999908447266
2015-09-21,2.572999954223633,108.52999877929688,120.4000015258789
2015-09-22,2.5769999027252197,107.79000091552734,119.36000061035156
2015-09-23,2.569000005722046,108.22000122070312,115.5199966430664
