date,BHP_AX,RIO_AX,S32_AX,1378_HK,2600_HK,0486_HK
2017-03-29,11.396138191223145,32.863128662109375,1.9444772005081177,3.4529192447662354,3.3945693969726562,3.804218053817749
2017-03-30,11.443681716918945,32.939361572265625,1.9799610376358032,3.4529192447662354,3.421581506729126,3.9726343154907227
2017-03-31,11.429417610168457,32.92302703857422,1.958670735359192,3.4529192447662354,3.421581506729126,3.992448091506958
2017-04-03,11.41040325164795,32.67798614501953,1.9799610376358032,3.4529192447662354,3.5296318531036377,3.9726343154907227
2017-04-04,11.372367858886719,32.61808776855469,2.029637336730957,,,
2017-04-05,11.766976356506348,33.609153747558594,2.1006035804748535,3.4529192447662354,3.637681722640991,4.022168159484863
2017-04-06,11.728939056396484,33.04282760620117,2.093506336212158,3.4529192447662354,3.619673013687134,3.992448091506958
2017-04-07,11.690906524658203,32.67798614501953,2.065120220184326,3.4529192447662354,3.664694309234619,4.022168159484863
2017-04-10,12.232900619506836,33.12995910644531,2.1147968769073486,3.4529192447662354,3.646685838699341,3.9131932258605957
2017-04-11,12.080760955810547,33.777957916259766,2.1147968769073486,3.4529192447662354,3.5746521949768066,3.8933796882629395
2017-04-12,12.037972450256348,33.701725006103516,2.1006035804748535,3.4529192447662354,3.547639846801758,3.9032864570617676
2017-04-13,11.557784080505371,32.209678649902344,2.0083467960357666,3.4529192447662354,3.5026192665100098,3.794311285018921
2017-04-18,11.377119064331055,31.58345603942871,1.9799610376358032,3.4529192447662354,3.637681722640991,3.7645909786224365
2017-04-19,11.372367858886719,32.07353973388672,1.9444772005081177,3.4529192447662354,3.736727237701416,3.7051501274108887
2017-04-20,11.243998527526855,31.94829750061035,1.930283784866333,3.4529192447662354,3.736727237701416,3.724963665008545
2017-04-21,11.429417610168457,32.803226470947266,1.972864031791687,3.4529192447662354,3.646685838699341,3.7844045162200928
2017-04-24,11.381874084472656,32.574520111083984,1.972864031791687,3.4529192447662354,3.565648317337036,3.794311285018921
2017-04-25,,,,3.4529192447662354,3.5746521949768066,3.8933796882629395
2017-04-26,11.44843578338623,32.9448127746582,1.972864031791687,3.4529192447662354,3.565648317337036,4.002354621887207
2017-04-27,11.348597526550293,32.563629150390625,1.994153618812561,3.4529192447662354,3.5026192665100098,3.9726343154907227
2017-04-28,11.277278900146484,32.91213607788086,1.972864031791687,3.4529192447662354,3.448594093322754,3.9528205394744873
2017-05-01,11.353347778320312,32.59085464477539,1.930283784866333,,,
2017-05-02,11.296294212341309,32.650753021240234,1.9515742063522339,3.4529192447662354,3.4305858612060547,3.9627273082733154
2017-05-03,11.034806251525879,32.34036636352539,1.930283784866333,,,
2017-05-04,11.049072265625,31.75770378112793,1.9018977880477905,3.4529192447662354,3.2955234050750732,3.804218053817749
2017-05-05,10.754301071166992,31.1205997467041,1.8593181371688843,3.4529192447662354,3.1874735355377197,3.7744977474212646
2017-05-08,10.920705795288086,31.84483528137207,1.9089945554733276,3.4529192447662354,3.1874735355377197,3.724963665008545
2017-05-09,11.011034965515137,32.01363754272461,1.9373807907104492,3.4529192447662354,3.2685110569000244,3.715056896209717
2017-05-10,11.177437782287598,32.67253875732422,1.8877043724060059,3.4529192447662354,3.124444007873535,3.6853365898132324
2017-05-11,11.220227241516113,32.4438362121582,1.8806073665618896,3.4529192447662354,3.20548152923584,3.715056896209717
2017-05-12,11.29154109954834,32.563629150390625,1.8735111951828003,3.4529192447662354,3.2144861221313477,3.7744977474212646
2017-05-15,11.324823379516602,32.36759567260742,1.9018977880477905,3.4529192447662354,3.2234902381896973,3.7844045162200928
2017-05-16,11.419910430908203,32.82501220703125,1.930283784866333,3.4529192447662354,3.1874735355377197,3.8240315914154053
2017-05-17,11.443681716918945,33.55469512939453,1.8948012590408325,3.4529192447662354,3.1964774131774902,3.814124822616577
2017-05-18,11.386630058288574,33.65816116333008,1.8593181371688843,3.4529192447662354,3.1424527168273926,3.804218053817749
2017-05-19,11.543521881103516,34.442298889160156,1.8593181371688843,3.4529192447662354,3.20548152923584,3.734870433807373
2017-05-22,11.709922790527344,35.50415802001953,1.9089945554733276,3.4529192447662354,3.2595064640045166,3.724963665008545
2017-05-23,11.572046279907227,35.2536735534668,1.9089945554733276,3.4529192447662354,3.2144861221313477,3.724963665008545
2017-05-24,11.505489349365234,34.78535842895508,1.8735111951828003,3.4529192447662354,3.20548152923584,3.7844045162200928
2017-05-25,11.648118019104004,35.286346435546875,1.9373807907104492,3.4529192447662354,3.250502347946167,3.7744977474212646
2017-05-26,11.415155410766602,34.65467071533203,1.9160906076431274,3.4529192447662354,3.3135316371917725,3.794311285018921
2017-05-29,11.334329605102539,34.126461029052734,1.9231873750686646,3.4529192447662354,3.3135316371917725,3.7546839714050293
2017-05-30,11.41040325164795,34.45319366455078,1.9231873750686646,,,
2017-05-31,11.362857818603516,34.20270538330078,1.8735111951828003,3.4529192447662354,3.2685110569000244,3.7844045162200928
2017-06-01,11.282034873962402,33.62548828125,1.838027834892273,3.4529192447662354,3.2685110569000244,3.7844045162200928
2017-06-02,11.443681716918945,34.20814514160156,1.8593181371688843,3.4529192447662354,3.20548152923584,3.734870433807373
2017-06-05,11.248750686645508,33.761619567871094,1.8593181371688843,3.4529192447662354,3.1964774131774902,3.744777202606201
2017-06-06,11.096614837646484,33.4730224609375,1.8593181371688843,3.4529192447662354,3.178469181060791,3.724963665008545
2017-06-07,11.025301933288574,33.587371826171875,1.8877043724060059,3.4529192447662354,3.3585524559020996,3.804218053817749
2017-06-08,11.082352638244629,33.81607437133789,1.8948012590408325,3.4529192447662354,3.3135316371917725,3.794311285018921
2017-06-09,11.19170093536377,34.27348709106445,1.8948012590408325,3.4529192447662354,3.3135316371917725,3.7546839714050293
2017-06-12,,,,3.4529192447662354,3.277514934539795,3.7645909786224365
2017-06-13,11.253508567810059,34.093788146972656,1.9373807907104492,3.4529192447662354,3.439589738845825,3.744777202606201
2017-06-14,11.263017654418945,34.08290100097656,1.9657669067382812,3.4529192447662354,3.5566439628601074,3.724963665008545
2017-06-15,10.93972110748291,32.82501220703125,1.8877043724060059,3.4529192447662354,3.3855650424957275,3.655616044998169
2017-06-16,10.930211067199707,32.71609878540039,1.8522212505340576,3.4529192447662354,3.4035732746124268,3.655616044998169
2017-06-19,10.934969902038574,32.69976806640625,1.8451242446899414,3.4529192447662354,3.5296318531036377,3.6358025074005127
2017-06-20,10.915952682495117,32.52007293701172,1.8238345384597778,3.4529192447662354,3.646685838699341,3.744777202606201
2017-06-21,10.507078170776367,31.58345603942871,1.7812548875808716,3.4529192447662354,3.6286773681640625,3.655616044998169
2017-06-22,10.530848503112793,31.784931182861328,1.7883516550064087,3.4529192447662354,3.5296318531036377,3.675429582595825
2017-06-23,10.654459953308105,32.035423278808594,1.8238345384597778,3.4529192447662354,3.448594093322754,3.6853365898132324
