date,AA,CENX,KALU,CSTM,NHYDY,ACH,RIO,BHP,FXI,MCHI,ASHR,KWEB,DBB,PICK,XME,SLX,VIX,DX_Y_NYB,TNX,CNY
2021-10-15,53.31716537475586,17.25,98.01325988769531,19.139999389648438,6.275345325469971,32.92755126953125,50.91143035888672,39.5607795715332,36.180641174316406,62.88555145263672,35.85081481933594,42.0959358215332,20.476226806640625,35.56035614013672,42.8848762512207,47.610755920410156,16.299999237060547,93.94000244140625,1.5759999752044678,6.439000129699707
2021-10-18,54.49775314331055,17.40999984741211,98.40699768066406,19.31999969482422,6.41013765335083,32.6375732421875,50.730709075927734,39.9255485534668,36.39398956298828,63.162349700927734,35.46274185180664,42.42989730834961,20.219314575195312,35.60838317871094,43.354244232177734,47.60255432128906,16.309999465942383,93.94999694824219,1.5839999914169312,6.434800148010254
2021-10-19,51.10830307006836,16.200000762939453,94.00897979736328,18.229999542236328,6.395160675048828,33.197532653808594,51.24393844604492,39.97373580932617,37.4340705871582,64.7784652709961,36.266605377197266,44.22494888305664,19.7996826171875,35.4322624206543,42.51129913330078,47.38923263549805,15.699999809265137,93.79000091552734,1.6349999904632568,6.428899765014648
2021-10-20,49.994361877441406,16.049999237060547,95.49175262451172,18.15999984741211,6.125575542449951,35.23738098144531,49.24884033203125,39.9255485534668,37.505184173583984,64.83203887939453,36.03561019897461,44.63404846191406,20.030908584594727,35.29617691040039,42.83698272705078,47.16771697998047,15.489999771118164,93.55999755859375,1.6360000371932983,6.381800174713135
2021-10-21,47.5950813293457,15.430000305175781,85.48097229003906,18.139999389648438,5.87845516204834,35.247379302978516,47.37661361694336,38.493988037109375,37.46963119506836,64.70703887939453,35.9709358215332,44.49211502075195,18.934730529785156,34.351524353027344,42.10898971557617,45.871402740478516,15.010000228881836,93.7699966430664,1.6759999990463257,6.392899990081787
2021-10-22,46.890541076660156,15.630000114440918,84.08891296386719,18.0,5.855989933013916,36.067317962646484,47.62238693237305,39.0377082824707,37.51408004760742,64.71597290039062,36.34053421020508,44.06631088256836,18.814836502075195,34.3275032043457,42.62626266479492,46.2816276550293,15.430000305175781,93.61000061035156,1.6549999713897705,6.3917999267578125
2021-10-25,48.71855163574219,15.729999542236328,82.33406066894531,17.309999465942383,5.990782260894775,35.89733123779297,48.30910873413086,39.53325271606445,37.62964630126953,64.93025207519531,36.506839752197266,44.141456604003906,19.00324249267578,35.15207290649414,43.77573013305664,47.889713287353516,15.239999771118164,93.80999755859375,1.6349999904632568,6.383900165557861
2021-10-26,47.176170349121094,15.109999656677246,84.12267303466797,17.489999771118164,5.855989933013916,35.46736145019531,47.73081588745117,39.161590576171875,36.874027252197266,63.50165557861328,36.33129119873047,41.73693084716797,18.806272506713867,35.00797653198242,43.22972106933594,47.71741485595703,15.979999542236328,93.94999694824219,1.61899995803833,6.384699821472168
2021-10-27,43.69150924682617,14.180000305175781,83.73458099365234,18.90999984741211,5.519008159637451,34.97739791870117,46.581459045410156,38.38386917114258,36.45621871948242,62.81413650512695,35.77690124511719,41.4196662902832,18.08690643310547,34.135379791259766,41.7258415222168,46.16676712036133,16.979999542236328,93.86000061035156,1.5290000438690186,6.381499767303467
2021-10-28,44.321258544921875,14.390000343322754,84.34201049804688,19.049999237060547,5.7436628341674805,36.03731918334961,46.62483596801758,38.61787033081055,36.53622817993164,62.858768463134766,35.89701461791992,41.4196662902832,18.420896530151367,34.199424743652344,42.09940719604492,46.265220642089844,16.530000686645508,93.3499984741211,1.5679999589920044,6.391600131988525
2021-10-29,43.844173431396484,13.210000038146973,81.95442199707031,18.40999984741211,5.526496887207031,35.8773307800293,45.7357063293457,37.743797302246094,35.85173797607422,61.823020935058594,35.81385040283203,39.85839080810547,18.343822479248047,33.96726989746094,41.783302307128906,46.1995849609375,16.260000228881836,94.12000274658203,1.5570000410079956,6.390399932861328
2021-11-01,44.58843231201172,13.279999732971191,82.30033874511719,18.739999771118164,5.713709354400635,36.52728271484375,45.82245635986328,37.509788513183594,36.50067138671875,62.78734588623047,35.89701461791992,41.99574661254883,18.29244041442871,34.14338684082031,42.36760711669922,46.265220642089844,16.40999984741211,93.87999725341797,1.5750000476837158,6.404699802398682
2021-11-02,44.922386169433594,13.1899995803833,82.63780212402344,19.149999618530273,5.451611518859863,36.99724578857422,44.77429962158203,36.54623031616211,35.505027770996094,61.01051712036133,35.36109924316406,40.40943145751953,18.12972640991211,33.4308967590332,41.87908935546875,45.452972412109375,16.030000686645508,94.08999633789062,1.5490000247955322,6.396200180053711
2021-11-03,45.25635528564453,13.550000190734863,85.46411895751953,19.200000762939453,5.653800964355469,45.24663543701172,44.897178649902344,36.97295379638672,35.807281494140625,61.60874938964844,35.37033462524414,40.952117919921875,18.12972640991211,33.71908950805664,42.760353088378906,45.411949157714844,15.100000381469727,93.86000061035156,1.5789999961853027,6.398900032043457
2021-11-04,44.24492263793945,13.020000457763672,85.19414520263672,19.219999313354492,5.4366350173950195,45.80659484863281,43.99360275268555,36.60129165649414,35.593929290771484,61.40337371826172,35.5181770324707,39.9418830871582,17.66727638244629,33.16671371459961,42.56877517700195,45.231449127197266,15.4399995803833,94.3499984741211,1.5240000486373901,6.406199932098389
2021-11-05,45.66664505004883,13.140000343322754,90.55990600585938,19.600000381469727,5.339284896850586,43.94673156738281,43.82011413574219,36.76647186279297,34.97165298461914,60.40335464477539,35.37957763671875,39.10697555541992,17.718660354614258,33.12668991088867,43.459617614746094,45.354515075683594,16.479999542236328,94.31999969482422,1.4529999494552612,6.396399974822998
2021-11-08,46.620826721191406,13.819999694824219,92.7450180053711,19.690000534057617,5.466588973999023,43.756744384765625,45.02730178833008,37.654319763183594,35.362796783447266,61.00157928466797,35.712215423583984,40.108863830566406,17.992704391479492,33.92723846435547,44.68572998046875,46.60981369018555,17.219999313354492,94.05000305175781,1.496999979019165,6.397900104522705
2021-11-09,45.07505798339844,14.09000015258789,90.16336822509766,19.5,5.331796169281006,42.89680862426758,44.38395309448242,36.75271224975586,35.07833480834961,60.50157165527344,35.40729904174805,39.975276947021484,17.907066345214844,33.57499313354492,44.3504524230957,45.9288330078125,17.780000686645508,93.95999908447266,1.4320000410079956,6.391600131988525
2021-11-10,44.0540885925293,13.600000381469727,86.38371276855469,18.809999465942383,5.22695779800415,41.94688034057617,43.617713928222656,36.0093994140625,35.39836120605469,61.090877532958984,35.21326446533203,40.893672943115234,17.778608322143555,32.670379638671875,43.1722412109375,44.84584045410156,18.729999542236328,94.8499984741211,1.559999942779541,6.39169979095459
2021-11-11,48.86311340332031,15.449999809265137,88.46757507324219,19.3799991607666,5.571427822113037,42.23685836791992,45.540531158447266,37.895206451416016,36.80290985107422,63.081993103027344,36.10029220581055,43.02267837524414,18.112598419189453,34.19142150878906,45.03055953979492,46.568782806396484,17.65999984741211,95.18000030517578,1.559999942779541,6.3881001472473145
2021-11-12,49.54058074951172,16.0,91.12516784667969,19.6299991607666,5.593892574310303,42.686824798583984,45.063438415527344,37.523555755615234,36.82069396972656,63.09092712402344,35.95245361328125,43.34829330444336,18.266746520996094,34.19142150878906,45.31792449951172,46.21598815917969,16.290000915527344,95.12999725341797,1.5820000171661377,6.389500141143799
2021-11-15,48.30970001220703,15.34000015258789,90.01994323730469,19.450000762939453,5.391704082489014,43.39677429199219,44.5429801940918,36.98671340942383,36.54512023925781,62.62663269042969,35.869293212890625,42.69706726074219,18.00126838684082,33.57499313354492,44.3121337890625,45.40374755859375,16.489999771118164,95.41000366210938,1.6230000257492065,6.378600120544434
2021-11-16,45.991058349609375,14.329999923706055,88.89785766601562,19.360000610351562,5.234446048736572,43.47676467895508,43.76951599121094,36.2984619140625,37.00737762451172,63.38557434082031,35.74917221069336,43.24810791015625,17.812862396240234,33.16671371459961,43.46919250488281,45.02634048461914,16.3700008392334,95.91999816894531,1.6339999437332153,6.3821001052856445
2021-11-17,45.7238883972168,14.210000038146973,86.51870727539062,19.260000228881836,5.339284896850586,42.72682189941406,43.85626220703125,36.0093994140625,36.58955764770508,62.74269485473633,35.86005401611328,41.88720703125,17.633020401000977,32.94256591796875,42.789085388183594,44.20588684082031,17.110000610351562,95.83000183105469,1.6039999723434448,6.39109992980957
2021-11-18,45.51396942138672,14.260000228881836,86.21498107910156,18.719999313354492,5.204492092132568,42.306854248046875,43.299652099609375,35.995628356933594,35.79838562011719,61.00157928466797,35.32414245605469,40.451175689697266,17.821428298950195,32.926551818847656,42.808250427246094,43.869503021240234,17.59000015258789,95.54000091552734,1.5889999866485596,6.3769001960754395
2021-11-19,45.41856002807617,13.890000343322754,84.94947814941406,18.389999389648438,5.249423027038574,41.89688491821289,43.88517379760742,36.036930084228516,36.01173782348633,61.323020935058594,35.73993682861328,40.45952224731445,18.146854400634766,32.79045867919922,42.070674896240234,44.04999923706055,17.90999984741211,96.06999969482422,1.5360000133514404,6.385000228881836
