date,BHP_AX,RIO_AX,S32_AX,SFR_AX,2899_HK,0358_HK,1208_HK,3993_HK
2021-06-08,30.173498153686523,88.66917419433594,2.4448094367980957,6.308526992797852,10.178299903869629,13.382159233093262,3.799999952316284,4.326346397399902
2021-06-09,30.354368209838867,89.126220703125,2.4530136585235596,6.441245079040527,10.3401460647583,13.461437225341797,3.880000114440918,4.3087944984436035
2021-06-10,30.12360954284668,89.2119369506836,2.4448094367980957,6.397006034851074,10.160316467285156,13.144325256347656,3.869999885559082,4.2736921310424805
2021-06-11,30.52899742126465,89.2262191772461,2.4201972484588623,6.538571357727051,10.3401460647583,13.5130615234375,3.8499999046325684,4.264917373657227
2021-06-15,30.697391510009766,90.32600402832031,2.395585298538208,6.494332313537598,9.872590065002441,13.09776496887207,3.6700000762939453,4.115732669830322
2021-06-16,30.16727066040039,89.77609252929688,2.346360683441162,6.105026721954346,8.982439041137695,12.426905632019043,3.440000057220459,3.9665486812591553
2021-06-17,29.7431640625,88.71916961669922,2.2971363067626953,5.981155872344971,9.099328994750977,12.299120903015137,3.4800000190734863,3.913895845413208
2021-06-18,29.013465881347656,88.17639923095703,2.280728340148926,5.9280686378479,8.946474075317383,12.187312126159668,3.390000104904175,3.8694517612457275
2021-06-21,28.44591522216797,85.73400115966797,2.2971363067626953,5.9280686378479,8.892524719238281,11.947715759277344,3.369999885559082,3.763197183609009
2021-06-22,29.113248825073242,87.11946105957031,2.338156223297119,5.936917304992676,9.20722484588623,12.347039222717285,3.380000114440918,3.8074703216552734
2021-06-23,29.412616729736328,87.73362731933594,2.3545644283294678,5.97230863571167,9.297139167785645,12.58663272857666,3.490000009536743,3.949143648147583
2021-06-24,29.68703269958496,88.81200408935547,2.387380838394165,6.0873308181762695,9.225207328796387,12.618578910827637,3.4800000190734863,3.957998037338257
2021-06-25,29.8741455078125,89.42617797851562,2.4037890434265137,6.105026721954346,9.764693260192871,13.177629470825195,3.630000114440918,4.197071552276611
2021-06-28,30.185977935791016,90.0189208984375,2.428401231765747,6.034243583679199,9.441000938415527,13.001928329467773,3.4600000381469727,4.188217639923096
2021-06-29,29.97393035888672,89.26905822753906,2.3791770935058594,6.016548156738281,9.297139167785645,12.666497230529785,3.319999933242798,4.126235485076904
2021-06-30,30.292001724243164,90.44026947021484,2.4037890434265137,6.043091773986816,9.387053489685059,12.698442459106445,3.4200000762939453,4.081962585449219
2021-07-01,30.07371711730957,89.97607421875,2.4201972484588623,6.007699966430664,,,,
2021-07-02,30.27952766418457,89.77609252929688,2.4201972484588623,6.016548156738281,9.405037879943848,12.5546875,3.390000104904175,4.081962585449219
2021-07-05,30.217161178588867,90.07605743408203,2.4201972484588623,6.0873308181762695,9.602848052978516,12.938037872314453,3.509999990463257,4.444999694824219
2021-07-06,30.466630935668945,89.56187438964844,2.395585298538208,6.034243583679199,9.584866523742676,12.8741455078125,3.5299999713897705,4.36530876159668
2021-07-07,30.435449600219727,90.01177215576172,2.387380838394165,6.0784831047058105,9.692761421203613,12.954008102416992,3.5399999618530273,4.772619724273682
2021-07-08,30.97180938720703,90.14033508300781,2.4119935035705566,6.007699966430664,9.261174201965332,12.506768226623535,3.4100000858306885,4.71063756942749
2021-07-09,30.859546661376953,89.55471801757812,2.4037890434265137,5.919220924377441,9.548898696899414,12.922063827514648,3.5899999141693115,5.109093189239502
2021-07-12,31.838726043701172,91.12584686279297,2.436605453491211,5.936917304992676,9.782675743103027,13.337359428405762,3.5999999046325684,5.064821243286133
2021-07-13,31.620437622070312,91.66861724853516,2.4119935035705566,5.910373210906982,9.764693260192871,13.177629470825195,3.569999933242798,4.816892147064209
2021-07-14,31.78258514404297,91.6114730834961,2.387380838394165,6.043091773986816,9.476968765258789,12.762333869934082,3.440000057220459,4.94085693359375
2021-07-15,32.138084411621094,93.65396118164062,2.428401231765747,5.97230863571167,9.746711730957031,12.938037872314453,3.5199999809265137,4.9674201011657715
2021-07-16,32.35013961791992,93.26831817626953,2.436605453491211,6.016548156738281,9.746711730957031,13.017899513244629,3.4700000286102295,4.90543794631958
2021-07-19,31.495702743530273,91.29010772705078,2.3545644283294678,5.662632942199707,9.566883087158203,12.58663272857666,3.3399999141693115,4.825747013092041
2021-07-20,30.70985984802246,88.85484313964844,2.305340528488159,5.538763523101807,9.099328994750977,12.251201629638672,3.299999952316284,4.692928314208984
2021-07-21,31.115257263183594,89.89037322998047,2.3299524784088135,5.636089324951172,9.171258926391602,12.2352294921875,3.4800000190734863,5.002838611602783
